SL. No.,Year,Incidence of Crime,Volume of Offences Per One Lakh of Population
1,1973,2480918,430.8
2,1974,2580140,438.6
3,1975,3205270,533.5
4,1976,3222910,525.5
5,1977,2699061,431.5
6,1978,2792223,437.4
7,1979,2823568,433.7
