SL. No.,Years,7-12 Years,7-12 Year - Percentage to Total,12-16 Years,12-16 Year - Percentage to Total,16-18 Years,16-18 Year - Percentage to Total,18-21 Years,18-21 Year - Percentage to Total,Overall Age  Groups
1,1969,8349,10.6,17200,21.8,Combined with18-21 years age group,Combined with18-21 years age group,53319,67.6,78868
2,1972,10534,8.2,17079,13.3,19177,15,81391,63.5,128181
3,1973,9963,7.8,16470,12.9,23951,18.7,77358,60.6,127742
4,1974,8872,6.3,19644,14,22077,15.7,90046,64,140639
5,1975,14781,10.4,23118,16.3,20866,14.7,83134,58.6,141899
6,1976,19706,14.7,24073,18,19960,14.9,70234,52.4,133973
7,1977,15113,8.4,21391,14,24011,16.4,88407,61.2,148922
8,1978,11955,7.4,18954,11.8,25488,15.8,104522,65,160919
9,1979,10539,6.2,18315,10.8,26226,15.4,114963,67.6,170043
Percentage Change in 1979 Over 1969,Percentage Change in 1979 Over 1969,26.2,NA,6.5,NA,*,NA,*,NA,115.6
Percentage Change in 1979 Over 1978,Percentage Change in 1979 Over 1978,-11.8,NA,-3.4,NA,2.9,NA,10,NA,5.7
