SL. No.,Category,States/U.Ts/Cities,Murder - 1978,Murder - 1979,Murder - Percentage Variation,Kidnapping & Abduction - 1978,Kidnapping & Abduction - 1979,Kidnapping & Abduction - Percentage Variation,Dacoity - 1978,Dacoity - 1979,Dacoity - Perentage Variation,Robbery - 1978,Robbery - 1979,Robbery - Percentage Variation,Burglary - 1978,Burglary - 1979,Burglary - Percentage Variation ,Thefts - 1978,Thefts - 1979,Thefts - Percentage Variation,Riots - 1978,Riots - 1979,Riots - Percentage Variation,Criminal Breach of Trust - 1978,Criminal Breach of Trust - 1979,Criminal Breach of Trust - Percentage Variation,Cheating  - 1978,Cheating  - 1979,Cheating  - Percentage Variation,Counterfeiting - 1978,Counterfeiting - 1979,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1978,Total Cognizable Crime - 1979,Total Cognizable Crime - Percentage Variation
1,State,Andhra Pradesh ,1138,1281,12.6,313,284,-9.3,283,305,7.8,393,380,-3.3,2471,7724,212.6,18554,20120,8.4,4461,5426,21.6,639,677,5.9,734,666,-9.3,34,47,38.2,68092,76709,12.7
2,State,Assam,495,514,3.8,573,594,3.7,252,319,26.6,390,532,36.4,6180,5554,-10.1,9134,9872,8.1,4653,5300,13.9,451,489,8.4,546,483,-11.5,2,5,150,37140,40334,8.6
3,State,Bihar,2002,2146,7.2,964,1122,16.4,2684,2746,2.3,1559,1574,1,15396,14273,-7.3,30385,29176,4,15747,16354,3.9,1142,1500,31.3,983,1330,35.3,56,16,-71.4,100121,101146,1
4,State,Gujarat,896,885,-1.2,542,505,-6.8,144,134,-6.9,813,796,-2.1,6472,6057,-6.4,18867,19618,3.9,1317,1397,6.1,1485,1460,-1.7,904,829,-8.3,8,14,75,61736,62508,1.2
5,State,Haryana,288,318,10.4,192,208,8.3,37,24,-35.1,71,70,-1.4,2782,2641,-5.1,4477,4255,-5,187,230,23,378,493,30.4,250,266,6.4,1,1,0,15505,16297,5.1
6,State,Himachal Pradesh,48,51,6.2,111,110,-0.9,1,2,100.1,35,40,14.3,630,645,2.4,798,784,-1.8,219,224,2.3,106,140,32.1,81,81,0,NA,NA,NA,4581,4801,4.8
7,State,Jammu & Kashmir,83,96,15.7,411,438,6.6,20,63,215,33,31,-6.1,1746,1496,-14.3,2083,2536,21.7,1444,1677,16.1,150,113,-24.7,147,133,-9.5,NA,3,NA,12443,14118,13.5
8,State,Karnataka ,784,884,12.8,292,272,-6.8,227,212,-6.6,872,677,-22.4,10797,9723,-9.9,23233,22042,-5.1,5147,5427,5.4,1144,1000,-12.6,1542,1334,-13.5,67,52,-22.4,80136,75883,-5.3
9,State,Kerala,481,447,-7.1,97,115,18.6,32,46,43.8,128,144,12.5,4200,3812,-9.2,4204,3683,-12.4,5926,5353,-9.7,328,324,-1.2,493,424,-14,62,109,75.8,48618,43412,-10.7
10,State,Madhya Pradesh,2193,2348,7.1,1100,970,-11.8,523,563,7.6,2279,2681,17.6,27707,26236,-5.3,52707,51408,-2.5,5754,5556,-3.4,1467,1308,-10.8,1691,1400,-17.2,37,37,0,164469,160786,-2.2
