SL. No.,Heads of Crime,Year - 1975,Year - 1976,Year - 1977,Year - 1978,Year - 1979
1,Murder ,1.5,1.5,1.5,1.4,1.5
2,Kidnapping & Abduction,1,1,1,1,1
3,Dacoity,1.1,1,1,1,1.1
4,Robbery,1.9,1.6,1.8,1.7,1.7
5,Burglary,16.6,15.4,15.3,13.7,12.6
6,Theft,36.4,33.4,34.1,32.5,32.2
7,Riots,5.8,5.8,6.3,7.2,7.4
8,Criminal Breach of Trust,2,2.2,1.8,1.7,1.6
9,Cheating ,1.5,1.8,1.5,1.5,1.4
10,Counterfeiting,0.1,0.1,0.1,0.1,0.1
11,Miscellaneous,32.2,36.2,35.6,38.2,39.4
Total,Total,100,100,100,100,100
