SL. No.,Heads of Crime ,Persons Arrested,Percentage to Total Persons Arrested
1,Arms Act,63014,2
2,Opium Act,12438,0.4
3,Gambling Act ,392554,12.8
4,Excise Act,128173,4.2
5,Prohibition Act,573773,18.7
6,Explosives & Explosive Substances Act,1846,0.1
7,Suppression of Immoral Traffic Act,14727,0.5
8,Motor Vehicles Act,769844,25
9,Prevention of Corruption Act,265,Negligible
10,Customs Act,35,Negligible
11,Indian Railways Act,32016,1
12,Miscellaneous Act,1084894,35.3
13,Total,3073579,100
