SL. No.,Heads of Crime,Total Cases for Trial During the Year,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Cases Convicted,Cases Pending Trial at the End of the year
1,Arms Act,167093,223,53364,39096,113506
2,Opium Act,30549,52,13004,9698,17493
3,Gambling Act ,316879,811,209620,188624,106448
4,Excise Act,251630,431,100948,78259,150251
5,Prohibition Act,723379,52049,314321,171718,357009
6,Explosives & Explosive Substances Act,2879,28,768,498,2083
7,Suppression of Immoral Traffic Act,19326,82,13298,12023,5946
8,Motor Vehicles Act,1025405,4926,751546,709849,268933
9,Prevention of Corruption Act,1315,4,637,354,674
10,Customs Act,228,2,130,129,96
11,Indian Railways Act,31784,45,271177,26712,4562
12,Other Offences,1119176,7638,942302,896804,169236
13,Total,3689643,66291,2427115,2133764,1196237
