SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Srikakulam,42,NA,3,3,1,5,129,306,163,22,26,NA,3391
2,Andhra Pradesh,Visakhapatnam,43,NA,9,11,5,8,286,1008,285,41,40,2,4908
3,Andhra Pradesh,Vizianagaram,22,NA,1,3,1,6,88,267,66,12,9,1,2407
4,Andhra Pradesh,East Godavari,51,NA,7,23,5,13,585,1535,81,51,35,6,6881
5,Andhra Pradesh,West Godavari,46,1,16,21,7,9,481,1384,213,27,41,3,3425
6,Andhra Pradesh,Krishna,72,1,18,23,12,18,622,1455,192,50,45,4,6569
7,Andhra Pradesh,Nellore,38,NA,17,7,4,5,418,746,137,32,28,2,2583
8,Andhra Pradesh,Kurnool,109,NA,4,11,15,9,189,518,155,18,12,1,3345
9,Andhra Pradesh,Ongole,48,NA,8,12,5,9,289,537,130,11,16,NA,2654
10,Andhra Pradesh,Anantapur,67,NA,3,11,12,9,361,836,559,34,13,2,2670
11,Andhra Pradesh,Guntur,103,NA,9,14,32,17,596,1725,464,44,40,13,5460
12,Andhra Pradesh,Cuddapah,84,6,1,18,12,7,231,677,242,16,13,2,2501
13,Andhra Pradesh,Chittoor,68,NA,4,28,12,18,425,1138,254,55,53,1,4327
14,Andhra Pradesh,Rangareddy,31,2,8,12,27,12,238,403,197,19,13,NA,1905
15,Andhra Pradesh,Medak,31,3,2,6,7,17,116,214,55,8,6,NA,1101
16,Andhra Pradesh,Mahbubnagar,74,1,5,6,6,13,191,291,169,10,12,NA,1915
17,Andhra Pradesh,Nalgonda,47,3,8,2,38,17,218,371,345,20,4,5,2208
18,Andhra Pradesh,Nizamabad,33,1,4,7,4,15,92,227,47,14,8,NA,1023
19,Andhra Pradesh,Adilabad,42,NA,6,8,21,51,209,326,184,8,10,1,1682
20,Andhra Pradesh,Warangal,66,NA,9,5,21,17,237,387,186,20,15,NA,2273
21,Andhra Pradesh,Khammam,44,NA,10,10,18,16,260,483,259,16,7,1,2019
22,Andhra Pradesh,Karimnagar,71,1,7,11,24,48,217,357,155,20,10,NA,2062
23,Andhra Pradesh,R.P. Vijyawada,4,1,NA,NA,1,2,NA,565,10,2,2,NA,634
