SL. No.,Year,Total Value of Property Stolen (Rs. in Lakhs),Percentage of Value of Property Recovered to Value of Property Stolen
1,1974,6909.7,28.3
2,1975,8370.2,27.3
3,1976,9760.2,35.9
4,1977,8320.3,25
5,1978,9897.7,26.7
6,1979,10690.1,27.7
