SL. No.,Category,State/U.Ts/Cities,Total Cognizable Crime - Male,Total Cognizable Crime - Female,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female
1,State,Andhra Pradesh ,122471,3315,3702,71,37,1,190,25,364,5,995,3,536,2,5093,79,12413,401,44917,1709,5314,3,555,16,26,NA
2,State,Assam,45030,860,971,8,38,NA,231,NA,581,NA,1412,1,658,NA,4661,43,6561,105,13619,180,357,4,410,2,2,NA
3,State,Bihar,159887,1684,3497,74,328,7,575,3,1223,143,5714,9,1442,6,5576,32,20537,325,71574,682,1888,17,1638,7,11,NA
4,State,Gujarat,81815,945,2092,23,5,NA,102,3,636,26,595,NA,989,5,5230,71,12480,252,10130,48,1517,NA,880,5,13,NA
5,State,Haryana,23978,130,862,4,266,NA,98,NA,234,4,134,NA,141,NA,1617,NA,2922,56,1822,20,309,NA,242,NA,NA,NA
6,State,Himachal Pradesh,6198,633,73,7,14,2,49,NA,127,7,11,NA,45,1,476,7,591,59,874,185,114,2,90,1,NA,NA
7,State,Jammu & Kashmir,20776,653,262,8,10,NA,90,NA,388,16,344,NA,31,2,1242,19,2248,48,5882,208,57,NA,71,NA,NA,NA
8,State,Karnataka ,114958,1534,1959,70,12,NA,131,NA,244,9,622,2,597,21,4358,95,10462,277,43383,767,875,12,690,10,14,1
9,State,Kerala,66818,3056,722,16,24,NA,65,NA,85,1,611,19,146,1,1486,NA,2276,85,27794,2110,279,3,269,3,65,NA
10,State,Madhya Pradesh,192600,1632,5368,55,75,NA,1026,NA,1497,17,2157,4,2955,27,12860,351,25887,258,33939,126,1154,5,1256,10,15,NA
11,State,Maharashtra,186682,7774,3267,137,39,2,473,4,769,56,2132,41,3494,69,15303,427,33599,1595,35039,1478,2520,13,2020,24,10,NA
12,State,Manipur,2680,7,63,2,NA,NA,6,NA,206,NA,45,NA,52,NA,134,NA,426,NA,384,6,47,NA,99,NA,6,NA
13,State,Meghalaya,4442,11,191,4,3,NA,12,NA,20,1,100,NA,95,NA,339,NA,713,6,1514,NA,31,NA,38,NA,NA,NA
14,State,Nagaland,709,17,11,NA,7,NA,4,NA,15,NA,29,NA,45,NA,123,NA,296,16,124,NA,23,NA,32,NA,NA,NA
15,State,Orissa,62853,215,849,9,42,1,114,NA,146,10,693,NA,700,NA,4577,45,13233,85,18424,53,337,NA,210,2,NA,NA
16,State,Punjab,20153,249,1655,46,309,3,142,2,442,22,12,NA,43,NA,1098,NA,1876,21,106,NA,553,2,385,9,1,NA
17,State,Rajasthan,96064,2349,1776,32,47,NA,241,NA,1437,10,515,NA,1304,16,4386,255,8035,507,36069,772,474,4,771,7,NA,NA
18,State,Sikkim ,201,1,15,1,2,NA,6,NA,3,NA,NA,NA,6,NA,23,NA,49,NA,25,NA,71,NA,1,NA,NA,NA
19,State,Tamil Nadu,139079,2949,1998,60,6,NA,131,1,611,18,245,4,265,1,4918,71,15042,478,53526,1138,821,8,607,5,17,NA
20,State,Tripura,8901,241,157,19,13,NA,9,NA,53,2,262,4,181,2,1063,8,1507,56,2321,139,54,NA,44,1,NA,NA
21,State,Uttar Pradesh,248607,1327,13824,132,3161,14,863,3,4513,92,28711,72,8520,4,16310,66,27428,79,63203,212,2263,5,1767,3,24,1
22,State,West Bengal ,144192,1696,2050,26,752,4,601,NA,1204,42,6291,23,1763,3,4507,26,24373,432,71304,573,1283,7,1085,13,53,NA
