SL. No.,Nature of Property Stolen & Recovered,Number of Cases in which Property was Stolen,Value of Property Stolen in Rs. Lakhs,Value of Property Recovered in Rs. Lakh,Percentage of Value of Property Recovered to Value of Property Stolen
1,Wire,10901,188.91,25.96,13.7
2,Cattles,23572,237.1,116.46,49.1
3,Cycles,62009,160.24,38.58,24.1
4,Motor Vehicles & Accessories,13170,1688.4,1128.45,66.8
5,Fire Arms,1044,18.49,8.62,46.6
6,Explosive,40,0.72,0.1,13.9
7,Others,496367,8396.23,1638.52,19.5
8,Total,607103,10690.09,2956.69,27.7
