Sl No,Crime Head,Cases withdrawn by Govt.,Percentage of Cases to total Cases for Investigation in which - Investigation was refused,Percentage of Case to total Cases For Investigation in which - Investigation was comleted - Charge Found False/ Mistake of Fact Or Law Etc.,Percentage of Case to total Cases for Investigation in which - Investigation was completed - final report true submited,Percentage of Case to total Cases for Investigation in which - Investigation was completed - chargesheets were submitted,Percentage of Case to total Cases for Investigation in which - Investigation was completed - total [( (5) +(6)+(7)],Percentage of Cases Pending Investigation,Chargesheeting Rate [((6)/(5) + (6)) *100]
1,Arms Act,0,0,0.2,2.5,79.7,82.4,17.6,96.9
2,Narcotic Drugs & Psychotropic Substances Act,0,0,0.6,3.5,70,74,26,95.3
3,Gambling Act,0,0,0,0.2,96.6,96.8,3.2,99.8
4,Excise Act,0,1.2,0.2,0.7,83.4,84.3,14.6,99.2
5,Prohibition Act,0,0.4,0.6,2.4,82.6,85.6,14,97.2
6,Explosive & Explosive Substances Act,0,0.1,0.9,8.8,51.2,60.9,39,85.4
7,Immoral Traffic (P) Act,0,0,0.1,0.2,92.3,92.6,7.4,99.8
8,Indian Railways Act,0,0,0.2,1.2,97.5,98.9,1.1,98.8
9,Registration of Foreigners Act,0,0.2,0.4,0.8,77,78.2,21.6,99
10,Protection Of Civil Rights Act,0,0.7,16.3,2,55.9,74.3,25,96.5
11,Indian Passport Act,0.3,0.2,5.7,10.6,44.3,60.6,38.9,80.6
12,Essential Commodities Act,0,0.4,2.3,7,54.3,63.6,35.9,88.5
13,Terrorist & Disruptive Actvites Act,0,0,0,35.8,19.8,55.6,44.4,35.6
14,Antiquity & Art Treasure Act,1.1,0,1.1,11.4,43.2,55.7,43.2,79.2
15,Dowry Prohibition Act,0,0.8,4.6,5.2,59.8,69.6,29.6,92
16,Child Marriage Restraint Act,0,0,5,2,71.3,78.2,21.8,97.3
17,Indecent Representation of Women (P)Act,0,0,0.6,2.8,80.7,84,16,96.7
18,Copy Rights Act,0,0.3,1.5,2.6,74,78.2,21.5,96.6
19,Sati Prevention Act,0,0,0,0,0,0,0,0
20,SC/ST (Prevention of Atrocities ) Act,0,0.4,18.7,4.5,55.7,78.9,20.7,92.6
21,Forest Act,0.4,2.2,1.5,5,82.8,89.3,8.2,94.3
22,Other SLL Crimes,0.1,1,2.1,2.1,92.7,97,1.9,97.7
23,Total cognizable Crimes Under SLL,0,0.8,1.7,2.1,89.9,93.7,5.5,97.7
