Sl.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
1,Andhra Pradesh,Adilabad,121,66,17,48,33,13,20,11,0,42,170,199,18,181,83,18,83,0,13,885,8,96,36,98,0,1676,3703
2,Andhra Pradesh,Anantpur,171,47,0,20,56,39,17,16,0,16,238,375,67,308,129,10,74,6,83,1642,7,116,22,78,0,909,4015
3,Andhra Pradesh,Chittoor,120,30,3,33,62,34,28,6,0,20,234,819,147,672,83,23,205,6,26,845,14,100,77,190,0,2557,5453
4,Andhra Pradesh,Cuddapah,102,51,3,9,21,10,11,9,0,13,95,203,24,179,67,5,38,3,33,827,22,98,27,50,0,1256,2932
5,Andhra Pradesh,East Godavari,122,53,0,35,51,7,44,4,0,17,476,926,115,811,53,53,227,13,54,1204,18,145,285,251,0,2437,6424
6,Andhra Pradesh,Guntakal Rly.,1,0,0,0,0,0,0,0,0,3,0,124,0,124,1,0,0,2,0,1,0,3,0,0,0,98,233
7,Andhra Pradesh,Guntur,170,110,1,62,97,62,35,14,0,37,429,1361,143,1218,145,45,289,7,64,1828,11,152,166,383,0,2603,7974
8,Andhra Pradesh,Hyderabad City,115,104,4,50,76,36,40,6,0,52,1179,3007,1103,1904,141,100,1292,29,0,2818,32,98,38,754,0,1697,11592
9,Andhra Pradesh,Karimnagar,175,68,6,85,56,44,12,14,1,52,159,284,27,257,185,14,199,4,0,1354,37,266,18,289,0,2365,5631
10,Andhra Pradesh,Khammam,108,52,1,37,33,26,7,7,0,12,233,364,66,298,101,16,109,4,49,799,10,140,467,178,0,1140,3860
11,Andhra Pradesh,Krishna,76,42,1,46,39,31,8,2,0,8,146,373,35,338,58,17,112,3,45,1846,19,199,171,273,0,996,4472
12,Andhra Pradesh,Kurnool,143,62,10,32,40,16,24,11,0,14,128,263,46,217,68,8,116,7,22,1440,13,162,107,122,0,1046,3814
13,Andhra Pradesh,Mahaboob Nagar,173,63,22,44,48,37,11,32,0,37,208,350,21,329,90,7,77,1,14,632,20,161,6,212,0,2222,4419
14,Andhra Pradesh,Medak,111,45,12,31,26,18,8,27,0,34,277,313,42,271,98,15,46,5,35,1296,26,49,15,124,0,783,3368
15,Andhra Pradesh,Nalgonda,100,43,9,40,46,39,7,10,0,26,144,371,42,329,121,19,135,9,78,2066,21,210,83,154,0,1217,4902
16,Andhra Pradesh,Nellore,59,46,0,26,42,34,8,7,0,19,201,469,48,421,61,13,106,1,40,822,10,142,242,127,0,1406,3839
17,Andhra Pradesh,Nizamabad,123,53,22,29,36,20,16,21,1,38,181,296,35,261,71,15,106,8,39,534,24,43,21,236,0,1652,3549
18,Andhra Pradesh,Prakasham,86,80,2,11,31,21,10,4,0,13,174,319,31,288,208,9,106,4,50,1258,12,152,61,108,0,950,3638
19,Andhra Pradesh,Ranga Reddy,176,96,16,62,77,63,14,38,3,93,1024,1246,0,1246,90,86,488,5,73,1093,42,116,18,395,0,3475,8712
20,Andhra Pradesh,Secunderabad Rly.,10,0,0,1,1,0,1,0,0,3,1,247,0,247,1,1,1,6,0,13,1,0,1,0,0,97,384
21,Andhra Pradesh,Srikakulam,41,11,2,19,14,14,0,2,0,7,165,359,0,359,50,17,53,1,37,682,3,46,190,124,0,919,2742
22,Andhra Pradesh,Vijayawada,54,39,1,18,49,31,18,0,0,13,366,1188,202,986,24,47,270,3,21,1199,4,65,94,232,0,741,4428
23,Andhra Pradesh,Vijayawada Rly.,1,0,0,0,0,0,0,0,0,1,0,261,0,261,0,2,8,2,0,13,0,0,2,0,0,28,318
24,Andhra Pradesh,Visakha Rural,63,37,2,20,10,9,1,0,0,7,98,159,0,159,55,9,38,1,34,1343,1,72,22,80,0,632,2683
25,Andhra Pradesh,Visakhapatnam,16,27,0,14,13,8,5,1,0,9,332,865,196,669,10,37,181,2,7,448,3,41,4,192,0,1182,3384
26,Andhra Pradesh,Vizianagaram,34,28,0,15,10,8,2,0,0,8,136,212,13,199,34,9,53,1,15,512,7,51,33,209,0,1448,2815
27,Andhra Pradesh,Warangal,148,76,5,68,81,55,26,16,0,27,240,500,78,422,355,13,135,4,0,1564,61,267,0,179,0,2467,6206
28,Andhra Pradesh,West Godavari,85,105,2,89,51,41,10,3,0,14,302,843,121,722,99,48,305,12,31,1023,16,241,74,361,0,2085,5789
29,Andhra Pradesh,Total,2704,1434,141,944,1099,716,383,261,5,635,7336,16296,2620,13676,2481,656,4852,149,863,29987,442,3231,2280,5399,0,40084,121279
1,Arunachal Pradesh,Changlang,5,3,1,1,2,2,0,9,0,7,18,30,0,30,2,0,3,0,0,26,0,5,0,1,0,41,154
2,Arunachal Pradesh,Dibang Valley,7,2,0,1,4,4,0,2,0,5,12,14,2,12,0,1,2,0,0,31,0,5,0,1,0,30,117
3,Arunachal Pradesh,Kameng East,6,2,0,3,2,2,0,1,0,1,17,36,0,36,1,5,1,0,1,21,0,6,0,1,0,42,146
4,Arunachal Pradesh,Kameng West,7,2,0,2,5,4,1,4,0,2,10,21,1,20,0,2,5,0,0,26,0,0,0,0,0,48,134
5,Arunachal Pradesh,Lohit,10,7,0,1,9,9,0,14,0,5,27,31,1,30,2,2,7,0,4,31,0,1,0,1,0,50,202
6,Arunachal Pradesh,Papum Pare,8,14,1,8,12,7,5,11,0,42,75,92,32,60,8,8,15,0,7,88,0,10,1,2,0,139,541
7,Arunachal Pradesh,Siang East,3,6,2,10,2,2,0,1,0,5,18,56,1,55,0,2,4,0,2,46,0,2,0,1,0,53,213
8,Arunachal Pradesh,Siang Upper,1,1,0,0,2,1,1,1,0,1,8,8,0,8,0,1,0,0,0,21,0,0,0,0,0,18,62
9,Arunachal Pradesh,Siang West,5,8,0,3,7,4,3,0,0,15,23,56,0,56,4,3,4,2,4,51,0,10,0,3,0,83,281
10,Arunachal Pradesh,Subansiri Lower,7,10,2,4,7,5,2,0,0,9,27,38,3,35,1,7,17,0,0,24,0,4,0,0,0,41,198
11,Arunachal Pradesh,Subansiri Upper,3,3,0,1,0,0,0,3,0,4,11,19,0,19,2,1,3,1,1,36,0,4,0,0,0,45,137
12,Arunachal Pradesh,Tawang,1,0,0,1,0,0,0,0,0,1,10,10,1,9,0,2,1,0,1,5,0,2,1,0,0,18,53
13,Arunachal Pradesh,Tirap,5,5,1,1,6,2,4,1,0,3,13,21,6,15,0,0,0,0,0,30,0,4,0,0,0,39,129
14,Arunachal Pradesh,Total,68,63,7,36,58,42,16,47,0,100,269,432,47,385,20,34,62,3,20,436,0,53,2,10,0,647,2367
1,Assam,Barpeta,69,7,1,49,76,55,21,50,0,38,148,170,5,165,281,14,22,2,22,142,0,26,14,71,0,587,1789
2,Assam,Bongaigaon,61,13,2,19,47,38,9,31,1,17,62,100,9,91,79,10,13,1,8,81,4,25,0,33,0,217,824
3,Assam,C.I.D,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,28,38
4,Assam,Cachar,64,33,1,65,121,95,26,59,4,48,279,383,1,382,580,32,34,4,67,226,7,92,0,171,0,1160,3430
5,Assam,Darrang,86,20,4,51,71,55,16,37,0,35,131,245,37,208,83,29,30,2,17,276,5,36,0,35,0,227,1420
6,Assam,Dhemaji,17,15,0,38,42,30,12,11,0,23,35,112,8,104,31,9,9,0,13,174,1,33,2,35,0,117,717
7,Assam,Dhubri,65,11,0,35,71,54,17,43,3,14,75,118,2,116,325,12,20,5,15,162,2,37,1,86,0,268,1368
8,Assam,Dibrugarh,123,26,4,28,55,42,13,13,0,46,97,414,21,393,29,8,14,2,12,379,0,28,0,27,0,430,1735
9,Assam,G.R.P.,7,0,0,0,5,3,2,2,0,11,4,90,0,90,8,0,1,0,1,25,2,0,0,1,0,103,260
10,Assam,Golaghat,28,4,0,26,35,21,14,38,0,22,66,117,2,115,118,12,9,1,11,26,1,24,0,46,0,269,853
11,Assam,Gopalpara,60,13,0,42,45,38,7,12,3,26,77,252,9,243,33,8,23,2,20,197,1,17,0,20,0,218,1069
12,Assam,Guwahati City,67,48,18,38,141,131,10,45,7,93,441,1139,105,1034,198,58,70,10,12,672,11,60,0,47,0,1517,4692
13,Assam,Hailakandi,19,8,2,10,39,35,4,17,0,2,78,115,0,115,139,2,16,3,20,123,2,25,0,30,0,224,874
14,Assam,Jorhat,60,13,2,34,37,27,10,4,0,19,80,169,22,147,46,18,14,2,19,95,0,29,0,23,0,363,1027
15,Assam,Kamrup,37,12,7,18,55,42,13,22,2,22,95,168,45,123,87,5,7,1,4,251,1,30,0,10,0,392,1226
16,Assam,Karbi Anglong,64,9,4,9,39,17,22,23,0,40,37,88,23,65,119,3,7,2,1,65,1,7,0,7,0,243,768
17,Assam,Karimaganj,41,11,0,28,46,6,40,28,0,9,86,112,3,109,281,6,17,3,25,55,3,7,0,80,0,139,977
18,Assam,Kokrajhar,107,23,1,16,53,25,28,30,1,18,75,112,3,109,120,8,15,1,7,110,0,34,0,25,0,139,895
19,Assam,Lakhimpur,32,34,0,55,75,40,35,17,0,40,97,186,22,164,91,16,51,0,12,133,1,43,0,12,0,558,1453
20,Assam,Morigaon,19,8,0,16,30,25,5,20,0,11,43,57,1,56,71,9,12,1,9,63,3,5,0,28,0,199,604
21,Assam,N.C. Hills,12,6,0,2,4,3,1,1,0,11,19,22,6,16,4,1,1,0,4,12,0,0,0,1,0,45,145
22,Assam,Nagaon,95,32,0,59,121,112,9,59,6,39,259,299,28,271,284,56,50,0,51,513,0,116,1,68,0,825,2933
23,Assam,Nalbari,77,67,0,19,67,39,28,42,2,31,77,171,1,170,100,13,17,2,10,257,0,28,0,23,0,280,1283
24,Assam,R.P.O,1,0,0,1,0,0,0,4,0,2,0,10,0,10,0,0,0,0,0,12,0,0,0,0,0,39,69
25,Assam,Sibsagar,78,28,2,30,67,67,0,9,0,32,86,293,5,288,57,12,18,1,15,154,2,23,0,28,0,487,1422
26,Assam,Sonitpur,105,27,0,54,71,59,12,45,1,45,177,308,4,304,110,19,41,3,18,236,3,35,0,49,0,386,1733
27,Assam,Tinsukia,129,9,9,20,59,40,19,46,0,47,132,383,8,375,132,10,13,2,7,243,0,17,0,22,0,294,1574
28,Assam,Total,1523,477,57,762,1474,1101,373,708,30,741,2756,5633,370,5263,3406,372,530,50,400,4682,50,777,18,978,0,9754,35178
1,Bihar,Araria,55,23,7,76,61,33,28,25,8,41,105,167,0,167,109,28,46,0,0,5,14,0,0,6,0,1491,2267
2,Bihar,Aurangabad,92,61,3,16,29,4,25,22,0,28,127,178,10,168,215,14,24,0,0,15,30,15,1,6,0,1082,1958
3,Bihar,Bagaha,39,145,4,18,97,20,77,3,0,10,28,70,0,70,77,4,20,0,7,20,0,0,0,0,0,487,1029
4,Bihar,Banka,97,5,3,36,26,10,16,57,4,33,45,72,0,72,242,6,6,0,0,0,19,0,0,19,0,678,1348
5,Bihar,Begusarai,124,150,4,12,55,9,46,6,1,46,60,239,7,232,128,11,30,0,11,200,27,11,0,45,0,1770,2930
6,Bihar,Bettiah,62,271,13,20,92,35,57,9,7,40,107,213,25,188,358,45,18,2,25,280,15,51,0,25,0,543,2196
7,Bihar,Bhabhua,48,41,4,11,22,2,20,54,3,16,76,127,1,126,167,13,22,1,21,255,16,4,1,22,0,493,1417
8,Bihar,Bhagalpur,139,62,7,26,67,47,20,17,7,93,162,369,28,341,200,18,20,14,15,1,16,8,0,20,0,1281,2542
9,Bihar,Bhojpur,122,72,0,8,53,7,46,43,0,49,121,252,12,240,231,0,33,0,0,625,29,0,10,0,0,1498,3146
10,Bihar,Bokaro,54,12,3,40,37,0,37,47,0,86,146,511,0,511,162,16,18,0,1,4,4,0,12,6,0,1319,2478
11,Bihar,Buxar,67,73,1,15,28,4,24,41,3,34,63,188,1,187,144,10,24,0,5,101,15,7,0,18,0,637,1474
12,Bihar,Chaibasa,145,40,4,61,25,0,25,14,3,24,47,159,0,159,48,9,10,0,0,4,8,5,6,3,0,746,1361
13,Bihar,Chatra,55,4,0,11,7,0,7,14,2,19,24,53,0,53,91,2,17,0,12,25,11,9,9,3,0,243,611
14,Bihar,Darbhanga,53,10,4,23,45,31,14,29,2,35,96,153,19,134,225,25,6,0,8,0,21,4,0,23,0,1983,2745
15,Bihar,Deoghar,44,70,4,30,7,0,7,25,0,18,109,146,0,146,230,11,18,0,16,175,17,16,8,4,0,578,1526
16,Bihar,Dhanbad,68,50,23,42,73,0,73,67,6,42,244,556,0,556,209,68,85,0,13,412,27,39,2,11,0,1650,3687
17,Bihar,Dhanbad Rly.,9,0,0,0,4,0,4,19,2,18,6,190,0,190,6,0,30,0,0,0,0,0,0,0,0,31,315
18,Bihar,Dumka,87,28,90,32,16,0,16,28,2,15,60,96,0,96,152,10,39,0,2,4,4,3,1,14,0,1014,1697
19,Bihar,Garhwa,41,5,8,14,15,0,15,26,5,31,20,58,0,58,95,7,20,1,0,40,3,3,8,4,0,347,751
20,Bihar,Gaya,188,137,13,46,54,6,48,105,4,109,178,411,10,401,387,0,103,0,31,70,33,17,4,23,0,1227,3140
21,Bihar,Giridih,62,10,8,41,25,0,25,62,11,34,96,185,0,185,248,18,10,1,0,12,16,20,11,20,0,1324,2214
22,Bihar,Godda,55,35,0,32,23,0,23,27,0,16,43,78,0,78,143,17,7,0,0,0,6,3,0,6,0,634,1125
23,Bihar,Gopalganj,111,68,7,18,37,16,21,45,4,58,100,148,16,132,211,76,116,0,30,47,18,5,8,160,0,896,2163
24,Bihar,Gumla,171,22,7,52,27,0,27,18,4,12,37,73,0,73,47,2,9,0,1,48,14,11,4,8,0,444,1011
25,Bihar,Hazaribagh,86,58,12,54,43,0,43,60,10,79,152,342,0,342,256,20,18,0,2,108,15,16,4,2,0,1234,2571
26,Bihar,Jamalpur Rly.,8,1,1,0,1,1,0,4,0,7,2,126,3,123,5,2,0,0,0,0,0,2,0,0,0,62,221
27,Bihar,Jamshedpur,82,148,90,53,9,0,9,13,2,31,140,587,0,587,38,39,98,0,9,75,20,8,0,60,0,2209,3711
28,Bihar,Jamshedpur Rly.,2,0,0,0,2,0,2,8,1,3,4,74,0,74,6,0,20,0,0,0,0,0,0,0,0,72,192
29,Bihar,Jamui,50,24,2,10,25,7,18,18,0,13,42,77,0,77,129,0,8,0,0,0,20,0,0,6,0,726,1150
30,Bihar,Jehanabad,96,31,18,16,39,5,34,32,1,34,49,173,0,173,203,0,63,0,0,0,30,0,0,46,0,1245,2076
31,Bihar,Katihar,71,50,0,46,72,39,33,32,0,35,65,182,17,165,267,10,37,2,18,17,16,0,0,64,0,1091,2075
32,Bihar,Katihar Rly.,14,NA,0,3,6,2,4,14,2,21,7,164,0,164,12,0,6,0,0,0,0,1,0,0,0,113,363
33,Bihar,Khagaria,92,97,2,7,30,9,21,10,0,30,26,78,6,72,129,9,21,0,3,32,1,9,0,8,0,533,1117
34,Bihar,Kishanganj,24,4,0,26,53,45,8,13,0,5,52,59,10,49,142,3,12,3,1,0,5,0,0,95,0,633,1130
35,Bihar,Kodarma,23,5,4,11,16,0,16,28,8,21,13,79,0,79,64,4,20,1,1,20,0,8,8,4,0,277,615
36,Bihar,Lakhisaraj,57,24,7,8,33,11,22,9,2,11,18,98,2,96,123,11,8,0,8,5,10,4,0,14,0,375,825
37,Bihar,Lohardagga,40,16,0,15,9,0,9,10,0,12,29,26,0,26,40,0,4,0,0,0,0,0,6,1,0,163,371
38,Bihar,Medhepura,52,35,24,14,60,14,46,15,0,24,34,76,12,64,92,22,40,0,14,34,5,0,0,0,0,674,1215
39,Bihar,Madhubani,68,118,100,32,60,12,48,29,9,24,134,236,8,228,241,27,6,0,3,57,9,0,0,51,0,1575,2779
40,Bihar,Motihari,123,60,7,35,97,37,60,37,6,83,128,420,8,412,344,70,88,10,12,635,51,18,0,31,0,1860,4115
41,Bihar,Munger,81,97,8,5,42,11,31,15,3,40,64,162,12,150,252,9,24,0,3,163,17,9,0,39,0,1053,2086
42,Bihar,Muzaffarpur,109,150,71,20,107,68,39,50,10,139,124,418,78,340,213,35,11,0,22,76,58,8,0,97,0,2703,4421
43,Bihar,Muzaffarpur Rly.,21,1,1,2,2,0,2,8,1,14,24,229,24,205,16,0,8,0,0,0,0,0,0,1,0,191,519
44,Bihar,Nalanda,214,285,9,26,83,5,78,52,17,82,82,296,5,291,253,0,24,0,0,0,66,0,0,0,0,2336,3825
45,Bihar,Naugachia,57,74,0,6,27,7,20,5,3,17,15,48,2,46,63,1,9,0,4,25,4,0,0,3,0,239,600
46,Bihar,Nawadah,83,87,14,9,43,7,36,13,0,21,30,93,0,93,194,16,22,0,17,295,14,11,0,13,0,567,1542
47,Bihar,Pakur,42,24,7,30,15,0,15,9,2,9,16,37,0,37,36,4,12,0,7,44,7,3,0,0,0,207,511
48,Bihar,Palamau,81,39,7,9,17,0,17,28,1,23,55,69,0,69,95,9,9,1,24,79,13,4,4,20,0,1191,1778
49,Bihar,Patna,476,541,35,36,199,8,191,128,25,397,445,1733,425,1308,512,184,342,5,56,338,87,48,0,134,40,3239,9000
50,Bihar,Patna Rly.,23,8,1,6,8,0,8,19,4,12,9,772,17,755,5,4,23,0,0,0,0,3,0,0,0,191,1088
51,Bihar,Purnea,114,101,5,91,96,14,82,46,1,111,79,262,32,230,414,11,38,0,15,10,11,4,0,33,0,1085,2527
52,Bihar,Ranchi,254,40,12,76,59,0,59,78,3,123,205,631,0,631,155,23,10,2,22,20,8,18,2,6,0,1824,3571
53,Bihar,Rohtas,126,139,17,28,94,25,69,84,11,75,187,307,13,294,366,41,32,1,42,103,36,4,3,57,0,1307,3060
54,Bihar,Saharsa,32,118,14,13,32,10,22,7,5,26,43,70,3,67,181,26,36,0,15,78,14,16,0,0,0,589,1315
55,Bihar,Sahebganj,54,58,14,43,21,0,21,19,10,17,27,139,0,139,78,6,19,1,7,38,10,11,10,7,0,298,887
56,Bihar,Samastipur,168,155,21,27,68,5,63,74,22,99,141,240,43,197,334,47,41,0,66,295,14,0,0,0,0,1319,3131
57,Bihar,Saran,157,156,20,20,80,20,60,147,4,124,88,258,10,248,296,10,41,0,0,240,60,0,0,23,0,2482,4206
58,Bihar,Sheikhpura,24,0,0,2,8,5,3,11,0,11,6,52,3,49,116,0,0,0,8,0,7,0,0,10,0,577,832
59,Bihar,Sheohar,10,25,2,7,12,10,2,1,0,7,7,9,0,9,34,6,9,0,0,4,4,2,0,10,0,196,345
60,Bihar,Sitamarhi,63,13,7,43,59,46,13,44,3,38,68,172,20,152,243,9,33,2,7,22,17,9,0,10,0,1246,2108
61,Bihar,Siwan,126,101,8,8,34,16,18,71,5,82,73,114,32,82,177,8,26,0,20,243,24,3,0,36,0,637,1796
62,Bihar,Supaul,47,16,6,21,25,5,20,30,23,26,45,139,0,139,138,10,17,18,6,37,5,6,0,15,0,1183,1813
63,Bihar,Vaishali,118,20,15,32,100,32,68,16,1,63,121,340,7,333,260,34,121,1,29,0,64,0,0,54,0,2075,3464
64,Bihar,Total,5356,4313,778,1570,2711,700,2011,2090,273,2896,4949,14079,921,13158,10647,1120,2087,66,639,5436,1085,456,122,1396,40,61973,124082
1,Goa,North Goa,17,11,3,8,3,2,1,2,0,20,242,344,135,209,44,16,33,4,13,94,1,10,5,8,0,398,1276
2,Goa,South Goa,25,16,3,13,8,5,3,2,0,13,194,324,94,230,18,14,15,3,12,102,1,10,4,5,0,364,1146
3,Goa,Total,42,27,6,21,11,7,4,4,0,33,436,668,229,439,62,30,48,7,25,196,2,20,9,13,0,762,2422
1,Gujarat,Ahmedabad Commr.,111,58,5,11,149,72,77,22,2,226,811,3593,1540,2053,257,123,246,9,6,1317,3,35,28,357,0,6781,14150
2,Gujarat,Ahmedabad Rural,55,25,1,8,27,22,5,14,0,43,147,246,40,206,82,37,14,1,42,629,0,46,2,97,0,1163,2679
3,Gujarat,Ahwa- Dang,2,1,0,1,0,0,0,0,0,1,4,12,4,8,11,1,2,0,5,27,1,2,0,12,0,108,190
4,Gujarat,Amreli,27,14,1,9,27,22,5,5,0,21,114,191,39,152,38,18,27,3,15,432,3,14,0,76,0,1246,2281
5,Gujarat,Anand,35,16,1,10,58,53,5,5,0,11,184,473,126,347,58,159,89,5,25,590,0,42,1,264,0,2242,4268
6,Gujarat,Banaskantha,44,53,2,26,53,47,6,5,0,63,243,431,61,370,111,57,73,2,26,1652,1,62,4,164,0,1122,4194
7,Gujarat,Bharuch,51,13,0,12,27,25,2,11,0,24,184,402,82,320,71,99,38,3,45,464,0,22,3,75,0,1786,3330
8,Gujarat,Bhavnagar,61,33,5,13,66,58,8,6,0,58,237,610,224,386,135,120,111,2,49,141,10,46,5,134,0,4210,6052
9,Gujarat,Dahod,39,15,0,9,12,12,0,33,0,65,91,122,29,93,51,16,1,0,35,433,0,27,1,6,0,836,1792
10,Gujarat,Gandhinagar,37,6,0,9,26,20,6,9,1,65,180,682,163,519,70,37,44,1,10,385,2,30,2,121,0,1931,3648
11,Gujarat,Jamnagar,45,17,0,14,26,19,7,26,0,24,169,358,62,296,58,53,10,7,36,649,0,66,0,74,0,2529,4161
12,Gujarat,Junagadh,43,34,4,26,32,28,4,9,0,43,262,463,141,322,32,88,53,2,7,464,3,28,7,168,0,2616,4384
13,Gujarat,Kheda North,54,30,0,9,52,40,12,9,0,48,268,603,121,482,124,141,155,2,11,647,8,59,18,381,0,3432,6051
14,Gujarat,Kutch,50,11,1,10,57,57,0,10,0,26,139,411,98,313,87,76,79,0,33,606,0,58,0,178,0,2725,4557
15,Gujarat,Meshana,39,22,0,7,40,30,10,11,0,27,233,318,82,236,72,43,65,3,18,456,0,29,5,199,0,2180,3767
16,Gujarat,Narmada,46,30,0,17,63,45,18,10,1,37,198,573,85,488,109,56,80,1,22,580,2,56,0,199,0,3510,5590
17,Gujarat,Navsari,23,2,0,16,12,10,2,2,0,2,31,54,13,41,11,2,7,0,10,138,0,16,3,19,0,551,899
18,Gujarat,Panchmahals,27,6,0,6,7,6,1,13,0,7,115,170,63,107,27,38,20,1,8,138,0,2,0,26,0,994,1605
19,Gujarat,Patan,20,14,0,5,13,10,3,3,0,12,74,274,34,240,56,21,31,0,27,402,0,32,0,79,0,1374,2437
20,Gujarat,Porbandar,18,4,0,5,14,11,3,0,0,12,65,137,38,99,24,42,36,0,6,143,1,20,0,85,0,971,1583
21,Gujarat,Rajkot Commr.,36,32,0,7,38,24,14,5,1,44,350,1177,484,693,60,62,80,2,7,514,4,35,20,186,0,2427,5087
22,Gujarat,Rajkot Rural,51,44,4,18,48,38,10,13,0,41,265,586,92,494,102,188,17,3,21,758,6,37,4,180,0,3008,5394
