SI.No.,States/UT/City,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estimated Mid- Year Population(In Lakhs),Rate of Total Cognizable Crimes,Rank of* Criminality
1,Andhra Pradesh,569837,16.8,758.5,751.2,3
2,Arunachal Pradesh,36,0,12,3,30
3,Assam,2449,0.1,263,9.3,26
4,Bihar,7944,0.2,1005.6,7.9,28
5,Goa,1636,0,16.1,101.9,11
6,Gujarat,152876,4.5,484.9,315.3,6
7,Haryana,22730,0.7,199.3,114.1,10
8,Himachal Pradesh,3841,0.1,67.4,57,18
9,Jammu & Kashmir,3275,0.1,99.9,32.8,23
10,Karnataka,19246,0.6,523,36.8,21
11,Kerala,23529,0.7,323.5,72.7,15
12,Madhya Pradesh,253819,7.5,802.3,316.4,5
13,Maharashtra,175287,5.2,914.3,191.7,8
14,Manipur,875,0,25.4,34.5,22
15,Meghalaya,170,0,24.5,6.9,29
16,Mizoram,1181,0,9.6,123.1,9
17,Nagaland,724,0,17,42.7,20
18,Orissa,4732,0.1,359.6,13.2,25
19,Punjab,23866,0.7,236.2,101,12
20,Rajasthan,28384,0.8,538.7,52.7,19
21,Sikkim,386,0,5.6,68.7,17
22,Tamil Nadu,576967,17,619.3,931.6,2
23,Tripura,106,0,38.1,2.8,32
24,Uttar Pradesh,454860,13.4,1715.4,265.2,7
25,West Bengal,1051578,31,793.3,1325.5,1
Total States,Total States,3380334,99.5,9852.4,343.1,NA
26,A & N Islands,2907,0.1,3.9,749.2,4
27,Chandigarh,774,0,8.9,86.6,13
28,D & N Haveli,35,0,1.9,18.2,24
29,Daman & Diu,4,0,1.4,2.8,31
30,Delhi,11826,0.3,141,83.9,14
31,Lakshadweep,6,0,0.7,8.3,27
32,Pondicherry,780,0,11.2,69.7,16
Total (UTs),Total (UTs),16332,0.5,169,96.6,NA
Total (All -India),Total (All -India),3396666,100,10021.4,338.9,NA
33,Ahmedabad,11591,0.8,42.8,270.8,12
34,Bangalore,3264,0.2,57.1,57.2,20
35,Bhopal,1865,0.1,16.9,110.6,16
36,Calcutta,70241,5,67.5,1040.9,5
37,Chennai,2944,0.2,13,226.3,14
38,Coimbatore,10894,0.8,120.6,90.3,17
39,Delhi,59830,4.2,71.5,836.3,6
40,Hyderabad,3699,0.3,14.6,254.2,13
41,Indore,1783,0.1,22.1,80.6,19
42,Jaipur,27786,2,24.8,1121.3,4
43,Kanpur,1626,0.1,18.3,88.7,18
44,Kochi,1039446,73.5,130.6,7962.1,1
45,Lucknow,10961,0.8,26.7,409.9,10
46,Ludhiana,855,0.1,17.3,49.5,21
47,Madurai,23247,1.6,12.8,1810.5,3
48,Mumbai,5856,0.4,187.1,31.3,22
49,Nagpur,3629,0.3,20.9,173.5,15
50,Patna,347,0,13,26.7,23
51,Pune,10199,0.7,35.9,283.8,11
52,Surat,18995,1.3,24.4,778.2,7
53,Vadodra,8061,0.6,16.6,486.2,9
54,Varanasi,8197,0.6,13.1,625.7,8
55,Vishakhapatnam,88184,6.2,17.8,4945.8,2
Total Cities,Total Cities,1413500,100,985.4,1434.4,NA
