SI.No.,State/UT/City,Estimated mid - Year Population,Murder - Incidence,Murder - Rate,Murder - percentage contribution to All India,Hurt - Incidence,Hurt - Rate,Hurt - percentage contribution to All India,Rape - Incidence,Rape - Rate,Rape - percentage contribution to All India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - percentage contribution to All India,Dacoity - Incidence,Dacoity - Rate,Dacoity - percentage contribution to All India,Robbery - Incidence,Robbery - Rate,Robbery - percentage contribution to All India,Arson - Incidence,Arson - Rate,Arson - percentage contribution to All India,Prot. of Civl Rights Act - Incidence,Prot. Of Civl Rights Act - Rate,Prot. Of Civl Rights Act - percentage contribution to All India,SC/ST (Prev. of Atroc.) Act - Incidence,SC/ST(Prev. of Atroc.) Act - Rate,SC/ST(Prev. of Atroc.) Act - percentage contribution to All India,other Offences - Incidence,other Offences - Rate,other Offences - percentage contribution to All India,Total - Incidence,Total - Rate,Total - percentage contribution to All India
1,Andhra Pradesh,758.5,29,0,5.5,323,0.4,9.2,53,0.1,4.9,9,0,3.4,2,0,5.3,0,0,0,8,0,2.8,284,0.4,42.3,529,0.7,7.2,345,0.5,3,1582,2.1,6.2
2,Arunachal Pradesh,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,263,0,0,0,4,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0.9,1,0,0.3,0,0,0,1,0,0,4,0,0,11,0,0
4,Bihar,1005.6,4,0,0.8,244,0.2,7,17,0,1.6,5,0,1.9,2,0,5.3,3,0,2.8,12,0,4.1,6,0,0.9,220,0.2,3,228,0.2,2,741,0.7,2.9
5,Goa,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,1,0.1,0
6,Gujarat,484.9,22,0,4.2,184,0.4,5.3,15,0,1.4,15,0,5.6,2,0,5.3,16,0,14.8,8,0,2.8,7,0,1,334,0.7,4.5,729,1.5,6.3,1332,2.7,5.2
7,Haryana,199.3,2,0,0.4,37,0.2,1.1,20,0.1,1.8,6,0,2.2,0,0,0,0,0,0,2,0,0.7,1,0,0.1,21,0.1,0.3,28,0.1,0.2,117,0.6,0.5
8,Himachal Pradesh,67.4,0,0,0,7,0.1,0.2,6,0.1,0.6,0,0,0,0,0,0,1,0,0.9,3,0,1,10,0.1,1.5,16,0.2,0.2,9,0.1,0.1,52,0.8,0.2
9,Jammu & Kashmir,99.9,0,0,0,0,0,0,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,1,0,0,4,0,0,9,0.1,0
10,Karnataka,523,11,0,2.1,13,0,0.4,16,0,1.5,2,0,0.7,0,0,0,0,0,0,1,0,0.3,100,0.2,14.9,1176,2.2,15.9,10,0,0.1,1329,2.5,5.2
11,Kerala,323.5,7,0,1.3,126,0.4,3.6,65,0.2,6,0,0,0,1,0,2.6,0,0,0,4,0,1.4,0,0,0,146,0.5,2,118,0.4,1,467,1.4,1.8
12,Madhya Pradesh,802.3,45,0.1,8.6,798,1,22.8,289,0.4,26.7,26,0,9.7,5,0,13.2,8,0,7.4,27,0,9.3,27,0,4,539,0.7,7.3,2867,3.6,24.7,4631,5.8,18.2
13,Maharashtra,914.3,2,0,0.4,16,0,0.5,49,0.1,4.5,4,0,1.5,1,0,2.6,2,0,1.9,5,0,1.7,98,0.1,14.6,128,0.1,1.7,184,0.2,1.6,489,0.5,1.9
14,Manipur,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mizoram,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,359.6,16,0,3,89,0.2,2.5,17,0,1.6,0,0,0,0,0,0,0,0,0,5,0,1.7,1,0,0.1,349,1,4.7,316,0.9,2.7,793,2.2,3.1
19,Punjab,236.2,0,0,0,4,0,0.1,8,0,0.7,2,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,17,0.1,0.2,3,0,0,34,0.1,0.1
20,Rajasthan,538.7,48,0.1,9.1,153,0.3,4.4,128,0.2,11.8,13,0,4.9,1,0,2.6,3,0,2.8,49,0.1,16.9,0,0,0,454,0.8,6.1,4341,8.1,37.5,5190,9.6,20.4
21,Sikkim,5.6,0,0,0,0,0,0,1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.5,0.1,15,2.7,0.1
22,Tamil Nadu,619.3,12,0,2.3,654,1.1,18.7,17,0,1.6,1,0,0.4,0,0,0,1,0,0.9,0,0,0,103,0.2,15.3,418,0.7,5.7,90,0.1,0.8,1296,2.1,5.1
23,Tripura,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,1715.4,328,0.2,62.4,845,0.5,24.2,379,0.2,35,185,0.1,69,24,0,63.2,73,0,67.6,165,0.1,56.9,18,0,2.7,3018,1.8,40.9,2295,1.3,19.8,7330,4.3,28.8
25,West Bengal,793.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total States,Total States,9852.4,526,0.1,100,3497,0.4,100,1083,0.1,100,268,0,100,38,0,100,108,0,100,290,0,100,656,0.1,97.6,7368,0.7,99.8,11585,1.2,100,25419,2.6,99.9
