SI.No.,State/UT/City,Incidence,Percentage Countribution to All - India Total,Estimated Mid - Year Population (in Lakh),Rate of Total Cog. Crimes,Rank *,Rank**
1,Andhra Pradesh,202,4.8,758.5,0.3,9,5
2,Arunachal Pradesh,13,0.3,12,1.1,6,11
3,Assam,0,0,263,0,NA,NA
4,Bihar,61,1.5,1005.6,0.1,18,10
5,Goa,0,0,16.1,0,NA,NA
6,Gujarat,315,7.5,484.9,0.6,7,3
7,Haryana,0,0,199.3,0,NA,NA
8,Himachal Pradesh,11,0.3,67.4,0.2,12,12
9,Jammu & Kashmir,4,0.1,99.9,0,20,16
10,Karnataka,64,1.5,523,0.1,14,8
11,Kerala,63,1.5,323.5,0.2,11,9
12,Madhya Pradesh,1845,44,802.3,2.3,1,1
13,Maharashtra,142,3.4,914.3,0.2,13,6
14,Manipur,0,0,25.4,0,NA,NA
15,Meghalaya,2,0,24.5,0.1,16,19
16,Mizoram,1,0,9.6,0.1,15,22
17,Nagaland,0,0,17,0,NA,NA
18,Orissa,228,5.4,359.6,0.6,8,4
19,Punjab,6,0.1,236.2,0,21,15
20,Rajasthan,1130,27,538.7,2.1,2,2
21,Sikkim,8,0.2,5.6,1.4,4,14
22,Tamil Nadu,9,0.2,619.3,0,22,13
23,Tripura,3,0.1,38.1,0.1,17,18
24,Uttar Pradesh,78,1.9,1715.4,0,19,7
25,West Bengal,0,0,793.3,0,NA,NA
Total States,Total States,4185,99.9,9852.4,0.4,NA,NA
26,A & N Islands,1,0,3.9,0.3,10,22
27,Chandigarh,0,0,8.9,0,NA,NA
28,D & N Haveli,3,0.1,1.9,1.6,3,18
29,Daman & DIU,0,0,1.4,0,NA,NA
30,Delhi,0,0,141,0,NA,NA
31,Lakshadweep,1,0,0.7,1.4,5,22
32,Pondicherry,0,0,11.2,0,NA,NA
Total (UTs),Total (UTs),5,0.1,169,0,NA,NA
Total (All NAIndia),Total (All NAIndia),4190,100,10021.4,0.4,NA,NA
