SL.No.,State/UT,Number of cases in which property was - stolen,Number of cases in which property was - Recoverd,Value of property (Rs.in Lakh) - Stolen,Value of property (Rs.in Lakh) - Recovered
1,Andhra Pradesh,100,54,15.7,12
2,Arunachal Pradesh,4,2,0.9,0.1
3,Assam,36,13,3.5,1.7
4,Bihar,2239,648,67,6.1
5,Goa,5,2,2.6,1.5
6,Gujarat,0,0,0,0
7,Haryana,4,2,0.7,0.5
8,Himachal Pradesh,7,3,2.1,0.4
9,Jammu & Kashmir,1,0,1,0
10,Karnataka,19,11,2.9,1.2
11,Kerala,36,19,11.4,7.2
12,Madhya Pradesh,135,37,30,18.4
13,Maharashtra,1,1,1.3,0.4
14,Manipur,0,0,0,0
15,Meghalaya,70,6,89.3,0.4
16,Mizoram,1,1,0.4,0.4
17,Nagaland,2,0,0.1,0
18,Orissa,8,4,0.8,0.5
19,Punjab,7,3,1.5,1
20,Rajasthan,90,25,132.3,119.1
21,Sikkim,0,0,0,0
22,Tamil Nadu,60,32,3.4,1.1
23,Tripura,0,0,0,0
24,Uttar Pradesh,8,2,2.2,1.5
25,West Bengal,305,10,28,0.6
Total States,Total States,3138,875,397.1,173.9
26,A & N Islands,0,0,0,0
27,Chandigarh,1,0,0.1,0
28,D & N Haveli,0,0,0,0
29,Daman & DIU,0,0,0,0
30,Delhi,0,0,0,0
31,Lakshadweep,0,0,0,0
32,Pondicherry,0,0,0,0
Total (UTs),Total (UTs),1,0,0.1,0
Total (All -India),Total (All -India),3139,875,397.2,173.9
