SI.No.,State/UT,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
1,Andhra Pradesh,10803,4260,10074,33853,58990
2,Arunachal Pradesh,69,4295,63,917,5344
3,Assam,3356,5218,7959,38209,54742
4,Bihar,NA,NA,NA,NA,NA
5,Goa,58,1,187,2278,2524
6,Gujarat,7891,10632,3492,37648,59663
7,Haryana,4621,0,479,22389,27489
8,Himachal Pradesh,2574,691,167,8016,11448
9,Jammu & Kashmir,1732,2298,31615,24482,60127
10,Karnataka,8500,2185,3951,36296,50932
11,Kerala,4650,592,5750,31286,42278
12,Madhya Pradesh,11585,12431,3382,69905,97303
13,Maharashtra,17775,11006,5950,98283,133014
14,Manipur,207,3326,1420,9594,14547
15,Meghalaya,1980,6044,78,137,8239
16,Mizoram,74,6194,46,62,6376
17,Nagaland,1418,5276,98,420,7212
18,Orissa,4658,5080,0,24875,34613
19,Punjab,13399,131,234,54478,68242
20,Rajasthan,8955,6918,2311,45048,63232
21,Sikkim,410,1052,3,2585,4050
22,Tamil Nadu,14350,1120,5136,62157,82763
23,Tripura,939,1712,626,10382,13659
24,Uttar Pradesh,43160,1740,11664,104800,161364
25,West Bengal@,7463,2505,3923,41184,55075
Total States,Total States,170627,94707,98608,759284,1123226
26,A & N Islands,0,301,216,2328,2845
27,Chandigarh,540,3,23,3443,4009
28,D & N Haveli,25,126,3,95,249
29,Daman & DIU,79,5,7,115,206
30,Delhi,10618,2726,1236,38771,53351
31,Lakshadweep,6,185,3,132,326
32,Pondicherry,368,12,47,1609,2036
Total (UTs),Total (UTs),11636,3358,1535,46493,63022
Total (All -India),Total (All -India),182263,98065,100143,805777,1186248
