SI.No.,States/UT/City,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act - Incidence,Protection of Civil Rights Act - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activites Act - Incidence,Terrorist & Disruptive Activites Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P)Act - Incidence,Indecent Representation of Women (P)Act - Rate,Copy Right Act - Incidence,Copy Right Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev. Of Atrocities ) Act - Incidence,SC/ST (Prev. Of Atrocities ) Act - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate
1,Andhra Pradesh,519,0.7,680,0.9,38369,50.6,2904,3.8,2278,3.7,646,0.9,482,0.6,688,0.9,2,0,281,0.4,25,0,44,0.1,0,0,13,0,426,0.6,7,0,379,0.5,123,0.2,0,0,682,0.9,77,0.1,520712,686.5,569837,751.2
2,Arunachal Pradesh,14,1.2,7,0.6,0,0,0,0,0,0,4,0.3,0,0,0,0,2,0.2,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.7,36,3
3,Assam,425,1.6,131,0.5,111,0.4,84,0.3,72,0.3,90,0.3,17,0.1,9,0,2,0,0,0,3,0,26,0.1,0,0,0,0,29,0.1,0,0,0,0,4,0,0,0,0,0,5,0,1441,5.5,2449,9.3
4,Bihar,2704,2.7,212,0.2,155,0.2,1501,1.5,0,0,294,0.3,9,0,35,0,3,0,0,0,0,0,272,0.3,12,0,0,0,868,0.9,1,0,53,0.1,5,0,0,0,725,0.7,86,0.1,1009,1,7944*,7.9
5,Goa,5,0.3,42,2.6,1014,63.1,0,0,0,0,2,0.1,28,1.7,3,0.2,7,0.4,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,532,33.1,1636,101.9
6,Gujarat,324,0.7,134,0.3,7090,14.6,0,0,106615,219.9,58,0.1,47,0.1,1775,3.7,16,0,26,0.1,23,0,191,0.4,0,0,1,0,0,0,31,0.1,0,0,221,0.5,0,0,517,1.1,5,0,35802,73.8,152876,315.3
7,Haryana,1066,5.3,1168,5.9,4399,22.1,11788,59.2,0,0,36,0.2,13,0.1,883,4.4,3,0,0,0,4,0,156,0.8,0,0,2,0,1,0,2,0,0,0,60,0.3,0,0,40,0.2,0,0,3109,15.6,22730,114.1
8,Himachal Pradesh,17,0.3,194,2.9,229,3.4,2967,44,0,0,7,0.1,1,0,2,0,9,0.1,11,0.2,0,0,11,0.2,0,0,0,0,3,0,4,0.1,0,0,6,0.1,0,0,20,0.3,284,4.2,76,1.1,3841,57
9,Jammu & Kashmir,1338,13.4,115,1.2,58,0.6,313,3.1,0,0,306,3.1,2,0,0,0,9,0.1,2,0,21,0.2,575,5.8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,0.2,517,5.2,3275,32.8
10,Karnataka,87,0.2,223,0.4,5937,11.4,2821,5.4,0,0,98,0.2,1308,2.5,16,0,29,0.1,100,0.2,20,0,224,0.4,0,0,7,0,392,0.7,2,0,0,0,82,0.2,0,0,1226,2.3,305,0.6,6369,12.2,19246,36.8
