SI.No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,other places - Number,other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,5186,534.9,232,60.7,3,0.2,635,68.8,74,13.7,1920,188.5,8246,1304.3,16296,2171.2
2,Arunachal Pradesh,126,28.3,34,19.6,1,0.5,0,0,0,0,40,8.6,231,50.6,432,107.7
3,Assam,3812,243.2,40,6.2,17,0.9,25,2.2,0,0,378,46.6,1361,127.1,5633,426.1
4,Bihar,6912,440.9,218,66.2,3,0.1,992,77.4,22,0,395,14.7,5537,624.1,14079,1223.4
5,Goa,90,27.8,3,1.1,4,0.2,1,0.1,0,0,77,17.4,493,183.9,668,230.4
6,Gujarat,3642,1085.4,118,61.1,9,751,454,74,12,3.3,1376,349.8,10911,2718.5,16522,5043.1
7,Haryana,1725,517.1,71,35.7,0,0,208,42.5,3,0.8,595,184.6,3911,1605.5,6513,2386.2
8,Himachal Pradesh,82,20.4,27,16,0,0,1,0,0,0,44,15.6,536,206.2,690,258.1
9,Jammu & Kashmir,536,265.7,10,7.4,0,0,0,0,0,0,226,132.1,1071,260.6,1843,665.8
10,Karnataka,4316,867.5,69,21.2,1,2.5,288,41.9,12,3.6,1170,317.1,7808,1758.6,13664,3012.3
11,Kerala,1340,1040.4,262,203.2,10,1,99,75,2,0.3,347,209.2,1966,459.1,4026,1988.2
12,Madhya Pradesh,8426,1188.3,252,319.6,80,3.8,995,108.7,3,0,1502,203,14276,1748.7,25534,3572.1
13,Maharashtra,8385,2193.1,966,394.9,3,1.2,2966,367.5,15,15.7,2501,960.5,26634,13114.2,41470,17047
14,Manipur,95,13.9,6,4.6,1,0.2,0,0,0,0,31,5.6,78,26.2,211,50.6
15,Meghalaya,240,29.9,0,0,0,0,0,0,0,0,0,0,140,34.1,380,63.9
16,Mizoram,530,38.5,3,0.3,0,0,0,0,0,0,155,16.8,248,44.4,936,100
17,Nagaland,99,18.7,9,2.9,0,0,0,0,0,0,53,9.4,100,33.9,261,65
18,Orissa,2173,278.3,21,8.5,14,0.3,349,48.4,8,1,769,80.1,3120,347,6454,763.6
19,Punjab,1018,440.2,38,71.7,0,0,40,15.7,2,0.9,260,138.2,1151,893.7,2509,1560.4
20,Rajasthan,3117,673.6,48,115.7,0,0,386,25.9,2,0.1,1280,1357.6,12193,1469.5,17026,3642.6
21,Sikkim,40,11.3,0,0,0,0,0,0,0,0,0,0,21,7.8,61,19.1
22,Tamil Nadu,4463,474.9,308,60.6,8,1.7,441,43.5,1,0.3,1729,250.5,10305,1387.6,17255,2219.1
23,Tripura,234,32.6,0,0,0,0,0,0,0,0,21,3,39,6.2,294,41.8
24,Uttar Pradesh,6371,707.1,6734,2029.3,0,0,1880,120.4,1,0,907,180.5,11556,1476.6,27449,4513.8
25,West Bengal,4378,558,122,18.7,0,0,1391,122.2,85,3.9,1301,163.1,8347,743.8,15624,1609.8
Total States,Total States,67336,11729.9,9591,3525.3,154,763.6,11151,1234.2,242,43.6,17077,4852.6,130279,30632.2,235830,52781.4
26,A & N Islands,34,5.5,0,0,6,1.2,0,0,0,0,1,0,48,10.8,89,17.5
27,Chandigarh,374,49.2,0,0,28,8.4,0,0,0,0,89,29.8,580,299.2,1071,386.6
28,D & N Haveli,3,0.3,0,0,9,0.1,0,0,0,0,19,9,41,7.5,72,16.8
29,Daman & DIU,1,0.2,0,0,0,0,0,0,0,0,12,21.5,27,17.4,40,39.1
30,Delhi,12203,2878.7,183,73.2,0,0,1509,145.1,0,0,4614,4389.7,2573,2058.2,21082,9544.8
31,Lakshadweep,1,0.7,0,0,0,0,0,0,0,0,0,0,7,0.7,8,1.4
32,Pondicherry,49,5.2,0,0,0,0,0,0,0,0,2,0,345,57.9,396,63.2
Total (UTs),Total (UTs),12665,2939.8,183,73.2,43,9.7,1509,145.1,0,0,4737,4450,3621,2451.8,22758,10069.6
Total (All -India),Total (All -India),80001,14669.7,9774,3598.5,197,773.3,12660,1379.2,242,43.6,21814,9302.6,133900,33084,258588,62851
33,Ahmedabad,908,500.9,1,0.2,0,0,0,0,4,1.1,428,101.5,2252,194.2,3593,797.9
34,Bangalore,2612,575.8,16,2.2,0,0,0,0,7,0.3,667,185,3333,801.7,6635,1565
35,Bhopal,367,38.6,0,0,0,0,0,0,0,0,218,36.1,858,97.1,1443,171.9
36,Calcutta,501,81.7,0,0,0,0,0,0,0,0,196,16.5,1573,318.5,2270,416.7
37,Chennai,90,3.1,0,0,0,0,0,0,0,0,404,95.8,460,30.6,954,129.5
38,Coimbatore,11036,2613.4,175,70,0,0,1509,145.1,0,0,4614,4389.7,2446,2037.2,19780,9255.3
39,Delhi,385,77.5,0,0,0,0,0,0,0,0,207,3.1,2415,599.3,3007,679.9
40,Hyderabad,2168,373.8,0,0,0,0,0,0,0,0,307,52.9,105,18.1,2580,444.8
41,Indore,784,139.5,0,0,0,0,0,0,2,0.1,545,129.1,1282,229.6,2613,498.3
42,Jaipur,661,71.3,410,125.5,0,0,0,0,0,0,0,0,124,5.5,1195,202.3
43,Kanpur,112,59.5,3,13.2,0,0,0,0,0,0,40,47.4,195,25.1,350,145.2
44,Kochi,1521,286.8,0,0,0,0,0,0,0,0,869,115.2,1626,296,4016,698
45,Lucknow,236,35.5,825,157.2,0,0,0,0,0,0,123,25.2,886,50.1,2070,267.9
46,Ludhiana,35,44.1,0,0,0,0,0,0,0,0,21,5.3,251,252.1,307,301.5
47,Madurai,225,26.5,111,4.9,0,0,0,0,0,0,52,42.1,65,5.3,453,78.9
48,Mumbai,1437,800.6,932,379,1,1.1,0,0,5,3.2,856,589,8459,7879.1,11690,9652
49,Nagpur,288,29.3,0,0,0,0,0,0,1,0.4,113,17.8,2217,376.9,2619,424.4
50,Patna,1322,112.6,30,21.9,0,0,0,0,0,0,0,0,102,54.2,1454,188.6
51,Pune,400,101.6,0,0,0,0,0,0,0,0,268,68.1,1945,630.7,2613,800.4
52,Surat,434,128.3,2,0.5,1,0.5,3,0,1,0.1,58,28.9,901,243.6,1400,401.9
53,Vadodra,263,34.3,21,16.6,0,0,0,0,0,0,99,26.2,676,188.8,1059,266
54,Varanasi,56,2.7,186,48.9,0,0,0,0,0,0,38,1.5,122,24,402,77.2
55,Vishakhapatnam,300,16.3,0,0,0,0,0,0,0,0,45,2.2,520,35.4,865,54
