SL.No.,States/UT/City,Arms Act - 1999,Arms Act - 2000,Arms Act - Percentage Variation Over Previous Year,N.D.P.S. Act - 1999,N.D.P.S. Act - 2000,N.D.P.S. Act - Percentage Variation Over Previous Year,Gambling Act - 1999,Gambling Act - 2000,Gambling Act - Percentage Variation Over Previous Year,Excise Act - 1999,Excise Act - 2000,Excise Act - Percentage Variation Over Previous Year,Prohibition Act - 1999,Prohibition Act - 2000,Prohibition Act - Percentage Variation Over Previous Year,Explosives & Expolosive Substances Act - 1999,Explosives & Expolosive Substances Act - 2000,Explosives & Expolosive Substances Act - Percentage Variation Over Previous Year,Immoral Traffic (prevention ) Act - 1999,Immoral Traffic (prevention ) Act - 2000,Immoral Traffic (prevention ) Act - Percentage Variation Over Previous Year,Indian Railways Act - 1999,Indian Railways Act - 2000,Indian Railways Act - Percentage Variation Over Previous Year,Registration of Foreigners Act - 1999,Registration of Foreigners Act - 2000,Registration of Foreigners Act - Percentage Variation Over Previous Year,Protection of Cvil Rights Act - 1999,Protection of Cvil Rights Act - 2000,Protection of Cvil Rights Act - Percentage Variation Over Previous Year,Indian Passport Act - 1999,Indian Passport Act - 2000,Indian Passport Act - Percentage Variation Over Previous Year,Essential Commodities Act - 1999,Essential Commodities Act - 2000,Essential Commodities Act - Percentage Variation Over Previous Year,Terrorist and Disruptive Activites Act - 1999,Terrorist and Disruptive Activites Act - 2000,Terrorist and Disruptive Activites Act - Percentage Variation Over Previous Year,Antiquity & Art Treasure Act - 1999,Antiquity & Art Treasure Act - 2000,Antiquity & Art Treasure Act - Percentage Variation Over Previous Year,Dowry Prohibition Act - 1999,Dowry Prohibition Act - 2000,Dowry Prohibition Act - Percentage Variation Over Previous Year,Child Marriage Restraint Act - 1999,Child Marriage Restraint Act - 2000,Child Marriage Restraint Act - Percentage Variation Over Previous Year,Indecent Representation of Women (P) Act - 1999,Indecent Representation of Women (P) Act - 2000,Indecent Representation of Women (P) Act - Percentage Variation Over Previous Year,Copy Right Act - 1999,Copy Right Act - 2000,Copy Right Act - Percentage Variation Over Previous Year,Sati Prevention Act - 1999,Sati Prevention Act - 2000,Sati Prevention Act - Percentage Variation Over Previous Year,SC/ST Prevention of Atrocities Act - 1999,SC/ST Prevention of Atrocities Act - 2000,SC/ST Prevention of Atrocities Act - Percentage Variation Over Previous Year,Forest Act - 1999,Forest Act - 2000,Forest Act - Percentage Variation Over Previous Year,Other SLL Crimes - 1999,Other SLL Crimes - 2000,Other SLL Crimes - Percentage Variation Over Previous Year,Total Cognizable Crimes under SLL - 1999,Total Cognizable Crimes under SLL - 2000,Total Cognizable Crimes under SLL - Percentage Variation Over Previous Year
1,Andhra Pradesh,575,519,-9.7,735,680,-7.5,29203,38369,31.4,3360,2904,-13.6,1761,2778,57.8,698,646,-7.4,737,482,-34.6,751,688,-8.4,0,2,NA,273,281,2.9,40,25,-37.5,35,44,25.7,0,0,NA,2,13,550,282,426,51.1,1,7,600,15,379,2426.7,65,123,89.2,0,0,NA,802,682,-15,76,77,1.3,300108,520712,73.5,339519,569837,67.8
2,Arunachal Pradesh,11,14,27.3,8,7,-12.5,0,0,NA,0,0,NA,0,0,NA,5,4,-20,1,0,-100,0,0,NA,4,2,-50,0,0,NA,2,1,-50,2,0,-100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,-100,9,8,-11.1,43,36,-16.3
3,Assam,535,425,-20.6,111,131,18,121,111,-8.3,76,84,10.5,60,72,20,69,90,30.4,5,17,240,10,9,-10,7,2,-71.4,0,0,NA,54,3,-94.4,38,26,-31.6,0,0,NA,0,0,NA,23,29,26.1,0,0,NA,0,0,NA,0,4,NA,0,0,NA,0,0,NA,12,5,-58.3,1541,1441,-6.5,2662,2449,-8
4,Bihar,3310,2704,-18.3,261,212,-18.8,328,155,-52.7,1852,1501,-19,0,0,NA,428,294,-31.3,38,9,-76.3,41,35,-14.6,8,3,-62.5,5,0,-100,2,0,-100,520,272,-47.7,0,12,NA,4,0,-100,1211,868,-28.3,3,1,-66.7,25,53,112,5,5,0,0,0,NA,876,725,-17.2,132,86,-34.8,1131,1009,-10.8,10180,7944,-22
5,Goa,4,5,25,20,42,110,673,1014,50.7,0,0,NA,0,0,NA,3,2,-33.3,28,28,0,4,3,-25,17,7,-58.8,0,0,NA,0,0,NA,6,2,-66.7,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,0,-100,0,0,NA,0,1,NA,0,0,NA,361,532,47.4,1118,1636,46.3
6,Gujarat,368,324,-12,172,134,-22.1,7278,7090,-2.6,0,0,NA,104764,106615,1.8,53,58,9.4,40,47,17.5,2305,1775,-23,6,16,166.7,37,26,-29.7,6,23,283.3,129,191,48.1,0,0,NA,0,1,NA,13,0,-100,31,31,0,1,0,-100,147,221,50.3,0,0,NA,629,517,-17.8,13,5,-61.5,37069,35802,-3.4,153061,152876,-0.1
7,Haryana,1065,1066,0.1,786,1168,48.6,3147,4399,39.8,9275,11788,27.1,0,0,NA,25,36,44,14,13,-7.1,1073,883,-17.7,2,3,50,1,0,-100,9,4,-55.6,148,156,5.4,0,0,NA,0,2,NA,2,1,-50,2,2,0,0,0,NA,47,60,27.7,0,0,NA,21,40,90.5,0,0,NA,4146,3109,-25,19763,22730,15
8,Himachal Pradesh,25,17,-32,102,194,90.2,121,229,89.3,2944,2967,0.8,0,0,NA,4,7,75,0,1,NA,2,2,0,9,9,0,7,11,57.1,0,0,NA,13,11,-15.4,0,0,NA,0,0,NA,3,3,0,7,4,-42.9,0,0,NA,5,6,20,0,0,NA,20,20,0,311,284,-8.7,108,76,-29.6,3681,3841,4.3
9,Jammu & Kashmir,1438,1338,-7,91,115,26.4,61,58,-4.9,193,313,62.2,0,0,NA,322,306,-5,4,2,-50,0,0,NA,10,9,-10,1,2,100,33,21,-36.4,706,575,-18.6,0,0,NA,0,0,NA,2,0,-100,0,0,NA,0,0,NA,6,3,-50,0,0,NA,0,0,NA,29,16,-44.8,674,517,-23.3,3570,3275,-8.3
10,Karnataka,82,87,6.1,224,223,-0.4,4787,5937,24,3265,2821,-13.6,8,0,-100,106,98,-7.5,1225,1308,6.8,12,16,33.3,61,29,-52.5,85,100,17.6,41,20,-51.2,230,224,-2.6,0,0,NA,2,7,250,361,392,8.6,0,2,NA,1,0,-100,60,82,36.7,0,0,NA,1203,1226,1.9,387,305,-21.2,7724,6369,-17.5,19864,19246,-3.1
