SI.No.,State/UT,Total No. of persons under Arrest* Including those From Previous Year,Number of Persons - released before Trial,Number of Persons - Chargesheeted,Number of Persons - Under Investigation at the end of the year,Pendency Percentage,Percentage of Pendency to All- India Total
1,Andhra Pradesh,525981,1542,514237,10202,1.9,4.6
2,Arunachal Pradesh,59,12,32,15,25.4,0
3,Assam,15385,3246,2654,9485,61.7,4.3
4,Bihar,23417,872,13955,8590,36.7,3.9
5,Goa,2175,6,2016,153,7,0.1
6,Gujarat,209046,283,192546,16217,7.8,7.4
7,Haryana,31318,88,27788,3442,11,1.6
8,Himachal Pradesh,6177,82,4696,1399,22.6,0.6
9,Jammu & Kashmir,4141,166,3691,284,6.9,0.1
10,Karnataka,44445,3599,38262,2584,5.8,1.2
11,Kerala,42856,475,35705,6676,15.6,3
12,Madhya Pradesh,295976,12,295195,769,0.3,0.3
13,Maharashtra,275845,202,223687,51956,18.8,23.6
14,Manipur,1987,997,80,910,45.8,0.4
15,Meghalaya,567,62,134,371,65.4,0.2
16,Mizoram,3551,2,3123,426,12,0.2
17,Nagaland,1291,40,535,716,55.5,0.3
18,Orissa,8900,6,8633,261,2.9,0.1
19,Punjab,38648,266,26861,11521,29.8,5.2
20,Rajasthan,38704,179,38290,235,0.6,0.1
21,Sikkim,6300,0,6300,0,0,0
22,Tamil Nadu,699893,150438,490911,58544,8.4,26.6
23,Tripura,190,52,83,55,28.9,0
24,Uttar Pradesh,514852,2626,500177,12049,2.3,5.5
25,West Bengal,1342611,4269,1319731,18611,1.4,8.5
Total States,Total States,4134315,169522,3749322,215471,5.2,98.2
26,A & N Islands,4534,0,3994,540,11.9,0.2
27,Chandigarh,1344,32,1208,104,7.7,0
28,D & N Haveli,64,0,50,14,21.9,0
29,Daman & DIU,9,0,3,6,66.7,0
30,Delhi,19909,221,16415,3273,16.4,1.5
31,Lakshadweep,11,0,7,4,36.4,0
32,Pondicherry,1067,9,980,78,7.3,0
Total (UTs),Total (UTs),26938,262,22657,4019,14.9,1.8
Total (All -India),Total (All -India),4161253,169784,3771979,219490,5.3,100
