SI.No.,State/UT,Total No. of persons under Arrest* Including those from Previous Year,Number of Persons released Before Trial,Number of Persons Chargesheeted,Number of Persons under Investigation at the end of the year,Pendency Percentage,Percentage of Pendency to All- India Total
1,Andhra Pradesh,250193,6731,184392,59070,23.6,10.4
2,Arunachal Pradesh,4005,789,2178,1038,25.9,0.2
3,Assam,99884,19625,31813,48446,48.5,8.5
4,Bihar,404451,22863,208585,173003,42.8,29.5
5,Goa,3775,360,2537,878,23.3,0.2
6,Gujarat,186761,707,173195,12859,6.9,2.3
7,Haryana,66270,205,61879,4186,6.3,0.7
8,Himachal Pradesh,19841,390,17261,2190,11,0.4
9,Jammu & Kashmir,21522,262,20785,475,2.2,0.1
10,Karnataka,185711,9808,156224,19679,10.6,3.5
11,Kerala,175763,2973,143560,29230,16.6,5.2
12,Madhya Pradesh,339509,155,333566,5788,1.7,1
13,Maharashtra,298672,5792,256261,36619,12.3,6.5
14,Manipur,2666,1310,71,1285,48.2,0.2
15,Meghalaya,3668,472,1050,2146,58.5,0.4
16,Mizoram,7021,36,5987,998,14.2,0.2
17,Nagaland,2703,87,1103,1513,56,0.3
18,Orissa,91094,122,87061,3911,4.3,0.7
19,Punjab,51243,1889,31699,17655,34.5,3.1
20,Rajasthan,220526,21,219481,1024,0.5,0.2
21,Sikkim,1133,46,908,179,15.8,0
22,Tamil Nadu,268284,20781,198359,49144,18.3,8.7
23,Tripura,6123,1106,3121,1896,31,0.3
24,Uttar Pradesh,329776,13364,283340,33072,10,5.8
25,West Bengal,163059,26381,68420,68258,41.9,12
Total States,Total States,3203653,136275,2492836,574542,17.9,98.1
26,A & N Islands,1751,0,889,862,49.2,0.2
27,Chandigarh,4683,756,3222,705,15.1,0.1
28,D & N Haveli,954,9,839,106,11.1,0
29,Daman & DIU,540,32,404,104,19.3,0
30,Delhi,57206,3949,44207,9050,15.8,1.6
31,Lakshadweep,42,0,25,17,40.5,0
32,Pondicherry,5190,0,5022,168,3.2,0
Total (UTs),Total (UTs),70366,4746,54608,11012,15.6,1.9
Total (All -India),Total (All -India),3274019,141021,2547444,585554,17.9,100
