SI.No.,States/UT/City,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. Not Amounting to Murder - Incidence,C.H. Not Amounting to Murder - Rate,Rape - Incidence,Rape - Rate,Kidnapping & Abduction Total - Incidence,Kidnapping & Abduction Total - Rate,Kidnapping & Abduction of Women & Girls - Incidence,Kidnapping & Abduction of Women & Girls - Rate,Kidnapping & Abduction of Others - Incidence,Kidnapping & Abduction of Others - Rate,Dacoity of Others - Incidence,Dacoity of Others - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Incidence,Theft - Rate,Auto Theft - Incidence,Auto Theft - Rate,Other Theft - Incidence,Other Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeting - Rate,Arson - Incidence,Arson - Rate,Hurt - Incidence,Hurt - Rate,Dowry Deaths - Incidence,Dowry Deaths - Rate,Molestation - Incidence,Molestation - Rate,Sexual Harassment - Incidence,Sexual Harassment - Rate,Cruelty By Husband and Relatives - Incidence,Cruelty By Husband and Relatives - Rate,Importation of Girls - Incidence,Importation of Girls - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
1,Andhra Pradesh,2704,3.6,1434,1.9,141,0.2,944,1.2,1099,1.4,716,0.9,383,0.5,261,0.3,5,0,635,0.8,7336,9.7,16296,21.5,2620,3.5,13676,18,2481,3.3,656,0.9,4852,6.4,149,0.2,863,1.1,29987,39.5,442,0.6,3231,4.3,2280,3,5399,7.1,0,0,40084,52.8,121279,159.9
2,Arunachal Pradesh,68,5.7,63,5.3,7,0.6,36,3,58,4.8,42,3.5,16,1.3,47,3.9,0,0,100,8.3,269,22.4,432,36,47,3.9,385,32.1,20,1.7,34,2.8,62,5.2,3,0.3,20,1.7,436,36.3,0,0,53,4.4,2,0.2,10,0.8,0,0,647,53.9,2367,197.3
3,Assam,1523,5.8,477,1.8,57,0.2,762,2.9,1474,5.6,1101,4.2,373,1.4,708,2.7,30,0.1,741,2.8,2756,10.5,5633,21.4,370,1.4,5263,20,3406,13,372,1.4,530,2,50,0.2,400,1.5,4682,17.8,50,0.2,777,3,18,0.1,978,3.7,0,0,9754,37.1,35178,133.8
4,Bihar,5356,5.3,4313,4.3,778,0.8,1570,1.6,2711,2.7,700,0.7,2011,2,2090,2.1,273,0.3,2896,2.9,4949,4.9,14079,14,921,0.9,13158,13.1,10647,10.6,1120,1.1,2087,2.1,66,0.1,639,0.6,5436,5.4,1085,1.1,456,0.5,122,0.1,1396,1.4,40,0,61973,61.6,124082,123.4
5,Goa,42,2.6,27,1.7,6,0.4,21,1.3,11,0.7,7,0.4,4,0.2,4,0.2,0,0,33,2.1,436,27.1,668,41.6,229,14.3,439,27.3,62,3.9,30,1.9,48,3,7,0.4,25,1.6,196,12.2,2,0.1,20,1.2,9,0.6,13,0.8,0,0,762,47.4,2422,150.8
6,Gujarat,1317,2.7,597,1.2,26,0.1,330,0.7,1125,2.3,868,1.8,257,0.5,339,0.7,5,0,1159,2.4,5853,12.1,16522,34.1,5239,10.8,11283,23.3,2262,4.7,1960,4,1751,3.6,68,0.1,583,1.2,14629,30.2,93,0.2,944,1.9,119,0.2,3739,7.7,0,0,62438,128.8,115859,238.9
7,Haryana,784,3.9,517,2.6,79,0.4,421,2.1,460,2.3,299,1.5,161,0.8,108,0.5,127,0.6,428,2.1,3600,18.1,6513,32.7,2935,14.7,3578,18,883,4.4,441,2.2,1029,5.2,18,0.1,202,1,5344,26.8,263,1.3,605,3,423,2.1,1286,6.5,0,0,15959,80.1,39490,198.2
8,Himachal Pradesh,123,1.8,89,1.3,8,0.1,129,1.9,110,1.6,95,1.4,15,0.2,9,0.1,0,0,17,0.3,821,12.2,690,10.2,145,2.2,545,8.1,610,9,71,1.1,131,1.9,4,0.1,128,1.9,1591,23.6,4,0.1,288,4.3,15,0.2,307,4.6,0,0,5990,88.8,11135,165.1
9,Jammu & Kashmir,766,7.7,1028,10.3,25,0.3,183,1.8,658,6.6,566,5.7,92,0.9,38,0.4,0,0,136,1.4,1295,13,1843,18.5,497,5,1346,13.5,934,9.4,103,1,361,3.6,18,0.2,328,3.3,332,3.3,10,0.1,480,4.8,342,3.4,51,0.5,0,0,8586,86,17517,175.4
10,Karnataka,1694,3.2,1550,3,56,0.1,281,0.5,587,1.1,323,0.6,264,0.5,236,0.5,31,0.1,957,1.8,7522,14.4,13664,26.1,3860,7.4,9804,18.7,7571,14.5,514,1,2295,4.4,685,1.3,341,0.7,23180,44.3,217,0.4,1568,3,75,0.1,1688,3.2,0,0,44698,85.5,109410,209.2
