SL.No.,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Other IPC Crimes,Total Cog. under IPC
1,Andhra Pradesh,12,3,1,22,3,3,0,0,0,2,118,280,25,255,18,0,1,0,1,124,1,4,10,13,0,93,706
2,Arunachal Pradesh,0,0,1,1,2,1,1,0,0,3,12,23,2,21,4,0,0,0,0,15,0,1,0,0,0,22,84
3,Assam,4,0,0,3,0,0,0,1,0,3,38,90,0,90,16,0,1,0,0,13,0,1,0,10,0,27,207
4,Bihar,11,26,1,8,8,0,8,6,0,5,69,213,1,212,92,14,6,0,0,12,12,1,0,12,0,159,655
5,Goa,0,0,0,0,0,0,0,0,0,0,11,6,3,3,2,0,0,0,0,0,0,1,0,0,0,2,22
6,Gujarat,16,11,0,1,22,16,6,4,0,5,94,220,71,149,42,2,2,0,1,158,4,3,2,57,0,214,858
7,Haryana,9,8,1,7,5,5,0,1,0,2,33,47,11,36,29,4,4,0,0,93,8,7,12,31,0,42,343
8,Himachal Pradesh,1,0,0,2,0,0,0,0,0,0,7,2,0,2,8,0,0,0,0,5,0,2,0,0,0,9,36
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,14,8,0,0,0,0,0,0,1,1,43,84,6,78,20,0,2,0,0,37,3,2,0,6,0,21,242
11,Kerala,2,2,0,1,0,0,0,0,0,0,7,19,0,19,4,0,0,0,0,4,0,0,0,0,0,2,41
12,Madhya Pradesh,87,68,16,86,19,13,6,9,4,32,311,382,35,347,80,1,11,0,8,533,15,94,15,28,0,882,2681
13,Maharashtra,71,22,1,23,11,8,3,8,2,17,225,476,21,455,92,2,6,2,10,358,14,22,2,99,0,178,1641
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,1,1,0,0,0,0,0,0,7,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,21
16,Mizoram,1,0,0,2,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,10,31
17,Nagaland,1,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,8
18,Orissa,4,7,1,6,1,1,0,0,0,2,29,89,0,89,1,1,0,0,0,9,1,2,0,0,0,15,168
19,Punjab,1,1,0,0,1,0,1,0,0,0,3,1,0,1,0,0,0,0,0,1,3,0,0,4,0,1,16
20,Rajasthan,14,22,1,16,4,3,1,0,0,1,84,89,7,82,113,0,1,0,6,96,7,7,0,12,0,207,680
21,Sikkim,0,0,0,0,0,0,0,0,0,0,2,4,0,4,0,0,0,0,1,2,0,0,0,0,0,0,9
22,Tamil Nadu,5,1,0,1,0,0,0,3,0,0,57,179,70,109,4,0,1,0,1,4,0,0,0,1,0,38,295
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,8
24,Uttar Pradesh,5,4,3,9,2,1,1,0,0,0,9,14,0,14,0,0,0,0,0,3,3,0,0,10,0,10,72
25,West Bengal,0,0,0,0,0,0,0,0,0,0,1,18,0,18,0,0,0,0,0,0,2,0,0,49,0,17,87
Total States,Total States,258,183,27,189,78,51,27,32,7,73,1170,2262,254,2008,528,24,35,2,28,1467,73,147,41,332,0,1955,8911
26,A & N Islands,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,6
27,Chandigarh,0,1,0,0,0,0,0,0,0,0,6,16,0,16,1,0,0,0,0,0,0,0,0,0,0,12,36
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
30,Delhi,8,12,0,9,5,3,2,1,0,6,62,102,2,100,1,0,2,1,1,26,5,3,0,2,0,53,299
