SI.No.,State/UT/City,Incidence,Percentage of Contribution to All - India Total,Estimated Mid Year Population (In Lakhs),Rate of Total Cognizable Crimes,Rank*,Rank**
1,Andhra Pradesh,14299,10.1,758.5,18.9,4,3
2,Arunachal Pradesh,143,0.1,12,11.9,16,21
3,Assam,3732,2.6,263,14.2,11,13
4,Bihar,6299,4.5,1005.6,6.3,25,8
5,Goa,100,0.1,16.1,6.2,26,24
6,Gujarat,6140,4.3,484.9,12.7,14,9
7,Haryana,3311,2.3,199.3,16.6,7,14
8,Himachal Pradesh,842,0.6,67.4,12.5,15,18
9,Jammu & Kashmir,1634,1.2,99.9,16.4,8,17
10,Karnataka,5852,4.1,523,11.2,19,10
11,Kerala,4982,3.5,323.5,15.4,9,11
12,Madhya Pradesh,17902,12.7,802.3,22.3,2,2
13,Maharashtra,13177,9.3,914.3,14.4,10,5
14,Manipur,74,0.1,25.4,2.9,29,25
15,Meghalaya,69,0,24.5,2.8,30,26
16,Mizoram,133,0.1,9.6,13.9,12,22
17,Nagaland,22,0,17,1.3,32,28
18,Orissa,4717,3.3,359.6,13.1,13,12
19,Punjab,2156,1.5,236.2,9.1,21,16
20,Rajasthan,12942,9.2,538.7,24,1,6
21,Sikkim,21,0,5.6,3.7,28,29
22,Tamil Nadu,13732,9.7,619.3,22.2,3,4
23,Tripura,330,0.2,38.1,8.7,24,19
24,Uttar Pradesh,18920,13.4,1715.4,11,20,1
25,West Bengal,7043,5,793.3,8.9,22,7
Total States,Total States,138572,98,9852.4,14.1,NA,NA
26,A & N Islands,45,0,3.9,11.6,18,27
27,Chandigarh,161,0.1,8.9,18,5,20
28,D & N Haveli,17,0,1.9,8.9,23,30
29,Daman & DIU,6,0,1.4,4.3,27,31
30,Delhi,2439,1.7,141,17.3,6,15
31,Lakshadweep,1,0,0.7,1.4,31,32
32,Pondicherry,132,0.1,11.2,11.8,17,23
Total (UTs),Total (UTs),2801,2,169,16.6,NA,NA
Total (All -India),Total (All -India),141373,100,10021.4,14.1,NA,NA
33,Ahmedabad,510,3,42.8,11.9,18,10
34,Bangalore,1255,7.5,57.1,22,7,3
35,Bhopal,320,1.9,16.9,19,10,15
36,Calcutta,4037,24,67.5,59.8,1,1
37,Chennai,283,1.7,13,21.8,8,17
38,Coimbatore,2122,12.6,120.6,17.6,11,2
39,Delhi,1227,7.3,71.5,17.2,12,4
40,Hyderabad,372,2.2,14.6,25.6,5,13
41,Indore,804,4.8,22.1,36.4,3,7
42,Jaipur,956,5.7,24.8,38.6,2,5
43,Kanpur,125,0.7,18.3,6.8,21,23
44,Kochi,558,3.3,130.6,4.3,23,9
45,Lucknow,683,4.1,26.7,25.5,6,8
46,Ludhiana,289,1.7,17.3,16.7,13,16
47,Madurai,380,2.3,12.8,29.6,4,12
48,Mumbai,888,5.3,187.1,4.7,22,6
49,Nagpur,443,2.6,20.9,21.2,9,11
50,Patna,212,1.3,13,16.3,14,21
51,Pune,352,2.1,35.9,9.8,20,14
52,Surat,243,1.4,24.4,10,19,19
53,Vadodra,240,1.4,16.6,14.5,17,20
54,Varanasi,206,1.2,13.1,15.7,16,22
55,Vishakhapatnam,282,1.7,17.8,15.8,15,18
Total Cities,Total Cities,16787,100,985.4,17,NA,NA
