SI.No.,State/UT/City,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Andhra Pradesh,213,159,123,6,134
2,Arunachal Pradesh,4,0,12,0,15
3,Assam,46,142,21,21,22
4,Bihar,79,46,11,8,17
5,Goa,2,0,3,0,0
6,Gujarat,50,18,24,0,34
7,Haryana,1,0,1,0,0
8,Himachal Pradesh,0,0,0,0,0
9,Jammu & Kashmir,256,3,14,12,35
10,Karnataka,14,2,7,1,56
11,Kerala,0,0,0,0,0
12,Madhya Pradesh,57,30,12,0,65
13,Maharashtra,129,124,34,1,91
14,Manipur,3,1,0,1,6
15,Meghalaya,5,5,1,1,1
16,Mizoram,1,0,0,1,0
17,Nagaland,0,0,0,0,0
18,Orissa,3,3,7,0,22
19,Punjab,1,2,9,0,12
20,Rajasthan,38,3,28,0,63
21,Sikkim,0,0,0,0,0
22,Tamil Nadu,24,9,31,0,58
23,Tripura,72,36,8,5,19
24,Uttar Pradesh,248,127,26,4,142
25,West Bengal,71,41,34,0,204
Total States,Total States,1317,759,406,61,996
26,A & N Islands,0,0,0,0,0
27,Chandigarh,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0
30,Delhi,15,8,58,0,255
31,Lakshadweep,0,0,0,0,0
32,Pondicherry,1,0,0,0,0
Total (UTs),Total (UTs),16,8,58,0,255
Total (All -India),Total (All -India),1333,759,464,61,1251
33,Ahmedabad,13,8,17,17,24
34,Bangalore,2,1,0,0,1
35,Bhopal,0,0,0,0,0
36,Calcutta,0,0,0,0,0
37,Chennai,0,0,0,0,0
38,Coimbatore,15,8,58,0,255
39,Delhi,1,3,115,0,58
40,Hyderabad,0,0,0,0,0
41,Indore,0,0,0,0,0
42,Jaipur,0,0,0,0,0
43,Kanpur,0,0,0,0,0
44,Kochi,3,0,1,0,9
45,Lucknow,0,0,0,0,0
46,Ludhiana,0,0,0,0,0
47,Madurai,0,0,0,0,0
48,Mumbai,89,102,3,0,13
49,Nagpur,0,0,0,0,0
50,Patna,10,9,2,0,0
51,Pune,0,0,0,0,0
52,Surat,3,1,4,0,0
53,Vadodra,1,0,0,0,0
54,Varanasi,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0
