SI.No.,State/UT,Number of police Station (Sanctioned Strengh) - Below 10,Number of police Station (Sanctioned Strengh) - 11-20,Number of police Station (Sanctioned Strengh) - 21-30,Number of police Station (Sanctioned Strengh) - 31-40,Number of police Station (Sanctioned Strengh) - 41-50,Number of police Station (Sanctioned Strengh) - 51 and Above
1,Andhra Pradesh,110,860,270,121,69,135
2,Arunachal Pradesh,0,52,15,0,0,0
3,Assam,41,73,46,46,6,18
4,Bihar,NA,NA,NA,NA,NA,NA
5,Goa,1,0,1,7,7,10
6,Gujarat,0,8,66,79,81,229
7,Haryana,8,42,46,44,18,41
8,Himachal Pradesh,0,45,33,2,2,2
9,Jammu & Kashmir,0,1,7,41,45,55
10,Karnataka,1,4,64,361,186,162
11,Kerala,1,5,8,330,52,41
12,Madhya Pradesh,27,575,268,130,56,152
13,Maharashtra,1,88,129,128,117,434
14,Manipur,0,40,9,0,2,4
15,Meghalaya,0,3,9,12,2,0
16,Mizoram,0,18,8,2,2,2
17,Nagaland,1,29,5,47,6,10
18,Orissa,105,294,37,13,0,0
19,Punjab,NA,NA,NA,NA,NA,NA
20,Rajasthan,0,313,233,92,33,36
21,Sikkim,0,22,2,3,0,0
22,Tamil Nadu,83,506,341,165,135,186
23,Tripura,2,12,16,15,0,2
24,Uttar Pradesh,43,73,66,381,417,540
25,West Bengal @,9,175,120,43,28,29
Total States,Total States,433,3238,1799,2062,1264,2088
26,A & N Islands,4,10,0,0,1,0
27,Chandigarh,0,0,0,0,0,11
28,D & N Haveli,0,0,0,0,1,1
29,Daman & DIU,0,0,0,0,0,2
30,Delhi,0,2,0,1,1,119
31,Lakshadweep,0,1,4,3,0,1
32,Pondicherry,8,12,12,3,1,1
Total (UTs),Total (UTs),12,25,16,7,4,135
Total (All -India),Total (All -India),445,3263,1815,2069,1268,2223
