Sl.No.,Year,Boys,Girls,Total,Percentage of Girls
1,1990,25269,5547,30816,18
2,1991,23201,6390,29591,21.6
3,1992,17474,3884,21358,18.2
4,1993,16391,3676,20067,18.3
5,1994,13852,3351,17203,19.5
6,1995,14542,4251,18793,22.6
7,1996,14068,5030,19098,26.3
8,1997,14282,3514,17796,19.7
9,1998,13974,4949,18923,26.2
10,1999,13088,5372,18460,29.1
11,2000,13854,4128,17982,23
