SI.No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Bank - Number,Bank - Value,Commercial Establishments - Number,Commercial Establishments - Value,others place - Number,others Place - Value,Total - Number,Total - Value
1,Andhra Pradesh,145,91.4,61,125.7,0,0,0,0,2,32,3,0.6,50,18.5,261,268.3
2,Arunachal Pradesh,24,40.3,6,4.3,0,0,0,0,0,0,11,4.3,6,2.3,47,51.1
3,Assam,553,140.2,63,22.2,4,2,0,0,0,0,22,10.8,66,8.8,708,183.9
4,Bihar,1372,404.7,230,87.4,0,0,32,8.7,15,17.2,66,59.5,375,128,2090,705.6
5,Goa,2,1.6,0,0,0,0,0,0,0,0,1,2,1,6,4,9.6
6,Gujarat,105,158.9,57,193,4,6.2,5,1.3,1,2,33,293,134,225.3,339,879.9
7,Haryana,28,22,29,84.5,0,0,3,4.6,0,0,5,1.8,43,163.4,108,276.4
8,Himachal Pradesh,2,0.8,2,0.4,0,0,0,0,0,0,0,0,5,0.9,9,2.1
9,Jammu & Kashmir,27,16.4,0,0,0,0,0,0,2,1.9,3,1.2,6,2,38,21.5
10,Karnataka,96,64.8,32,41.2,1,4.1,1,0,0,0,16,10.3,90,109,236,229.5
11,Kerala,21,38.3,12,50.5,0,0,2,14.3,0,0,23,58.6,61,68.9,119,230.6
12,Madhya Pradesh,93,70.1,36,19.7,0,0,3,0.3,0,0,8,3.2,70,35.6,210,128.8
13,Maharashtra,141,147.7,99,240,0,0,6,12.6,3,27.9,50,377.2,254,458.4,553,1263.7
14,Manipur,1,0.3,8,2.6,0,0,0,0,0,0,0,0,3,8.1,12,11
15,Meghalaya,27,13.2,22,7.4,0,0,0,0,0,0,0,0,43,92.6,92,113.2
16,Mizoram,4,2.6,0,0,0,0,0,0,1,511.6,0,0,1,0.2,6,514.3
17,Nagaland,9,1.8,6,5.9,0,0,0,0,0,0,16,0.1,11,27.9,42,35.8
18,Orissa,152,53.3,57,19.9,0,0,2,0,4,21.7,16,8,52,19.7,283,122.6
19,Punjab,8,4.6,0,0,0,0,0,0,1,2,4,6.3,8,13.4,21,26.2
20,Rajasthan,9,13,24,179.1,0,0,0,0,0,0,11,7.1,55,126.7,99,325.9
21,Sikkim,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
22,Tamil Nadu,65,145.7,24,77.5,0,0,1,0,3,0.9,18,14.4,48,105.7,159,344.2
23,Tripura,26,20.6,2,0.3,0,0,0,0,0,0,4,9,5,7.2,37,37
24,Uttar Pradesh,464,232.7,191,302.9,0,0,15,2.7,5,107.3,29,74.2,216,90.1,920,809.9
25,West Bengal,121,110.5,56,38.4,0,0,22,13.3,14,29.5,19,22.2,121,85.9,353,299.7
Total States,Total States,3497,1796.4,1017,1502.8,9,12.4,92,57.8,51,753.9,358,963.9,1724,1804.8,6748,6892
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,1,0.4
27,Chandigarh,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
28,D & N Haveli,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
29,Daman & DIU,2,2.6,0,0,0,0,0,0,0,0,1,0.8,0,0,3,3.4
30,Delhi,36,33.2,0,0,0,0,1,0,0,0,10,9.2,23,22.1,70,64.6
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2
Total (UTs),Total (UTs),40,36,0,0,0,0,1,0,0,0,11,10,25,24.5,77,70.5
Total (All -India),Total (All -India),3537,1832.4,1017,1502.8,9,12.4,93,57.8,51,753.9,369,973.9,1749,1829.3,6825,6962.5
33,Ahmedabad,3,0.3,0,0,0,0,0,0,0,0,2,2,17,80.1,22,82.4
34,Bangalore,18,19.9,1,0,0,0,0,0,0,0,2,1,8,23.7,29,44.6
35,Bhopal,0,0,1,0.4,0,0,0,0,0,0,0,0,3,2.2,4,2.6
36,Calcutta,3,17.1,0,0,0,0,0,0,0,0,5,3.9,6,15.9,14,36.9
37,Chennai,1,2.3,0,0,0,0,0,0,0,0,1,2,3,9.4,5,13.7
38,Coimbatore,29,27,0,0,0,0,1,0,0,0,10,9.2,11,12.9,51,49.1
39,Delhi,2,10.1,0,0,0,0,0,0,1,0,0,0,3,3.8,6,13.9
40,Hyderabad,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5
41,Indore,1,1.5,0,0,0,0,0,0,0,0,0,0,1,60,2,61.5
42,Jaipur,10,1.5,3,1,0,0,0,0,0,0,1,0,6,0.9,20,3.4
43,Kanpur,0,0,0,0,0,0,0,0,0,0,1,2,8,5.7,9,7.7
44,Kochi,8,25.2,4,7.1,0,0,0,0,0,0,4,15.3,11,21.5,27,69
45,Lucknow,10,3.1,4,5.4,0,0,0,0,0,0,2,1.8,4,38.6,20,48.8
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madurai,2,11.5,0,0,0,0,0,0,0,0,2,0.9,3,0.9,7,13.3
48,Mumbai,10,36.3,3,3.6,0,0,0,0,2,16.6,26,356.2,37,137.5,78,550.1
49,Nagpur,6,3.1,0,0,0,0,0,0,0,0,6,0.6,4,0.4,16,4.1
