SL.No,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction Total,Kidnapping and Abduction of Women & Girls,Kidnapping and Abduction of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
4,Maharashtra,Nagpur,98,87,2,36,57,45,12,16,79,224,1318,2619,818,1801,226,60,224,13,22,1056,9,83,64,198,0,3080,9571
5,Maharashtra,Nasik,23,14,0,3,8,4,4,9,1,19,278,438,154,284,132,11,43,1,7,274,6,18,8,73,0,694,2060
6,Maharashtra,Navi Mumbai,57,20,2,15,31,17,14,15,12,78,455,1038,310,728,86,98,188,0,3,345,3,28,14,65,0,1182,3735
7,Maharashtra,Pune,77,36,3,49,40,20,20,13,4,83,865,2613,1314,1299,894,94,231,4,12,933,1,57,98,121,0,2713,8941
8,Maharashtra,Solapur,30,14,2,6,7,4,3,3,0,16,105,287,76,211,28,6,51,3,1,161,2,10,5,43,0,451,1231
9,Maharashtra,Thane,119,60,2,49,64,34,30,20,36,150,900,1722,616,1106,122,63,368,6,5,827,0,64,36,189,0,1331,6133
1,Punjab,Amritsar,19,11,3,4,7,6,1,0,1,1,40,19,7,12,0,3,16,0,2,46,4,3,0,16,0,112,307
2,Punjab,Jalandhar,24,18,1,14,23,16,7,0,3,1,149,183,107,76,0,9,126,1,2,79,6,3,0,37,0,467,1146
3,Punjab,Ludhiana,58,46,4,35,36,19,17,0,15,8,113,307,211,96,0,17,215,3,4,105,12,8,0,204,0,435,1625
1,Rajasthan,Ajmer,19,41,0,11,45,41,4,1,0,14,114,310,90,220,181,5,124,1,4,86,8,26,3,109,0,961,2063
2,Rajasthan,Bharatpur,16,25,1,6,40,38,2,3,1,12,68,232,72,160,207,5,84,1,4,1,4,7,0,56,0,882,1655
3,Rajasthan,Bikaner,15,0,2,10,26,26,0,2,0,7,105,213,3,210,112,8,84,3,3,69,9,16,0,100,0,777,1561
4,Rajasthan,Jaipur,37,49,1,35,189,165,24,2,0,69,784,2613,839,1774,1420,184,767,35,29,63,26,156,0,412,0,6089,12960
5,Rajasthan,Jodhpur,13,33,0,13,63,43,20,1,0,28,205,601,244,357,125,34,350,6,13,1340,6,27,3,224,0,447,3532
6,Rajasthan,Kota,27,182,8,26,86,73,13,4,0,39,365,782,261,521,180,35,211,1,12,220,9,47,1,180,0,1755,4170
7,Rajasthan,Udaipur,25,102,1,14,98,80,18,0,0,26,178,409,158,251,130,19,115,2,6,652,3,51,0,75,0,416,2322
1,Tamil Nadu,Chennai,62,169,0,24,40,13,27,14,0,100,640,2270,376,1894,86,80,610,96,0,644,22,47,49,112,0,1147,6212
2,Tamil Nadu,Coimbatore,18,17,0,6,19,11,8,5,1,30,191,954,336,618,72,37,77,15,4,189,7,17,60,35,0,1914,3668
3,Tamil Nadu,Madurai,27,69,0,8,22,11,11,7,0,23,110,453,132,321,100,14,303,18,4,186,5,22,94,41,0,2340,3846
4,Tamil Nadu,Salem,19,17,2,3,9,0,9,0,6,13,110,519,170,349,22,2,32,4,0,160,4,6,13,8,0,858,1807
5,Tamil Nadu,Tirunelveli,18,39,0,9,12,5,7,1,0,8,61,241,43,198,90,1,16,0,7,91,0,24,82,2,0,814,1516
6,Tamil Nadu,Trichy,19,25,0,4,16,9,7,1,0,6,103,716,143,573,25,10,77,5,0,62,3,11,28,21,0,858,1990
1,Uttar Pradesh,Agra,60,74,11,15,92,74,18,15,0,89,286,724,340,384,174,127,166,0,9,210,21,55,132,223,0,1316,3799
2,Uttar Pradesh,Aligarh,67,116,6,24,70,56,14,14,4,99,146,566,205,361,189,71,91,0,2,188,18,30,67,191,0,976,2935
3,Uttar Pradesh,Allahabad,49,75,3,7,49,38,11,4,2,46,119,430,150,280,53,78,127,8,3,303,8,7,151,50,0,444,2016
4,Uttar Pradesh,Bareilly,80,101,7,15,68,65,3,15,1,78,130,581,86,495,68,65,82,1,2,148,6,19,57,145,0,666,2335
5,Uttar Pradesh,Gorakhpur,56,52,15,11,30,22,8,5,1,31,104,167,55,112,72,29,75,5,5,132,12,28,32,27,0,775,1664
6,Uttar Pradesh,Kanpur,183,165,25,48,210,149,61,20,2,178,338,1195,501,694,224,233,282,23,18,497,70,77,260,319,0,2349,6716
7,Uttar Pradesh,Lucknow,161,128,27,29,146,125,21,20,3,115,604,2070,624,1446,250,215,574,5,7,65,22,57,147,291,0,2555,7491
8,Uttar Pradesh,Meerut,102,119,3,17,51,40,11,10,1,79,177,637,285,252,76,75,115,4,3,32,14,21,109,170,0,862,2677
9,Uttar Pradesh,Moradabad,92,85,13,26,83,64,19,3,0,22,63,310,116,194,76,19,28,1,4,74,13,42,76,69,0,506,1605
10,Uttar Pradesh,Varanasi,47,77,11,12,29,23,6,3,1,56,79,402,186,216,51,90,95,2,3,86,12,6,86,60,0,703,1911
1,West Bengal,Calcutta,49,138,13,35,105,71,34,27,52,151,110,4016,1034,2982,316,315,826,57,0,1279,15,152,46,196,0,5078,12976
1,Delhi (UT),Delhi (City),477,536,52,374,1177,869,308,51,37,671,3140,19780,7603,12177,171,448,1866,48,57,2031,102,488,110,76,0,19632,51324
