SI.No.,State/UT/City,DG /Addl.DG /IG /DIG - Sanctioned,DG/Addl.DG / IG/DIG - Actual,SSP/SP/Addl.SP./ASP /Dy. SP. - Sanctioned,SSP/SP/Addl.SP./ASP/Dy. SP. - Actual,"Inspector ,SI & A.S.I. - Sanctioned","Inspector ,SI & A.S.I. - Actual",Officers below A.S.I. - Sanctioned,Officers below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,Andhra Pradesh,0,0,5,4,119,67,2933,1389,3057,1460
2,Arunachal Pradesh,0,0,24,18,81,77,2186,2136,2291,2231
3,Assam,0,0,202,197,983,968,24092,23694,25277,24859
4,Bihar,7,7,124,64,1480,1097,21363,15805,22974,16973
5,Goa,0,0,5,2,36,28,565,373,606,403
6,Gujarat,0,0,48,40,1588,1522,10702,9481,12338,11043
7,Haryana,3,3,21,20,297,282,4386,4103,4707,4408
8,Himachal Pradesh,3,3,36,17,268,207,4930,3740,5237,3967
9,Jammu & Kashmir,5,6,197,154,840,760,15596,14731,16638,15651
10,Karnataka,0,0,0,0,0,0,0,0,0,0
11,Kerala,0,0,59,37,404,357,8889,6516,9352,6910
12,Madhya Pradesh,9,9,162,162,2673,2673,25213,25213,28057,28057
13,Maharashtra,3,0,77,58,1403,329,13574,NA,15057,387
14,Manipur,4,3,90,82,325,325,9133,9062,9552,9472
15,Meghalaya,0,0,23,23,138,98,4837,2374,4998,2495
16,Mizoram,0,0,43,37,145,121,3645,3532,3833,3690
17,Nagaland,0,0,68,64,320,311,7922,7886,8310,8261
18,Orissa,0,0,84,53,524,380,7637,7131,8245,7564
19,Punjab,11,9,225,113,1018,938,17702,15467,18956,16527
20,Rajasthan,4,2,97,60,458,326,11950,10798,12509,11186
21,Sikkim,1,1,12,6,78,41,1826,1226,1917,1274
22,Tamil Nadu,3,3,65,60,509,410,10754,10614,11331,11087
23,Tripura,0,0,80,19,368,193,9224,5737,9672,5949
24,Uttar Pradesh,13,13,170,119,1246,1139,33568,31572,34997,32843
25,West Bengal,8,8,150,111,1122,1005,32186,28884,33466,30008
Total States,Total States,74,67,2067,1520,16423,13654,284813,241464,303377,256705
26,A & N Islands,1,1,3,2,33,33,785,730,822,766
27,Chandigarh,0,0,2,2,46,46,1469,1469,1517,1517
28,D & N Haveli,0,0,0,0,1,1,94,91,95,92
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0
30,Delhi,0,0,54,51,527,540,10039,9492,10620,10083
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,1,1,24,24,658,658,683,683
Total (UTs),Total (UTs),1,1,60,56,631,644,13045,12440,13737,13141
Total (All -India),Total (All -India),75,68,2127,1576,17054,14298,297858,253904,317114,269846
33,Ahmedabad,0,0,3,3,340,333,2461,2213,2804,2549
34,Bangalore,0,0,0,0,0,0,0,0,0,0
35,Bhopal,0,0,0,0,0,0,0,0,0,0
36,Calcutta,0,0,14,14,204,239,3252,3652,3470,3905
37,Chennai,0,0,0,0,0,0,0,0,0,0
38,Coimbatore,0,0,54,51,527,540,10039,9492,10620,10083
39,Delhi,0,0,0,0,0,0,0,0,0,0
40,Hyderabad,0,0,0,0,0,0,0,0,0,0
41,Indore,0,0,0,0,0,0,0,0,0,0
42,Jaipur,0,0,0,0,27,21,1359,1225,1386,1246
43,Kanpur,0,0,5,5,39,37,669,669,713,711
44,Kochi,1,1,42,37,352,313,7743,7562,8138,7913
45,Lucknow,0,0,0,0,0,0,0,0,0,0
46,Ludhiana,0,0,0,0,0,0,0,0,0,0
47,Madurai,0,0,0,0,0,0,0,0,0,0
48,Mumbai,0,0,0,0,0,0,0,0,0,0
49,Nagpur,0,0,0,0,68,66,1304,1304,1372,1370
50,Patna,0,0,0,0,0,0,0,0,0,0
51,Pune,0,0,0,0,83,83,1395,1279,1478,1362
52,Surat,0,0,1,1,113,113,794,794,908,908
53,Vadodra,0,0,0,0,0,0,0,0,0,0
54,Varanasi,0,0,0,0,21,21,972,972,993,993
55,Vishakhapatnam,0,0,0,0,0,0,604,0,604,0
