SL.No.,Year,Total Value of Property Stolen,Total Value of Property Recovered,Percentage Recovery - Value
1,1990,41817,11855,28.3
2,1991,59537,16012,28.6
3,1992,67210,17759,26.4
4,1993,136775,21334,15.6
5,1994,86505,20963,24.2
6,1995,106306,25717,24.2
7,1996,99670,28142,28.2
8,1997,131216,33514,25.5
9,1998,147770,35748,24.2
10,1999,158080,50319,31.8
11,2000,159323,39815,25
12,Percentage Change in 2000 over 1990,281,235.9,-11.9
