SI.No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,other places - Number,other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,263,74.3,169,72.7,1,0.3,8,1.8,0,0,27,6.9,167,46.6,635,202.6
2,Arunachal Pradesh,29,3.8,18,3.3,0,0,0,0,0,0,25,2.6,28,9.9,100,19.6
3,Assam,202,44,166,30.8,1,0.7,0,0,2,18.1,43,14.3,327,43.2,741,151.2
4,Bihar,765,149.1,914,198.6,3,0.2,34,11.1,18,18.7,141,24.7,1021,354.4,2896,756.9
5,Goa,9,6,2,0.3,0,0,0,0,0,0,2,0.1,20,9.2,33,15.6
6,Gujarat,216,86.8,144,114.1,1,0.3,38,5.6,0,0,61,17.2,699,330.2,1159,554.1
7,Haryana,79,50.6,80,104.5,2,0.5,4,0.1,0,0,61,60.2,202,219.4,428,435.2
8,Himachal Pradesh,1,0.1,4,15.9,0,0,0,0,0,0,0,0,12,3.3,17,19.3
9,Jammu & Kashmir,72,70.9,5,1.1,0,0,0,0,0,0,17,22.2,42,37.2,136,131.3
10,Karnataka,215,41.5,66,21.4,0,0,15,1.3,2,0,56,12.5,603,212.9,957,289.6
11,Kerala,86,18,37,3.9,0,0,7,0.3,0,0,30,1.9,215,51.2,375,75.2
12,Madhya Pradesh,235,48.3,301,146.8,0,0,30,8.9,6,9.2,65,9.5,1213,267,1850,489.7
13,Maharashtra,372,233.4,295,299.4,4,0.8,50,28.2,2,0.3,206,218.1,1601,1380.5,2530,2160.6
14,Manipur,3,0.3,19,11.7,0,0,0,0,0,0,0,0,5,11.1,27,23.1
15,Meghalaya,24,3.3,43,2.5,0,0,0,0,2,5,0,0,56,5.9,125,16.7
16,Mizoram,8,3.8,4,0.9,2,0.1,0,0,0,0,0,0,3,0,17,4.8
17,Nagaland,10,1.6,28,18.8,0,0,0,0,0,0,22,8.8,65,45.8,125,75
18,Orissa,335,50.9,367,46,0,0,15,1.1,1,4,91,27.4,379,43,1188,172.4
19,Punjab,14,8.1,5,9.6,0,0,0,0,0,0,5,10.3,38,19.4,62,47.3
20,Rajasthan,37,10.1,70,75.7,0,0,3,0.1,0,0,30,9.1,881,327.4,1021,422.4
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9,2,0.9
22,Tamil Nadu,173,98.1,52,47.2,0,0,10,1.4,2,0,52,23.5,371,154.8,660,325
23,Tripura,51,5.5,3,0.3,0,0,0,0,0,0,7,1.3,10,0.8,71,7.9
24,Uttar Pradesh,615,139.1,2218,1190,0,0,39,2.9,7,3.8,55,33.4,1237,264.7,4171,1634
25,West Bengal,102,44.1,176,51.3,0,0,31,4.2,7,8.8,59,39.2,442,130.9,817,278.5
Total States,Total States,3916,1191.5,5186,2466.9,14,2.8,284,67,49,68,1055,543.2,9639,3969.5,20143,8308.9
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,8,0.3,8,0.3
27,Chandigarh,2,0,0,0,0,0,0,0,0,0,1,0.1,7,2,10,2.1
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,2,2.5,2,2.5
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,1,1.4,0,0,1,1.4
30,Delhi,168,225.8,12,12.5,0,0,13,1.4,0,0,63,67.2,502,260.7,758,567.5
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,4,0.2
Total (UTs),Total (UTs),171,225.8,12,12.5,0,0,13,1.4,0,0,65,68.6,522,265.6,783,574
Total (All -India),Total (All -India),4087,1417.3,5198,2479.3,14,2.8,297,68.5,49,68,1120,611.9,10161,4235.1,20926,8882.9
33,Ahmedabad,6,2.4,1,1.7,0,0,0,0,0,0,15,3.6,204,98.4,226,106.1
34,Bangalore,107,23.9,19,3.3,0,0,0,0,2,0,14,6.6,249,97.8,391,131.5
35,Bhopal,7,0.7,0,0,0,0,0,0,0,0,6,1.2,78,18.8,91,20.6
36,Calcutta,16,11.8,2,0.9,0,0,0,0,0,0,30,7.2,52,12.3,100,32.2
37,Chennai,4,2.6,0,0,0,0,0,0,0,0,1,0,25,11.8,30,14.4
38,Coimbatore,159,213.7,9,9.8,0,0,13,1.4,0,0,63,67.2,427,220.2,671,512.4
39,Delhi,18,9.2,0,0,0,0,0,0,0,0,10,1.4,24,1.6,52,12.2
40,Hyderabad,6,3.5,13,7.9,0,0,0,0,0,0,5,2.9,45,26,69,40.3
41,Indore,2,4.3,1,5.5,0,0,0,0,0,0,3,0,63,11.6,69,21.4
42,Jaipur,21,5,135,92.2,0,0,0,0,0,0,0,0,22,9.9,178,107.1
43,Kanpur,7,0.9,1,0.5,0,0,0,0,0,0,9,0.9,23,6.5,40,8.8
44,Kochi,22,21.2,47,26.1,0,0,0,0,0,0,18,21.6,64,62.8,151,131.7
45,Lucknow,26,5.7,69,26.8,0,0,0,0,0,0,4,0.7,16,8,115,41.2
46,Ludhiana,1,2.8,0,0,0,0,0,0,0,0,3,8.8,4,1.3,8,12.9
47,Madurai,3,0.3,0,0,0,0,0,0,0,0,3,0.5,17,3,23,3.8
48,Mumbai,35,141.3,83,137.7,3,0.6,0,0,0,0,72,184.6,376,1003,569,1467.2
49,Nagpur,16,5.3,0,0,0,0,0,0,0,0,56,3.1,152,21.3,224,29.7
50,Patna,55,0.8,117,23.2,0,0,0,0,0,0,49,6,110,31.5,331,61.5
51,Pune,11,2.7,2,1.1,1,0.2,0,0,1,0,4,0.7,64,14.7,83,19.3
52,Surat,21,25.5,1,12.9,0,0,0,0,0,0,4,0.3,28,120,54,158.7
53,Vadodra,11,1.7,4,12.9,0,0,0,0,0,0,5,1.4,19,2.4,39,18.4
54,Varanasi,10,1.5,36,15,0,0,0,0,0,0,3,5.3,7,0.8,56,22.6
55,Vishakhapatnam,6,0.8,0,0,0,0,0,0,0,0,0,0,3,0.1,9,0.9
