SI.No.,State/UT,Number of Police Stations - 0-60 Cases,Number of Police Stations - 61-100 Cases,Number of Police Stations - 101-200 Cases,Number of Police Stations - 201-300 Cases,Number of Police Stations - 301-400 Cases,Number of Police Stations - 401-500 Cases,Number of Police Stations - 501-1000 Cases,Number of Police Stations - 1001 and Above,Number of Police Stations - Total (Col.3 To 10)
1,Andhra Pradesh,351,426,527,154,67,20,20,0,1565
2,Arunachal Pradesh,55,6,5,1,0,0,0,0,67
3,Assam,53,38,74,33,18,5,7,2,230
4,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Goa,10,6,8,1,1,0,0,0,26
6,Gujarat,43,33,77,95,67,42,70,36,463
7,Haryana,5,12,47,52,36,19,26,2,199
8,Himachal Pradesh,8,9,36,16,8,2,5,0,84
9,Jammu & Kashmir,46,24,39,22,13,4,1,0,149
10,Karnataka,57,113,358,134,59,25,31,1,778
11,Kerala,26,30,90,102,79,45,57,8,437
12,Madhya Pradesh,190,176,369,214,107,64,68,20,1208
13,Maharashtra,84,92,287,195,100,43,82,14,897
14,Manipur,36,7,8,2,1,1,0,0,55
15,Meghalaya,7,12,4,3,0,0,0,0,26
16,Mizoram,22,2,1,5,0,0,2,0,32
17,Nagaland,24,34,2,1,37,0,0,0,98
18,Orissa,101,181,114,38,9,3,3,0,449
19,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Rajasthan,20,53,218,186,96,64,69,1,707
21,Sikkim,25,1,1,0,0,0,0,0,27
22,Tamil Nadu,168,222,184,168,136,130,278,130,1416
23,Tripura,18,17,9,3,0,0,0,0,47
24,Uttar Pradesh,162,163,352,286,206,194,125,32,1520
25,West Bengal @,62,73,129,62,39,32,6,1,404
Total States,Total States,1573,1730,2939,1773,1079,693,850,247,10884
26,A & N Islands,2,4,4,1,1,2,0,1,15
27,Chandigarh,0,0,0,6,2,1,2,0,11
28,D & N Haveli,0,1,0,0,1,0,0,0,2
29,Daman & DIU,1,0,0,1,0,0,0,0,2
30,Delhi,1,1,6,13,19,25,25,33,123
31,Lakshadweep,9,0,0,0,0,0,0,0,9
32,Pondicherry,8,3,17,4,2,2,1,0,37
Total (UTs),Total (UTs),21,9,27,25,25,30,28,34,199
Total (All -India),Total (All -India),1594,1739,2966,1798,1104,723,878,281,11083
