SI.No.,States/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,kidnapping and Abduction,Dacoity,Preparation and Assembly for Dacoity,Robbery,Riots,Arson,Dowry Death,Total Violent Crimes,Percentage Share to All- India Crimes,Crime Rate of Violent Crime,Percentage to total Cog. Crimes under IPC
1,Andhra Pradesh,2704,1434,141,944,1099,261,5,635,2481,863,442,11009,4.6,14.5,9.1
2,Arunachal Pradesh,68,63,7,36,58,47,0,100,20,20,0,419,0.2,34.9,17.7
3,Assam,1523,477,57,762,1474,708,30,741,3406,400,50,9628,4.1,36.6,27.4
4,Bihar,5356,4313,778,1570,2711,2090,273,2896,10647,639,1085,32358,13.6,32.2,26.1
5,Goa,42,27,6,21,11,4,0,33,62,25,2,233,0.1,14.5,9.6
6,Gujarat,1317,597,26,330,1125,339,5,1159,2262,583,93,7836,3.3,16.2,6.8
7,Haryana,784,517,79,421,460,108,127,428,883,202,263,4272,1.8,21.4,10.8
8,Himachal Pradesh,123,89,8,129,110,9,0,17,610,128,4,1227,0.5,18.2,11
9,Jammu & Kashmir,766,1028,25,183,658,38,0,136,934,328,10,4106,1.7,41.1,23.4
10,Karnataka,1694,1550,56,281,587,236,31,957,7571,341,217,13521,5.7,25.9,12.4
11,Kerala,465,504,95,552,139,119,3,375,7149,359,25,9785,4.1,30.2,9.9
12,Madhya Pradesh,3415,3287,223,3737,1177,210,146,1850,4169,1305,685,20204,8.5,25.2,9.3
13,Maharashtra,2857,1464,94,1310,1050,553,288,2530,5633,1212,371,17362,7.3,19,10
14,Manipur,217,142,5,8,92,12,1,27,94,61,0,659,0.3,26,25.6
15,Meghalaya,124,49,5,35,31,92,1,125,10,21,0,493,0.2,20.1,29
16,Mizoram,40,17,8,58,10,6,0,17,2,11,0,169,0.1,17.6,7.3
17,Nagaland,111,37,16,14,31,42,6,125,11,3,1,397,0.2,23.4,29
18,Orissa,1138,1088,37,747,434,283,47,1188,1505,358,276,7101,3,19.7,14.4
19,Punjab,797,668,80,334,464,21,98,62,0,72,199,2795,1.2,11.8,11.5
20,Rajasthan,1513,2005,69,1242,3070,99,24,1021,15687,1104,429,26263,11.1,48.7,16.3
21,Sikkim,19,11,1,6,2,2,0,2,17,1,0,61,0,10.9,14.1
22,Tamil Nadu,1711,1834,31,538,1182,159,11,660,5005,1137,191,12459,5.2,20.1,8.2
23,Tripura,306,56,0,86,293,37,0,71,286,87,16,1238,0.5,32.5,36.7
24,Uttar Pradesh,7755,8329,1176,1865,4233,920,62,4171,7682,863,2222,39278,16.5,22.9,22.4
25,West Bengal,1892,503,683,814,926,353,306,817,3899,171,284,10648,4.5,13.4,16.2
Total States,Total States,36737,30089,3706,16023,21427,6748,1464,20143,80025,10294,6865,233521,98,23.7,13.7
26,A & N Islands,18,7,1,5,3,1,0,8,29,7,0,79,0,20.4,10.5
27,Chandigarh,19,20,5,23,67,1,0,10,75,7,2,229,0.1,25.6,7.8
28,D & N Haveli,10,4,0,3,13,1,0,2,28,3,0,64,0,33.3,14.5
29,Daman & DIU,3,7,0,1,5,3,0,1,28,4,0,52,0,36.9,20.7
30,Delhi,586,598,57,435,1346,70,41,758,210,64,125,4290,1.8,30.4,7.6
31,Lakshadweep,0,0,0,1,0,0,0,0,0,1,0,2,0,2.8,8.3
32,Pondicherry,26,18,4,5,10,1,0,4,61,12,3,144,0.1,12.9,4.3
Total (UTs),Total (UTs),662,654,67,473,1444,77,41,783,431,98,130,4860,2,28.8,7.6
Total (All -India),Total (All -India),37399,30743,3773,16496,22871,6825,1505,20926,80456,10392,6995,238381,100,23.8,13.5
33,Ahmedabad,111,58,5,11,149,22,2,226,257,6,3,850,4.2,19.9,6
34,Bangalore,212,311,2,27,127,29,18,391,289,7,55,1468,7.3,25.7,5.4
35,Bhopal,46,79,0,54,55,4,1,91,70,9,12,421,2.1,25,3.8
36,Calcutta,62,169,0,24,40,14,0,100,86,0,22,517,2.6,7.7,8.3
37,Chennai,18,17,0,6,19,5,1,30,72,4,7,179,0.9,13.8,4.9
38,Coimbatore,477,536,52,374,1177,51,37,671,171,57,102,3705,18.3,30.7,7.2
39,Delhi,115,104,4,50,76,6,0,52,141,0,32,580,2.9,8.1,5
40,Hyderabad,76,114,3,49,56,5,14,69,65,20,21,492,2.4,33.8,4.6
41,Indore,37,49,1,35,189,2,0,69,1420,29,26,1857,9.2,84,14.3
42,Jaipur,253,165,25,48,210,20,2,178,224,18,71,1214,6,49,18.1
43,Kanpur,14,23,8,10,7,9,0,40,187,5,0,303,1.5,16.5,5.5
44,Kochi,49,138,13,35,105,27,52,151,316,0,15,901,4.5,6.9,6.9
45,Lucknow,161,128,27,29,146,20,3,115,250,7,22,908,4.5,34,12.1
46,Ludhiana,58,46,4,35,36,0,15,8,0,4,12,218,1.1,12.6,13.4
47,Madurai,27,69,0,8,22,7,0,23,100,4,5,265,1.3,20.6,6.9
48,Mumbai,311,201,5,124,145,78,83,569,261,2,13,1792,8.9,9.6,6.1
49,Nagpur,98,87,2,36,57,16,79,224,226,22,9,856,4.2,40.9,8.9
50,Patna,227,269,31,26,117,82,18,331,124,20,34,1279,6.3,98.4,22.3
51,Pune,77,36,3,49,40,13,4,83,894,12,1,1212,6,33.7,13.6
52,Surat,83,22,0,16,67,35,0,54,139,10,33,459,2.3,18.8,11.7
