SI.No.,States/UT/City,Number of Victims - Upto 10 Years - Male,Number of Victims - Upto 10 Years - Female,Number of Victims - Upto 10 Years - Total,Number of Victims - 11-15 Years - Male,Number of Victims - 11-15 Years - Female,Number of Victims - 11-15 Years - Total,Number of Victims - 16-18 Years - Male,Number of Victims - 16-18 Years - Female,Number of Victims - 16-18 Years - Total,Number of Victims - 19-30 Years - Male,Number of Victims - 19-30 Years - Female,Number of Victims - 19-30 Years - Total,Number of Victims - 31-50 Years - Male,Number of Victims - 31-50 Years - Female,Number of Victims - 31-50 Years - Total,Number of Victims - Above 50 Years - Male,Number of Victims - Above 50 Years - Female,Number of Victims - Above 50 Years - Total,Number of Victims - total of All Age Groups - Male,Number of Victims - total of All Age Groups - Female,Number of Victims - total of All Age Groups - Total
1,Andhra Pradesh,0,1,1,1,0,1,3,8,11,55,14,69,43,10,53,6,0,6,108,33,141
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,3,1,4,2,0,2,1,0,1,6,1,7
3,Assam,0,0,0,1,0,1,4,2,6,29,2,31,19,0,19,0,0,0,53,4,57
4,Bihar,0,0,0,15,9,24,35,19,54,348,160,508,207,61,268,18,0,18,623,249,872
5,Goa,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,6,0,6
6,Gujarat,2,0,2,1,0,1,4,0,4,11,3,14,8,4,12,1,0,1,27,7,34
7,Haryana,1,2,3,0,0,0,2,1,3,31,0,31,45,3,48,4,1,5,83,7,90
8,Himachal Pradesh,0,2,2,0,0,0,0,1,1,0,0,0,3,0,3,2,0,2,5,3,8
9,Jammu & Kashmir,0,0,0,1,0,1,1,0,1,12,2,14,7,0,7,2,0,2,23,2,25
10,Karnataka,3,3,6,0,1,1,4,1,5,27,1,28,16,1,17,2,2,4,52,9,61
11,Kerala,2,4,6,2,0,2,0,0,0,31,6,37,40,3,43,8,0,8,83,13,96
12,Madhya Pradesh,6,1,7,3,2,5,4,3,7,82,30,112,56,10,66,20,6,26,171,52,223
13,Maharashtra,1,2,3,2,1,3,5,1,6,28,16,44,32,5,37,3,1,4,71,26,97
14,Manipur,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
15,Meghalaya,1,0,1,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,5,0,5
16,Mizoram,0,0,0,1,0,1,0,0,0,3,1,4,2,0,2,1,0,1,7,1,8
17,Nagaland,2,0,2,2,0,2,2,0,2,8,0,8,2,0,2,0,0,0,16,0,16
18,Orissa,1,0,1,1,0,1,1,0,1,10,3,13,19,1,20,0,1,1,32,5,37
19,Punjab,0,0,0,0,0,0,9,3,12,31,17,48,23,4,27,5,0,5,68,24,92
20,Rajasthan,2,0,2,1,0,1,2,3,5,19,9,28,27,3,30,3,0,3,54,15,69
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
22,Tamil Nadu,0,0,0,0,0,0,5,0,5,4,2,6,15,2,17,2,1,3,26,5,31
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,12,3,15,15,2,17,89,3,92,432,21,453,459,19,478,117,4,121,1124,52,1176
25,West Bengal,8,3,11,18,4,22,48,12,60,274,30,304,253,13,266,37,0,37,638,62,700
Total States,Total States,41,21,62,64,19,83,219,57,276,1449,318,1767,1282,139,1421,232,16,248,3287,570,3857
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
27,Chandigarh,0,0,0,0,0,0,0,0,0,3,0,3,1,1,2,0,0,0,4,1,5
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,0,0,0,0,0,0,5,0,5,57,5,62,29,6,35,6,1,7,97,12,109
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,2,2,4
Total (UTs),Total (UTs),0,0,0,0,0,0,5,0,5,60,6,66,33,8,41,6,1,7,104,15,119
Total (All -India),Total (All -India),41,21,62,64,19,83,224,57,281,1509,324,1833,1315,147,1462,238,17,255,3391,585,3976
33,Ahmedabad,0,0,0,0,0,0,0,0,0,2,1,3,1,1,2,0,0,0,3,2,5
34,Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Calcutta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Chennai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
