SI.No.,State/UT/City,Estimated Mid Year Population,Rape - Incidence,Rape - Rate,Rape - percentage contribution to All India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - percentage contribution to All India,Dowry Deaths - Incidence,Dowry Deaths - Rate,Dowry Deaths - percentage contribution to All- India,Cruelty By Husband And Relatives - Incidence,Cruelty By Husband And Relatives - Rate,Cruelty By Husband and Relatives - percentage contribution to All India,Molestation - Incidence,Molestation - Rate,Molestation - percentage contribution to All India,Sexual Harassment (Eve -Teasing ) - Incidence,Sexual Harassment (Eve -Teasing ) - Rate,Sexual Harassment (Eve -Teasing ) - percentage contribution to All India,Importation of Girls - Incidence,Importation of Girls - Rate,Importation of Girls - percentage contribution to All India,Sati Prev.Act - Incidence,Sati Prev.Act - Rate,Sati Prev.Act - percentage contribution to All India,Immoral Traffic (P) Act - Incidence,Immoral Traffic (P) Act - Rate,Immoral Traffic (P) Act - percentage contribution to All India,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Indecent Representation of Women (P) Act - percentage contribution to All India,Dowry Proh.Act - Incidence,Dowry Proh.Act - Rate,Dowry Proh.Act - percentage contribution to All India percentage contribution to All India,Total - Incidence,Total - Rate,Total - percentage contribution to All India
1,Andhra Pradesh,758.5,944,1.2,5.7,716,0.9,4.8,442,0.6,6.3,5399,7.1,11.8,3231,4.3,9.8,2280,3,20.7,0,0,0,0,0,0,482,0.6,5.1,379,0.5,57.3,426,0.6,14.8,14299,18.9,10.1
2,Arunachal Pradesh,12,36,3,0.2,42,3.5,0.3,0,0,0,10,0.8,0,53,4.4,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,11.9,0.1
3,Assam,263,762,2.9,4.6,1101,4.2,7.3,50,0.2,0.7,978,3.7,2.1,777,3,2.4,18,0.1,0.2,0,0,0,0,0,0,17,0.1,0.2,0,0,0,29,0.1,1,3732,14.2,2.6
4,Bihar,1005.6,1570,1.6,9.5,700,0.7,4.7,1085,1.1,15.5,1396,1.4,3,456,0.5,1.4,122,0.1,1.1,40,0,62.5,0,0,0,9,0,0.1,53,0.1,8,868,0.9,30.2,6299,6.3,4.5
5,Goa,16.1,21,1.3,0.1,7,0.4,0,2,0.1,0,13,0.8,0,20,1.2,0.1,9,0.6,0.1,0,0,0,0,0,0,28,1.7,0.3,0,0,0,0,0,0,100,6.2,0.1
6,Gujarat,484.9,330,0.7,2,868,1.8,5.8,93,0.2,1.3,3739,7.7,8.2,944,1.9,2.9,119,0.2,1.1,0,0,0,0,0,0,47,0.1,0.5,0,0,0,0,0,0,6140,12.7,4.3
7,Haryana,199.3,421,2.1,2.6,299,1.5,2,263,1.3,3.8,1286,6.5,2.8,605,3,1.8,423,2.1,3.8,0,0,0,0,0,0,13,0.1,0.1,0,0,0,1,0,0,3311,16.6,2.3
8,Himachal Pradesh,67.4,129,1.9,0.8,95,1.4,0.6,4,0.1,0.1,307,4.6,0.7,288,4.3,0.9,15,0.2,0.1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0.1,842,12.5,0.6
9,Jammu & Kashmir,99.9,183,1.8,1.1,566,5.7,3.8,10,0.1,0.1,51,0.5,0.1,480,4.8,1.5,342,3.4,3.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1634,16.4,1.2
10,Karnataka,523,281,0.5,1.7,323,0.6,2.2,217,0.4,3.1,1688,3.2,3.7,1568,3,4.8,75,0.1,0.7,0,0,0,0,0,0,1308,2.5,13.7,0,0,0,392,0.7,13.6,5852,11.2,4.1
