SL. No.,Event,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,207,60,349,0,887
2,Anti-Dacoity Operations,277,190,39,9,79
3,Against Extremists and Terrorist,581,339,36,50,93
4,Against Others,268,170,40,2,192
5,Total,1333,759,464,61,1251
