SI.No. , State/UT                            ,Arms Act ,NDPS Act ,Gambling Act ,Excise Act ,prohibition Act ,Explosive & Explosive Substances Act,Immoral Traffic Prevention Act,Indian Railways Act  ,Registration of Foreigners Act ,Protection Of Civil Rights  Act,Indian Passport Act ,Essential Commodities Act,Terrorist & Disruptive Actvites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act ,Child Marriage Restraint Act ,Indecent Representation of Women Prohibition Act,Copy Rights Act ,Sati Prevention Act ,SC/ST Prevention of Atrocities Act ,Forest Act ,Other SLL Crimes ,Total Cog. Crimes under SLL 
1,Andhra Pradesh ,98.5,98.8,100,98.3,99.7,96.1,100,98.7,50,99.5,89.5,100,100,100,98.2,100,100,97.9,NA ,95.7,95.6,100,100
2,Arunachal Pradesh ,90,90.9,NA ,NA ,NA ,62.5,NA ,NA ,100,NA ,100,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,50,73.3
3,Assam,69,81.6,82.1,86.4,39.1,45.6,47.6,66.7,20,NA ,100,69.8,41.9,NA ,46.2,NA ,NA ,NA ,NA ,NA ,72.7,54.3,59.6
4,Bihar,96.5,96.1,95.2,96.8,100,92.1,65,28.1,100,NA,NA,89.5,100,66.7,93.5,100,31,100,NA,88.8,88.5,81,92.9
5,Goa,66.7,97.1,100,NA ,NA ,100,100,20,100,NA ,NA ,50,NA ,NA ,NA ,NA ,NA ,NA ,NA ,100,NA ,94.6,97.7
6,Gujarat,98.6,96.3,100,NA ,99.8,94.6,100,98.2,88.2,96,100,98.9,NA ,100,NA ,100,100,100,NA ,96.5,75,98.1,99.4
7,Haryana,95.7,93.3,99.6,97.3,NA ,100,100,95.4,100,NA ,100,98.6,NA ,100,100,100,NA ,96.2,NA ,89.7,NA ,96.2,97.3
8,Himachal Pradesh,88.2,97.8,100,99.8,NA ,60,NA ,100,100,100,NA ,100,NA ,NA ,100,83.3,NA ,100,NA ,100,82.1,90.5,97.8
9,Jammu & Kashmir,55.2,96.9,100,99.4,NA ,35.2,100,NA ,100,50,30,99.5,24,NA ,NA ,NA ,NA ,100,NA ,NA ,100,41.4,64.4
10,Karnataka ,86.9,98.2,100,86.2,NA ,83.2,100,75,100,96.7,100,90.7,NA ,100,94.4,100,NA ,82.3,NA ,89.8,76,82.1,90.3
11,Kerala,91.4,95.5,99.9,97.2,94.1,75.4,100,66.7,100,50,59.4,97.3,NA ,NA ,100,100,100,96.4,NA ,96.2,NA ,95.6,95.3
12,Madhya Pradesh,99.9,99,100,100,NA ,97.2,100,99.9,100,100,100,93.9,NA ,0,98.6,100,NA ,99.3,NA ,97.4,97.9,99.6,99.7
13,Maharashtra,99.3,95.1,100,NA ,99.9,93.4,100,98.9,100,94,93.8,98.9,NA ,100,100,100,100,100,NA ,96.2,100,98.8,99.7
14,Manipur,20.7,92.5,100,NA ,NA ,20,NA ,NA ,50,NA ,NA ,0,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,5.1,20.5
15,Meghalaya,97.5,92.9,100,100,100,85.7,NA ,NA ,100,NA ,NA ,100,NA ,NA ,NA ,NA ,NA ,100,NA ,NA ,NA ,100,97.8
16,Mizoram,68.8,96.6,100,NA ,NA ,22.9,66.7,NA ,100,100,80,11.1,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,97.2,93.2
17,Nagaland,63.2,99.5,66.7,64.3,100,57.1,100,100,100,NA ,NA ,100,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,74,89
18,Orissa,90.8,97.1,99,99.4,100,89,100,80,NA ,NA ,NA ,86,NA ,NA ,89.5,NA ,NA ,83.3,NA ,88.9,100,91.9,95.6
