SL.No.,Rank,Number of Victims Killed - In Terrorist/ Extremists Operations,Number of Victims Killed - In Dacoity Operations or Other Raids,Number of Victims Killed - In by Riotous Mobs,Number of Victims Killed - By other Criminals,Number of Victims Killed - On Border Duties,Number of Victims Killed - In Accidents,Number of Victims Killed - Total,Number of Victims Injured - In Terrorist/Extramists Operations,Number of Victims Injured - In Dacoity Operation or Other Raids,Number of Victims Injured - By Riotous Mobs,Number of Victims Injured - By other Criminals,Number of Victims Injured - On Border Duties,Number of Victims Injured - In Accidents,Number of Victims Injured - Total
1,Constables,182,15,11,65,0,319,592,209,78,1451,439,0,533,2710
2,Head Constables,20,3,2,5,0,93,123,23,7,312,101,0,118,561
3,Assistant Sub-Inspectors,9,1,0,6,0,31,47,7,10,144,47,0,46,254
4,Sub- Inspector,15,4,0,12,0,18,49,11,16,267,73,0,74,441
5,Inspectors,6,0,0,1,0,5,12,5,2,118,22,0,8,155
6,Other Gazetted Officers,2,0,2,0,0,0,4,3,2,72,14,0,4,95
7,Total,234,23,15,89,0,466,827,258,115,2364,696,0,783,4216
