SI.No.,State/UT,District/Session Judge - Duration of Trial - Less than 6 month,District/Session Judge - Duration of Trial - 6-12 Months,District/Session Judge - Duration of Trial - 1-3 years,District/Session Judge - Duration of Trial - 3-5 years,District/Session Judge - Duration of Trial - 5-10 years,District/Session Judge - Duration of Trial - Over 10 years,District/Session Judge - Duration of Trial - Total (Col.3 to 8),Additional Session Judge - Duration of Trial - Less Than 6 Month,Additional Session Judge - Duration of Trial - 6-12 Month,Additional Session Judge - Duration of Trial - Less Than 1-3 Years,Additional Session Judge - Duration of Trial - 3-5 Years,Additional Session Judge - Duration of Trial - 5-10 Years,Additional Session Judge - Duration of Trial - Over 10 Years,Additional Session Judge - Duration of Trial - Total (Col. 10 To 15),Chief judicial Magistrate - Duration of Trial - Less than 6 Months,Chief judicial Magistrate - Duration of Trial - 6 -12 Months,Chief judicial Magistrate - Duration of Trial - 1-3 Years,Chief judicial Magistrate - Duration of Trial - 3-5 Years,Chief judicial Magistrate - Duration of Trial - 5-10 Years,Chief judicial Magistrate - Duration of Trial - Over 10 Years,Chief judicial Magistrate - Duration of Trial - Total (Col. 17 To 22),judicial Magistrate (I) - Duration of Trial - Less than 6 Months,judicial Magistrate (I) - Duration of Trial - 6 -12 Months,judicial Magistrate (I) - Duration of Trial - 1-3 Years,judicial Magistrate (I) - Duration of Trial - 3-5 Years,judicial Magistrate (I) - Duration of Trial - 5-10 Years,judicial Magistrate (I) - Duration of Trial - Over 10 Years,judicial Magistrate (I) - Duration of Trial - Total (Col. 24 To 29),judicial Magistrate (II) - Duration of Trial - Less than 6 Months,judicial Magistrate (II) - Duration of Trial - 6 -12 Months,judicial Magistrate (II) - Duration of Trial - 1-3 Years,judicial Magistrate (II) - Duration of Trial - 3-5 Years,judicial Magistrate (II) - Duration of Trial - 5-10 Years,judicial Magistrate (II) - Duration of Trial - Over 10 Years,judicial Magistrate (II) - Duration of Trial - Total (Col. 31 To 36),Special judicial Magistrate - Duration of Trial - Less than 6 Months,Special judicial Magistrate - Duration of Trial - 6 -12 Months,Special judicial Magistrate - Duration of Trial - 1-3 Years,Special judicial Magistrate - Duration of Trial - 3-5 Years,Special judicial Magistrate - Duration of Trial - 5-10 Years,Special judicial Magistrate - Duration of Trial - Over 10 Years,Special judicial Magistrate - Duration of Trial - Total (Col. 38 To 43),Sum of All Type of Courts - Duration of Trial - Less than 6 Months,Sum of All Type of Courts - Duration of Trial - 6-12 Months,Sum of All Type of Courts - Duration of Trial - 1-3 Years,Sum of All Type of Courts - Duration of Trial - 3-5 Years,Sum of All Type of Courts - Duration of Trial - 5-10 Years,Sum of All Type of Courts - Duration of Trial - Over 10 Years,Sum of All Type of Courts - Duration of Trial - Total (Col. 45 To 50)
1,Andhra Pradesh,150,256,1528,1090,328,48,3400,136,755,2607,1654,566,95,5813,140,354,1674,1302,1998,60,5528,5117,9593,11715,6537,3069,437,36468,4419,3103,5888,2754,647,33,16844,1636,2976,3240,954,582,28,9416,11598,17037,26652,14291,7190,701,77469
2,Arunachal Pradesh,2,5,53,25,7,6,98,0,1,1,0,0,0,2,0,0,0,0,0,0,0,45,49,106,75,4,1,280,49,96,111,69,7,2,334,0,1,1,0,0,0,2,96,152,272,169,18,9,716
3,Assam,101,187,540,255,179,29,1291,85,185,330,317,210,48,1175,348,689,1114,1206,407,72,3836,737,915,1778,1304,381,124,5239,246,370,533,396,212,38,1795,61,136,78,194,28,20,517,1578,2482,4373,3672,1417,331,13853
4,Bihar,116,135,557,491,705,382,2386,33,277,2039,1987,1791,758,6885,16,272,2421,2410,1384,531,7034,156,1143,5440,5557,2761,1525,16582,170,692,3111,2961,1697,799,9430,35,149,482,587,427,198,1878,526,2668,14050,13993,8765,4193,44195
5,Goa,1,2,32,9,15,13,72,0,2,28,28,7,3,68,12,28,26,31,3,0,100,59,127,508,206,299,140,1339,25,31,67,34,26,8,191,0,0,8,0,2,0,10,97,190,669,308,352,164,1780
6,Gujarat,49,132,363,410,217,44,1215,22,98,462,422,264,35,1303,913,1335,1459,2006,1545,153,7411,2614,4301,7264,6765,3263,1049,25256,782,1107,2273,1866,993,405,7426,127,111,219,197,204,19,877,4507,7084,12040,11666,6486,1705,43488
7,Haryana,14,39,177,174,74,12,490,46,198,760,509,256,13,1782,587,920,1689,1203,435,26,4860,1576,1910,2256,1747,681,68,8238,1183,980,1687,952,509,65,5376,97,145,260,117,0,0,619,3503,4192,6829,4702,1955,184,21365
8,Himachal Pradesh,14,61,133,35,6,2,251,7,34,62,33,33,0,169,370,223,520,303,120,3,1539,161,130,644,411,152,5,1503,17,137,387,86,18,5,650,22,48,74,17,6,0,167,591,633,1820,885,335,15,4279
9,Jammu & Kashmir,102,162,211,227,118,83,903,65,198,259,226,151,40,939,584,495,318,372,48,141,1958,1084,1114,575,343,313,154,3583,136,68,194,55,109,112,674,29,36,46,23,5,0,139,2000,2073,1603,1246,744,530,8196
10,Karnataka,56,151,1070,795,496,66,2634,113,201,656,499,238,29,1736,859,5412,5457,3646,1006,131,16511,2090,3671,10784,4034,1700,191,22470,2416,3254,6946,3150,784,344,16894,126,173,194,171,98,2,764,5660,12862,25107,12295,4322,763,61009
11,Kerala,114,196,452,210,85,31,1088,227,276,648,273,119,8,1551,420,591,1166,505,155,35,2872,6089,8707,13392,6048,1404,412,36052,1952,3073,5046,1632,362,114,12179,31,64,120,32,16,2,265,8833,12907,20824,8700,2141,602,54007
