SI.No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,other places - Number,other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,5602,1177.2,7,0.4,0,0,1,0,43,7,954,189.5,729,138.8,7336,1513
2,Arunachal Pradesh,127,29.7,1,1.3,0,0,0,0,0,0,90,23.9,51,21.5,269,76.4
3,Assam,2237,154,0,0,0,0,2,0.6,0,0,236,61.7,281,30.1,2756,246.4
4,Bihar,3945,223.7,10,2.1,0,0,6,0.2,0,0,182,23,806,47.8,4949,296.8
5,Goa,250,95.4,0,0,0,0,0,0,10,0,117,31.8,59,9.7,436,136.9
6,Gujarat,3886,949.9,3,0.1,2,0.5,0,0,43,17.1,989,237.8,930,155.6,5853,1361
7,Haryana,2621,490.9,0,0,0,0,0,0,33,1.2,630,122.9,316,31.3,3600,646.3
8,Himachal Pradesh,380,88.6,0,0,0,0,0,0,13,0,227,86.4,201,25.7,821,200.6
9,Jammu & Kashmir,933,186.4,5,10.2,0,0,0,0,0,0,234,62.6,123,43.4,1295,302.4
10,Karnataka,5494,1230.3,0,0,0,0,2,0,39,3,1294,369.7,693,160.2,7522,1763.3
11,Kerala,2490,627.1,239,105.7,1,0.1,1,0.1,10,3.2,837,263,743,255.7,4321,1255
12,Madhya Pradesh,12627,1359.1,0,0,0,0,3,0.3,27,11.4,1548,161.6,3040,161.2,17245,1693.7
13,Maharashtra,9898,2542,0,0,0,0,5,0,69,26.2,2632,1023.6,2326,1580.2,14930,5172.2
14,Manipur,48,11,0,0,0,0,0,0,0,0,9,1.4,17,2.5,74,14.9
15,Meghalaya,107,8.7,0,0,0,0,0,0,0,0,6,3,54,8.2,167,19.9
16,Mizoram,241,19.1,0,0,0,0,0,0,0,0,71,8.4,72,8.6,384,36.2
17,Nagaland,104,20.1,0,0,0,0,0,0,0,0,49,19.5,18,9.1,171,48.8
18,Orissa,2581,298.7,0,0,0,0,17,2.2,6,1.2,422,101.8,563,55.5,3589,459.4
19,Punjab,1257,482.3,1,0.2,0,0,6,0.2,15,2.5,291,134.7,187,52.8,1757,672.7
20,Rajasthan,5303,681.2,0,0,0,0,0,0,28,2.3,951,159.7,1783,345,8065,1188.2
21,Sikkim,74,8.1,0,0,0,0,0,0,0,0,0,0,0,0,74,8.1
22,Tamil Nadu,3385,738.5,0,0,0,0,6,0.6,27,8.6,532,288.3,1630,179.3,5580,1215.4
23,Tripura,179,25.6,0,0,0,0,0,0,0,0,40,7.7,18,1.7,237,35.1
24,Uttar Pradesh,7670,1480.3,4,0.4,0,0,0,0,4,2.2,405,57.8,1486,219.9,9569,1760.5
25,West Bengal,282,68.9,0,0,0,0,0,0,0,0,34,20.2,138,21.7,454,110.8
Total States,Total States,71721,12997,270,120.4,3,0.6,49,4.2,367,86,12780,3460.1,16264,3565.6,101454,20233.9
