SI.No.,State/UT/City,By Education - Illiterate,By Education - Primary,By Education - Above Primary but below H.Sec.,By Education - Matric / H.Sec. & Above,By Education - Total,By Family Background - Living with parents,By Family Background - Living with Guardians,By Family Background - Home Less,By Family Background - Total,"By Economic setup - Annual Income (upto Rs. 25,000)","By Economic setup - Annual Income (25,001 to Rs. 50,000)","By Economic setup - Middle Income (from 50,001 to Rs. 1,00,000)","By Economic setup - Middle Income (from 1,00,001 to Rs. 2,00,000)","By Economic setup - Upper Middle Income (from 2,00,001 to Rs. 3,00,000)","By Economic setup - Upper Middle Income (above Rs. 3,00,000)",By Economic set up - Total,By Recidivism - New Delinquent,By Recidivism - Old Delinquent,By Recidivism - Total
1,Andhra Pradesh,486,281,146,36,949,643,188,118,949,632,255,55,7,0,0,949,907,42,949
2,Arunachal Pradesh,15,46,40,5,106,67,39,0,106,74,30,2,0,0,0,106,94,12,106
3,Assam,112,91,44,0,247,177,53,17,247,182,33,23,7,2,0,247,219,28,247
4,Bihar,446,173,92,69,780,478,176,126,780,440,219,81,40,0,0,780,725,55,780
5,Goa,8,11,12,0,31,27,0,4,31,27,2,1,1,0,0,31,31,0,31
6,Gujarat,573,910,270,34,1787,1610,149,28,1787,1323,306,132,16,7,3,1787,1508,279,1787
7,Haryana,105,189,197,61,552,450,55,47,552,362,127,46,14,2,1,552,522,30,552
8,Himachal Pradesh,5,17,27,9,58,58,0,0,58,36,16,6,0,0,0,58,58,0,58
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,156,104,33,24,317,289,9,19,317,245,40,32,0,0,0,317,302,15,317
11,Kerala,18,26,15,0,59,32,12,15,59,52,4,3,0,0,0,59,59,0,59
12,Madhya Pradesh,1449,1592,667,128,3836,3052,224,560,3836,2510,835,278,115,72,26,3836,3607,229,3836
13,Maharashtra,577,1232,717,295,2821,2072,391,358,2821,2091,418,275,37,0,0,2821,2475,346,2821
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,21,4,1,0,26,10,16,0,26,26,0,0,0,0,0,26,26,0,26
16,Mizoram,2,26,13,0,41,33,8,0,41,28,13,0,0,0,0,41,32,9,41
17,Nagaland,0,4,26,4,34,29,5,0,34,5,24,5,0,0,0,34,21,13,34
18,Orissa,80,87,56,2,225,205,10,10,225,190,29,6,0,0,0,225,220,5,225
19,Punjab,44,10,19,12,85,85,0,0,85,52,17,16,0,0,0,85,85,0,85
20,Rajasthan,212,240,374,129,955,783,159,13,955,664,182,44,51,14,0,955,855,100,955
21,Sikkim,5,8,10,0,23,15,8,0,23,0,6,15,2,0,0,23,23,0,23
22,Tamil Nadu,666,3387,195,3,4251,1820,1048,1383,4251,3526,670,39,9,7,0,4251,3721,530,4251
23,Tripura,5,3,0,0,8,0,0,8,8,4,3,1,0,0,0,8,8,0,8
24,Uttar Pradesh,69,34,25,15,143,110,31,2,143,88,36,17,2,0,0,143,143,0,143
25,West Bengal,14,50,37,0,101,73,28,0,101,84,17,0,0,0,0,101,101,0,101
Total States,Total States,5068,8525,3016,826,17435,12118,2609,2708,17435,12641,3282,1077,301,104,30,17435,15742,1693,17435
26,A & N Islands,0,0,6,0,6,6,0,0,6,4,2,0,0,0,0,6,6,0,6
27,Chandigarh,3,18,28,0,49,43,4,2,49,12,33,4,0,0,0,49,49,0,49
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,2,0,2,2,0,0,2,0,2,0,0,0,0,2,2,0,2
30,Delhi,192,141,125,16,474,377,66,31,474,306,103,43,18,4,0,474,356,118,474
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
