SI No,Crime Head,Total No. of Cases for investigation including pending cases,Cases withdrawan by Govt.,No. of Cases in which - Investigation was refused,No. of Cases in which - Investigation was completed - charge found False/Mistake of Fact or Law Etc.,No. of Cases in Which - Investigation was Completed - final report true submitted,No. of Cases in which - Investigation was completed - chargesheets were submitted,No. of Cases in which - Investigation was completed - total [ (6)+(7)+(8)],No. of Cases Pending investigation
1,Arms Act,72286,2,6,147,1820,57593,59560,12718
2,Narcotic Drugs & Psychotropic Substances Act,30280,0,10,181,1046,21183,22410,7860
3,Gambling Act,144200,0,14,35,239,139301,139575,4611
4,Excise Act,136917,5,1605,258,964,114150,115372,19935
5,Prohibition Act,628065,279,2315,3633,14858,518930,537421,88050
6,Explosive & Explosive Substances Act,7696,0,5,73,675,3939,4687,3004
7,Immoral Traffic (P) Act,10602,0,1,10,23,9782,9815,786
8,Indian Railways Act,45466,0,16,85,545,44341,44971,479
9,Registration of Foreigners Act,1790,0,4,7,14,1379,1400,386
10,Protection Of Civil Rights Act,1139,0,8,186,23,637,846,285
11,Indian Passport Act,574,2,1,33,61,254,348,223
12,Essential Commodities Act,9304,4,40,214,655,5049,5918,3342
13,Terrorist & Disruptive Actvites Act,883,0,0,0,316,175,491,392
14,Antiquity & Art Treasure Act,88,1,0,1,10,38,49,38
15,Dowry Prohibition Act,3851,0,32,179,199,2302,2680,1139
16,Child Marriage Restraint Act,101,0,0,5,2,72,79,22
17,Indecent Representation of Women (P)Act,720,0,0,4,20,581,605,115
18,Copy Rights Act,3016,0,10,46,79,2233,2358,648
19,Sati Prevention Act,0,0,0,0,0,0,0,0
20,SC/ST (Prevention of Atrocities ) Act,18416,0,66,3452,820,10260,14532,3818
21,Forest Act,5406,19,118,81,269,4478,4828,441
22,Other SLL Crimes,2473536,1300,25860,52109,53103,2292970,2398182,48194
23,Total cognizable Crimes Under SLL,3594336,1612,30111,60739,75741,3229647,3366127,196486
