SI.No.,State/UT/City,DG /Addl.DG /IG /DIG - Sanctioned,DG/Addl.DG / IG/DIG - Actual,SSP/SP/Addl.SP./ASP /Dy. SP. - Sanctioned,SSP/SP/Addl.SP./ASP/Dy. SP. - Actual,"Inspector ,SI & A.S.I. - Sanctioned","Inspector ,SI & A.S.I. - Actual",Officers below A.S.I. - Sanctioned,Officers below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,Andhra Pradesh,0,0,0,0,30,25,1008,975,1038,1000
2,Arunachal Pradesh,0,0,0,0,13,13,52,125,65,138
3,Assam,0,0,0,0,22,22,201,201,223,223
4,Bihar*,7,7,15,15,86,86,603,603,711,711
5,Goa,0,0,0,0,4,10,193,176,197,186
6,Gujarat,0,2,1,2,286,148,1167,1262,1454,1414
7,Haryana,0,0,0,0,27,26,238,199,265,225
8,Himachal Pradesh,0,0,0,3,3,29,143,406,146,438
9,Jammu & Kashmir**,0,0,0,0,25,19,169,131,194,150
10,Karnataka,0,0,0,0,49,37,1416,1138,1465,1175
11,Kerala,0,0,1,1,62,55,547,410,610,466
12,Madhya Pradesh,0,0,1,1,147,133,1044,926,1192,1060
13,Maharashtra,2,2,7,7,263,263,0,0,272,272
14,Manipur,0,0,0,0,4,2,249,248,253,250
15,Meghalaya,0,0,0,0,4,30,40,86,44,116
16,Mizoram,0,0,0,0,0,13,0,82,0,95
17,Nagaland,0,0,4,2,43,43,42,42,89,87
18,Orissa,0,0,1,1,97,78,234,230,332,309
19,Punjab,0,0,0,8,21,69,372,974,393,1051
20,Rajasthan,0,0,4,4,55,54,663,663,722,721
21,Sikkim,0,0,1,1,19,19,88,88,108,108
22,Tamil Nadu,0,0,26,16,337,198,4052,3898,4415,4112
23,Tripura,0,0,2,2,41,36,175,150,218,188
24,Uttar Pradesh,0,0,28,27,204,194,1855,1767,2087,1988
25,West Bengal,0,0,6,6,243,198,852,802,1101,1006
Total States,Total States,9,11,97,96,2085,1800,15403,15582,17594,17489
26,A & N Islands,0,0,0,0,2,8,14,76,16,84
27,Chandigarh,0,0,0,0,2,26,33,189,35,215
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,3,3,3,3
30,Delhi,0,0,1,1,478,368,1321,1219,1800,1588
31,Lakshadweep,0,0,0,0,1,0,17,17,18,17
32,Pondicherry,0,0,0,0,4,4,76,76,80,80
Total (UTs),Total (UTs),0,0,1,1,487,406,1464,1580,1952,1987
Total (All -India),Total (All -India),9,11,98,97,2572,2206,16867,17162,19546,19476
33,Ahmedabad,0,0,1,0,13,9,207,182,221,191
34,Bangalore,0,0,0,0,24,17,209,149,233,166
35,Bhopal,0,0,0,0,9,15,57,95,66,110
36,Calcutta,0,0,1,1,18,18,206,206,225,225
37,Chennai,0,0,1,0,14,13,56,50,71,63
38,Coimbatore,0,0,1,1,478,368,1321,1219,1800,1588
39,Delhi,0,0,0,0,0,0,0,0,0,0
40,Hyderabad,0,0,0,0,6,6,53,563,59,569
41,Indore,0,0,0,0,16,16,91,91,107,107
42,Jaipur,0,0,1,1,18,10,55,99,74,110
43,Kanpur,0,0,0,0,3,3,30,26,33,29
44,Kochi,0,0,1,1,103,94,232,215,336,310
45,Lucknow,0,0,1,1,22,14,143,149,166,164
46,Ludhiana,0,0,0,0,0,3,18,54,18,57
47,Madurai,0,0,0,0,12,8,99,46,111,54
48,Mumbai,0,0,3,3,129,185,878,2948,1010,3136
49,Nagpur,0,0,0,0,15,15,212,212,227,227
50,Patna,0,0,0,0,26,26,143,143,169,169
51,Pune,0,0,0,0,34,34,307,307,341,341
52,Surat,0,0,0,0,22,22,96,96,118,118
53,Vadodra,0,1,0,1,18,17,102,102,120,121
54,Varanasi,0,0,0,0,5,5,90,90,95,95
55,Vishakhapatnam,0,0,0,0,4,4,91,88,95,92
