SI.No.,State/UT,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women,Kidnapping & Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Crimes under IPC
1,Andhra Pradesh,16.9,18.6,10.4,20.9,11.1,9.4,13.8,21,0,19.6,41.3,46.1,43.8,46.6,11.3,14.2,15.3,0,17.2,33.1,18.1,28,69.5,16.5,NA,33.8,32.6
2,Arunachal Pradesh,69,75,57.1,66.7,19,27.3,10,0,NA,46.9,66.7,57.8,NA,57.8,37.5,36.4,40,NA,100,48.3,NA,60,100,0,NA,45.2,50.7
3,Assam,32.3,17.4,21.1,23.4,16.6,16.3,17.9,27.5,25,21.9,27.9,24.7,45.5,24.2,11,14.2,22.9,4.2,19,20,35,21.1,25,24.9,NA,20.1,21.1
4,Bihar,21,26.9,24.3,30.6,26.5,26.2,26.6,23,16.5,27,22.5,23.8,35.3,23.2,21.9,29,25,20,20.4,23.7,33,16.3,32,30.2,33.3,15.1,19.9
5,Goa,61.4,20,10,57.9,22.2,25,0,20,NA,17.9,27.6,14.2,20.6,13.1,11.9,7.4,26.3,0,15.4,11.8,NA,13.3,0,0,NA,16.7,17.6
6,Gujarat,19.5,8.7,0,13.9,6.5,7.1,3.3,12.2,0,8.9,13.4,13.6,19,12.8,19.5,7.7,7.1,40,5.9,9.5,14.7,6.3,16.2,6.3,NA,37.9,28.6
7,Haryana,27.4,20.6,29,20.3,17.1,17,17.1,18.2,14.3,20.5,32.9,32.8,28.5,34.8,19.2,11.2,11.8,18.2,15.1,18.3,23.2,19.7,87.5,25.5,NA,44.8,32.4
8,Himachal Pradesh,44.2,41.2,50,29,12.1,13.3,0,0,NA,25,17.9,17.2,33.3,15.4,6.6,17.4,24.2,NA,14.3,14.9,0,12.2,18.2,7.1,NA,40.9,29.2
9,jammu & Kashmir,9.9,2.7,18.2,7.6,0.8,0.9,0,0,NA,0,8.1,6.3,7.4,6.3,4.2,2,3.5,0,4.3,10,50,8,35.8,18.2,NA,55,36.6
10,Karnataka,15.7,7.4,0,13.8,1.8,1.3,2.1,9.7,0,8.8,9.5,7.7,12.2,7.4,2.3,8.4,6,12,0.8,4.3,8.6,14.7,10.9,4.3,NA,53.9,31.9
