SI.No.,State/UT/City,DG/Addl.DG/IG/DIG - Sanctioned,DG/Addl.DG/IG/DIG - Actual,SSP/SP/Addl.SP./ASP/Dy. SP. - Sanctioned,SSP/SP/Addl.SP./ASP/Dy. SP. - Actual,"Inspector ,SI & A.S.I. - Sanctioned","Inspector ,SI & A.S.I. - Actual",Officers below A.S.I. - Sanctioned,Officers below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,Andhra Pradesh,15,15,283,279,5629,5299,55983,51937,61910,57530
2,Arunachal Pradesh,5,4,63,35,494,472,2655,2602,3217,3113
3,Assam,34,34,295,283,5006,4990,24696,24576,30031,29883
4,Bihar,69,69,570,570,14702,13083,85287,64195,100628,77917
5,Goa,2,2,26,15,304,253,2330,1851,2662,2121
6,Gujarat,54,56,280,260,9806,8833,42786,39471,52926,48620
7,Haryana,29,20,192,139,3498,2313,29542,20609,33261,23081
8,Himachal Pradesh,33,19,126,106,1254,1237,7405,6636,8818,7998
9,Jammu & Kashmir,36,29,431,504,4538,2620,28803,23003,33808,26156
10,Karnataka,10,9,253,230,5438,4789,48914,45904,54615,50932
11,Kerala,23,23,342,317,3505,3416,32170,31612,36040,35368
12,Madhya Pradesh,79,79,887,800,11888,11292,57348,57075,70202,69246
13,Maharashtra,65,92,764,615,18985,17197,109440,114723,129254,132627
14,Manipur,10,10,98,93,1017,918,4126,4054,5251,5075
15,Meghalaya,10,7,74,50,1160,993,8122,4782,9366,5832
16,Mizoram,5,5,68,63,691,610,3063,2008,3827,2686
17,Nagaland,15,15,64,62,643,630,6465,6150,7187,6857
18,Orissa,37,37,291,282,5475,5053,23172,21677,28975,27049
19,Punjab,41,43,351,441,6089,5391,45757,45840,52238,51715
20,Rajasthan,44,36,595,503,7672,6257,49618,45250,57929,52046
21,Sikkim,10,11,44,51,277,269,1860,2445,2191,2776
22,Tamil Nadu,73,67,738,720,7892,7378,71306,63511,80009,71676
23,Tripura,16,11,221,139,1235,1057,7365,6503,8837,7710
24,Uttar Pradesh,123,120,1133,1078,14522,12843,131437,114480,147215,128521
25,West Bengal,89,87,443,400,13445,11139,42568,38899,56545,50525
Total States,Total States,927,900,8632,8035,145165,128332,922218,839793,1076942,977060
26,A & N Islands,1,2,12,13,367,333,1738,1731,2118,2079
27,Chandigarh,1,2,14,15,424,427,2234,2048,2673,2492
28,D & N Haveli,0,0,2,1,15,15,126,117,143,133
29,Daman & DIU,0,0,3,3,23,18,230,185,256,206
30,Delhi,25,26,282,278,9095,8308,36983,34656,46385,43268
31,Lakshadweep,0,0,2,2,53,50,294,274,349,326
32,Pondicherry,1,1,15,15,130,130,1207,1207,1353,1353
Total (UTs),Total (UTs),28,31,330,327,10107,9281,42812,40218,53277,49857
Total (All -India),Total (All -India),955,931,8962,8362,155272,137613,965030,880011,1130219,1026917
33,Ahmedabad,7,7,29,27,1500,1269,5657,5504,7193,6807
34,Bangalore,5,5,67,60,1679,1346,11945,10928,13696,12339
35,Bhopal,0,0,20,20,343,333,2829,2780,3192,3133
36,Calcutta,5,6,54,63,593,689,6752,7803,7404,8561
37,Chennai,1,1,19,18,175,154,2100,1811,2295,1984
38,Coimbatore,25,26,282,278,9095,8308,36983,34656,46385,43268
39,Delhi,7,7,66,66,469,418,7633,6883,8175,7374
40,Hyderabad,0,0,12,12,275,253,2528,2498,2815,2763
41,Indore,0,0,41,41,772,772,6529,6529,7342,7342
42,Jaipur,0,0,23,23,490,371,3961,3799,4474,4193
43,Kanpur,0,0,12,12,162,160,1472,1418,1646,1590
44,Kochi,7,7,122,107,3974,3745,13960,13686,18063,17545
45,Lucknow,0,0,23,23,629,447,5845,6272,6497,6742
46,Ludhiana,0,0,12,17,260,220,2893,2943,3165,3180
47,Madurai,1,1,18,18,291,260,2647,2113,2957,2392
48,Mumbai,13,13,126,116,5733,5419,32440,29492,38312,35040
49,Nagpur,2,2,17,12,693,649,3336,3086,4048,3749
50,Patna,0,0,18,18,912,761,6010,5349,6940,6128
51,Pune,2,2,21,21,697,655,3716,3475,4436,4153
52,Surat,3,3,14,14,599,599,1920,1920,2536,2536
53,Vadodra,2,2,10,10,629,527,2219,2061,2860,2600
54,Varanasi,0,0,13,13,369,369,2742,2742,3124,3124
55,Vishakhapatnam,1,1,7,7,122,122,1735,1683,1865,1813
