SI.No.,State/UT/City,Number of Victims killed - In terrorist/ extremists operation,Number of Victims Killed - In Dacoity operation or other Raids,Number of Victims Killed - by Roitous Mobs,Number of Victims Killed - by other Criminals,Number of Victims Killed - on Border Duties,Number of Victims Killed - In Accidents,Number of Victims Killed - Total,Number of Victims Injured - In Terrorist/Extramists Operations,Number of Victims Injured - In Dacoity Operation or other Raids,Number of Victims Injured - by Riotous Mobs,Number of Victims Injured - by other Criminals,Number of Victims Injured - On Border Duties,Number of Victims Injured - In Accidents,Number of Victims Injured - Total
1,Andhra Pradesh,22,2,0,0,0,39,63,30,16,167,5,0,42,260
2,Arunachal Pradesh,0,0,0,0,0,1,1,0,1,12,0,0,0,13
3,Assam,39,0,9,2,0,3,53,31,11,0,1,0,1,44
4,Bihar,28,4,1,23,0,8,64,11,3,5,10,0,2,31
5,Goa,0,0,1,0,0,0,1,0,0,27,2,0,1,30
6,Gujarat,0,0,0,1,0,48,49,0,4,71,18,0,5,98
7,Haryana,0,0,0,1,0,11,12,0,0,0,0,0,11,11
8,Himachal Pradesh,0,0,0,0,0,3,3,0,3,1,3,0,6,13
9,Jammu & Kashmir,93,0,0,10,0,1,104,160,0,1,19,0,8,188
10,Karnataka,1,0,0,0,0,13,14,0,4,351,29,0,37,421
11,Kerala,0,0,0,0,0,1,1,0,0,325,163,0,49,537
12,Madhya Pradesh,27,1,0,4,0,17,49,0,1,131,62,0,26,220
13,Maharashtra,0,6,0,2,0,61,69,0,19,281,72,0,107,479
14,Manipur,5,0,0,0,0,0,5,6,0,0,0,0,0,6
15,Meghalaya,0,3,0,2,0,0,5,1,3,0,5,0,1,10
16,Mizoram,1,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Nagaland,1,0,0,1,0,1,3,0,0,0,0,0,6,6
18,Orissa,2,0,0,0,0,0,2,0,0,17,6,0,0,23
19,Punjab,0,0,0,12,0,82,94,0,0,0,0,0,14,14
20,Rajasthan,0,0,4,1,0,22,27,0,13,100,111,0,56,280
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,0,0,0,2,0,36,38,0,1,126,31,0,130,288
23,Tripura,15,0,0,0,0,1,16,19,0,3,8,0,0,30
24,Uttar Pradesh,0,5,0,26,0,80,111,0,6,59,58,0,70,193
25,West Bengal,0,0,0,0,0,20,20,0,27,342,37,0,126,532
Total States,Total States,234,21,15,87,0,448,805,258,112,2019,640,0,698,3727
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0,0,0,22,2,0,13,37
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,1,0,0,1
30,Delhi,0,2,0,2,0,18,22,0,3,306,49,0,72,430
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,17,3,0,0,20
Total (UTs),Total (UTs),0,2,0,2,0,18,22,0,3,345,56,0,85,489
Total (All -India),Total (All -India),234,23,15,89,0,466,827,258,115,2364,696,0,783,4216
33,Ahmedabad,0,0,0,0,0,6,6,0,0,24,0,0,0,24
34,Bangalore,0,0,0,0,0,0,0,0,0,48,5,0,2,55
35,Bhopal,0,0,0,0,0,1,1,0,0,31,0,0,0,31
36,Calcutta,0,0,0,0,0,0,0,0,0,35,1,0,0,36
37,Chennai,0,0,0,0,0,1,1,0,0,0,0,0,14,14
38,Coimbatore,0,2,0,2,0,18,22,0,3,306,49,0,72,430
39,Delhi,0,0,0,0,0,2,2,0,0,112,0,0,8,120
40,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Indore,0,0,0,0,0,24,24,0,0,5,16,0,42,63
42,Jaipur,0,0,0,0,0,3,3,0,0,6,4,0,7,17
43,Kanpur,0,0,0,0,0,0,0,0,0,0,34,0,0,34
44,Kochi,0,0,0,0,0,6,6,0,0,0,9,0,68,77
45,Lucknow,0,0,0,0,0,3,3,0,0,0,5,0,0,5
46,Ludhiana,0,0,0,1,0,4,5,0,0,0,0,0,0,0
47,Madurai,0,0,0,1,0,1,2,0,0,0,2,0,8,10
48,Mumbai,0,0,0,0,0,0,0,0,0,9,4,0,0,13
49,Nagpur,0,0,0,0,0,3,3,0,0,27,5,0,8,40
50,Patna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Pune,0,0,0,0,0,0,0,0,0,9,6,0,4,19
52,Surat,0,0,0,0,0,0,0,0,0,18,0,0,0,18
53,Vadodra,0,0,0,0,0,0,0,0,0,2,2,0,1,5
54,Varanasi,0,0,0,2,0,11,13,0,0,0,0,0,1,1
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,4,0,0,0,4
Total Cities,Total Cities,0,2,0,6,0,83,91,0,3,636,142,0,235,1016
