SI.No.,State/UT/City,Arrested & sent to Courts,Sent to home after Advice or Admonition,Released on Probation and placed under care of Parent Guardians,Released on Probation and placed under care of fit Instt.,Sent to Special Homes,Dealt with Fine,Acquitted or otherwise Disposed of,Pending Disposal
1,Andhra Pradesh,949,48,204,54,7,83,92,461
2,Arunachal Pradesh,106,0,5,0,27,0,5,69
3,Assam,247,42,16,11,50,15,35,78
4,Bihar,780,72,102,35,325,40,73,133
5,Goa,31,0,7,0,0,0,1,23
6,Gujarat,1787,83,186,97,60,34,135,1192
7,Haryana,552,5,4,0,7,29,10,497
8,Himachal Pradesh,58,3,0,0,0,6,3,46
9,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,Karnataka,317,25,34,5,26,1,25,201
11,Kerala,59,0,2,1,13,3,0,40
12,Madhya Pradesh,3836,599,567,82,490,229,378,1491
13,Maharashtra,2821,231,663,142,418,20,148,1199
14,Manipur,0,0,0,0,0,0,0,0
15,Meghalaya,26,2,0,0,0,0,4,20
16,Mizoram,41,0,11,13,13,2,2,0
17,Nagaland,34,25,9,0,0,0,0,0
18,Orissa,225,51,66,7,33,0,5,63
19,Punjab,85,0,0,0,0,0,0,85
20,Rajasthan,955,116,137,35,109,21,3,534
21,Sikkim,23,5,3,7,5,0,3,0
22,Tamil Nadu,4251,1308,994,1517,95,98,38,201
23,Tripura,8,0,6,0,0,0,2,0
24,Uttar Pradesh,143,0,5,0,21,3,7,107
25,West Bengal,101,0,15,6,15,7,24,34
Total States,Total States,17435,2615,3036,2012,1714,591,993,6474
26,A & N Islands,6,0,0,0,0,0,0,6
27,Chandigarh,49,0,19,0,5,8,2,15
28,D & N Haveli,0,0,0,0,0,0,0,0
29,Daman & DIU,2,0,0,0,0,0,0,2
30,Delhi,474,0,29,0,144,10,137,154
31,Lakshadweep,0,0,0,0,0,0,0,0
32,Pondicherry,16,4,7,0,1,0,0,4
Total (UTs),Total (UTs),547,4,55,0,150,18,139,181
Total (All -India),Total (All -India),17982,2619,3091,2012,1864,609,1132,6655
33,Ahmedabad,176,4,5,5,5,3,2,152
34,Bangalore,102,24,34,5,26,1,3,9
35,Bhopal,0,0,0,0,0,0,0,0
36,Calcutta,37,7,14,16,0,0,0,0
37,Chennai,205,5,118,74,4,0,0,4
38,Coimbatore,474,0,29,0,144,10,137,154
39,Delhi,178,0,76,0,0,65,6,31
40,Hyderabad,155,17,0,0,0,0,0,138
41,Indore,71,14,28,15,14,0,0,0
42,Jaipur,0,0,0,0,0,0,0,0
43,Kanpur,3,0,0,0,0,0,0,3
44,Kochi,4,0,0,0,4,0,0,0
45,Lucknow,9,0,5,0,2,0,0,2
46,Ludhiana,0,0,0,0,0,0,0,0
47,Madurai,296,0,232,0,64,0,0,0
48,Mumbai,676,128,212,23,85,0,45,183
49,Nagpur,178,0,1,0,115,7,2,53
50,Patna,50,10,3,0,37,0,0,0
51,Pune,156,40,37,0,78,0,1,0
52,Surat,128,9,16,14,12,27,50,0
53,Vadodra,145,0,0,0,0,0,27,118
54,Varanasi,0,0,0,0,0,0,0,0
55,Vishakhapatnam,95,0,30,0,0,0,7,58
Total Cities,Total Cities,3138,258,840,152,590,113,280,905
