SI.No.,State/UT,"No. of Cases Registered (U/S 224,225B)",No.of persons Escaped in above Cases,Persons Escaped from Lockup,Persons Escaped outside the Lockup,Escapees from lock up Rearrested,other Escapees Rearrested,No. of Cases in which Final report submitted,No. of Persons Chargedsheeted for offence of Escape,Disposal by Courts - No. tried - cases involved,Disposal by Courts - No. tried - No. of Persons,Disposal by Courts - No. Convicted - cases involved,Disposal by Courts - No. Convicted - No. of Persons,Disposal by Courts No. Acquited - cases involved,Disposal by Courts - No. Acquitted - No. of Persons,Disposal by Courts - No. of pending for trial -cases involved,Disposal by Courts - No. of pending for trial - No. of Persons,No. of Persons Awarded imprisonment on charges of Escape - upto 3 Years,No. of Persons Awarded imprisonment on charges of Escape - more than 3 Years
1,Andhra Pradesh,66,89,24,65,25,43,11,58,9,9,8,8,1,1,32,38,2,0
2,Arunachal Pradesh,8,10,7,3,5,2,4,2,0,0,0,0,0,0,4,2,0,0
3,Assam,57,57,0,57,6,21,8,36,24,3,15,1,9,2,44,11,4,0
4,Bihar,149,204,77,127,25,35,0,102,8,12,1,1,7,11,59,63,6,10
5,Goa,8,9,1,8,1,6,0,7,3,3,3,3,0,0,3,4,3,0
6,Gujarat,63,74,12,62,10,35,15,54,3,3,2,2,1,1,57,86,2,1
7,Haryana,63,76,36,40,39,45,26,76,3,5,1,1,2,4,69,175,1,0
8,Himachal Pradesh,19,19,2,17,3,11,13,12,3,3,2,2,1,1,5,5,2,0
9,Jammu & Kashmir,8,9,4,5,2,1,0,1,4,4,0,0,4,4,0,0,0,0
10,Karnataka,24,33,11,22,12,9,5,28,9,9,5,5,4,4,17,17,0,0
11,Kerala,32,35,3,32,3,29,0,23,2,2,2,2,0,0,21,21,3,0
12,Madhya Pradesh,205,265,28,237,24,156,21,159,3,0,3,0,0,0,156,0,0,0
13,Maharashtra,97,106,28,78,17,54,6,60,11,20,5,8,6,12,212,266,3,0
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,4,4,2,2,1,1,0,2,0,4,0,4,0,0,3,22,0,0
16,Mizoram,10,11,1,10,1,6,1,6,2,2,2,2,0,0,6,6,2,0
17,Nagaland,2,2,2,0,1,0,1,1,0,0,0,0,0,0,2,2,0,0
18,Orissa,42,46,8,38,12,17,6,31,8,7,2,1,6,6,30,23,1,0
19,Punjab,37,37,5,32,4,18,9,14,4,6,4,6,0,0,11,11,1,1
20,Rajasthan,82,85,6,79,5,59,8,64,2,2,2,2,0,0,62,62,1,1
21,Sikkim,4,6,5,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,59,66,1,65,1,39,38,37,8,8,8,8,0,0,28,28,8,0
23,Tripura,2,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,146,171,23,148,15,85,11,99,2,2,1,1,1,1,71,79,1,0
25,West Bengal,29,35,7,28,2,13,7,26,0,0,0,0,0,0,20,26,0,0
Total States,Total States,1216,1451,293,1158,215,688,190,903,108,104,66,57,42,47,912,947,40,13
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,2,2,0,2,0,2,2,6,2,2,2,2,0,0,1,4,0,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,21,23,1,22,1,11,15,11,0,0,0,0,0,0,13,13,0,0
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),23,25,1,24,1,13,17,17,2,2,2,2,0,0,14,17,0,0
Total (All -India),Total (All -India),1239,1476,294,1182,216,701,207,920,110,106,68,59,42,47,926,964,40,13
