SI.No.,States/UT/City,Number of Victims - Upto 10 Years - Male,Number of Victims - Upto 10 Years - Female,Number of Victims - Upto 10 Years - Total,Number of Victims - 11-15 Years - Male,Number of Victims - 11-15 Years - Female,Number of Victims - 11-15 Years - Total,Number of Victims - 16-18 Years - Male,Number of Victims - 16-18 Years - Female,Number of Victims - 16-18 Years - Total,Number of Victims - 19-30 Years - Male,Number of Victims - 19-30 Years - Female,Number of Victims - 19-30 Years - Total,Number of Victims - 31-50 Years - Male,Number of Victims - 31-50 Years - Female,Number of Victims - 31-50 Years - Total,Number of Victims - Above 50 Years - Male,Number of Victims - Above 50 Years - Female,Number of Victims - Above 50 Years - Total,Number of Victims - Total of All Age Groups - Male,Number of Victims - Total of All Age Groups - Female,Number of Victims - Total of All Age Groups - Total
1,Andhra Pradesh,23,16,39,20,15,35,81,42,123,962,304,1266,886,183,1069,159,40,199,2131,600,2731
2,Arunachal Pradesh,2,1,3,2,1,3,0,1,1,18,2,20,31,3,34,7,0,7,60,8,68
3,Assam,14,3,17,25,10,35,173,21,194,606,58,664,471,40,511,98,4,102,1387,136,1523
4,Bihar,20,41,61,44,7,51,338,94,432,2025,454,2479,1726,308,2034,299,14,313,4452,918,5370
5,Goa,0,0,0,0,0,0,0,0,0,11,7,18,13,4,17,5,4,9,29,15,44
6,Gujarat,40,44,84,12,9,21,35,26,61,360,177,537,427,118,545,96,25,121,970,399,1369
7,Haryana,19,12,31,7,5,12,49,16,65,367,71,438,274,30,304,51,6,57,767,140,907
8,Himachal Pradesh,3,1,4,3,1,4,1,1,2,25,18,43,52,11,63,7,1,8,91,33,124
9,Jammu & Kashmir,13,6,19,20,1,21,55,4,59,278,17,295,200,25,225,141,6,147,707,59,766
10,Karnataka,111,147,258,48,30,78,78,59,137,935,611,1546,979,357,1336,235,89,324,2386,1293,3679
11,Kerala,35,25,60,6,7,13,3,5,8,96,26,122,173,46,219,55,23,78,368,132,500
12,Madhya Pradesh,84,48,132,51,30,81,135,47,182,1150,301,1451,1308,266,1574,283,81,364,3011,773,3784
13,Maharashtra,86,90,176,11,14,25,61,46,107,729,613,1342,729,307,1036,201,62,263,1817,1132,2949
14,Manipur,0,0,0,0,0,0,8,2,10,136,5,141,94,3,97,10,1,11,248,11,259
15,Meghalaya,0,0,0,1,1,2,5,0,5,81,5,86,29,1,30,4,0,4,120,7,127
16,Mizoram,0,0,0,1,1,2,1,0,1,18,4,22,17,1,18,5,1,6,42,7,49
17,Nagaland,0,0,0,1,0,1,13,2,15,72,4,76,26,1,27,2,0,2,114,7,121
18,Orissa,4,2,6,8,0,8,57,24,81,336,127,463,379,99,478,87,15,102,871,267,1138
19,Punjab,13,5,18,13,7,20,59,14,73,260,93,353,252,64,316,37,14,51,634,197,831
20,Rajasthan,13,9,22,16,6,22,74,23,97,441,177,618,496,107,603,125,26,151,1165,348,1513
21,Sikkim,0,0,0,0,0,0,0,0,0,9,0,9,10,0,10,0,0,0,19,0,19
22,Tamil Nadu,7,42,49,6,15,21,61,75,136,530,202,732,465,157,622,176,32,208,1245,523,1768
23,Tripura,6,0,6,11,2,13,19,2,21,100,2,102,128,5,133,27,4,31,291,15,306
24,Uttar Pradesh,59,19,78,157,59,216,589,157,746,2820,468,3288,2493,306,2799,555,73,628,6673,1082,7755
25,West Bengal,8,13,21,18,25,43,144,32,176,731,148,879,690,98,788,61,12,73,1652,328,1980
Total States,Total States,560,524,1084,481,246,727,2039,693,2732,13096,3894,16990,12348,2540,14888,2726,533,3259,31250,8430,39680
26,A & N Islands,0,0,0,1,0,1,0,0,0,3,1,4,6,1,7,7,0,7,17,2,19
27,Chandigarh,1,1,2,1,0,1,1,0,1,3,2,5,7,1,8,0,2,2,13,6,19
28,D & N Haveli,0,0,0,0,0,0,0,0,0,2,2,4,4,0,4,2,0,2,8,2,10
29,Daman & DIU,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,1,3
30,Delhi,22,19,41,16,3,19,21,8,29,231,75,306,138,41,179,23,18,41,451,164,615
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,2,3,5,0,0,0,0,0,0,4,4,8,4,2,6,4,4,8,14,13,27
Total (UTs),Total (UTs),26,23,49,18,3,21,22,8,30,244,85,329,159,45,204,36,24,60,505,188,693
Total (All -India),Total (All -India),586,547,1133,499,249,748,2061,701,2762,13340,3979,17319,12507,2585,15092,2762,557,3319,31755,8618,40373
33,Ahmedabad,2,5,7,0,2,2,5,2,7,38,21,59,31,5,36,7,3,10,83,38,121
34,Bangalore,9,8,17,2,0,2,3,4,7,58,44,102,57,29,86,11,5,16,140,90,230
35,Bhopal,0,0,0,0,0,0,2,0,2,18,3,21,14,5,19,3,1,4,37,9,46
36,Calcutta,1,1,2,0,0,0,3,2,5,12,13,25,18,10,28,2,0,2,36,26,62
37,Chennai,1,0,1,0,0,0,0,0,0,8,2,10,4,0,4,3,0,3,16,2,18
38,Coimbatore,21,17,38,13,3,16,15,5,20,187,56,243,112,37,149,20,17,37,368,135,503
39,Delhi,3,1,4,0,2,2,1,3,4,33,18,51,47,13,60,2,0,2,86,37,123
40,Hyderabad,0,0,0,2,0,2,0,0,0,86,1,87,106,8,114,0,3,3,194,12,206
41,Indore,0,2,2,0,1,1,1,1,2,16,11,27,11,1,12,1,2,3,29,18,47
42,Jaipur,3,5,8,2,4,6,10,11,21,73,25,98,78,19,97,17,6,23,183,70,253
43,Kanpur,0,1,1,0,0,0,0,0,0,7,0,7,4,2,6,0,0,0,11,3,14
44,Kochi,2,3,5,0,3,3,3,0,3,13,7,20,13,3,16,6,2,8,37,18,55
45,Lucknow,0,0,0,10,0,10,15,1,16,45,2,47,72,2,74,14,0,14,156,5,161
46,Ludhiana,2,1,3,0,1,1,6,1,7,33,7,40,7,3,10,1,0,1,49,13,62
47,Madurai,0,0,0,0,0,0,0,0,0,16,2,18,4,3,7,1,1,2,21,6,27
48,Mumbai,0,0,0,0,0,0,0,0,0,94,61,155,95,41,136,12,8,20,201,110,311
49,Nagpur,1,6,7,1,0,1,0,2,2,46,12,58,24,6,30,5,0,5,77,26,103
