SI.No.,States/UT,Total No. of persons under Trial Including those From Previous Year,Number of persons - whose Cases compounded or withdrawn,Number of persons - whose Trial Completed,Number of persons - whose Trial Remained Pending,No. of persons - Persons Convicted,Pendency Percentage,Percentage of Pendency to All -India Total
1,Andhra Pradesh,634201,1169,532560,100472,468023,15.8,2.1
2,Arunachal Pradesh,525,0,25,500,17,95.2,0
3,Assam,16433,44,2018,14371,494,87.5,0.3
4,Bihar,57903,199,10003,47701,2797,82.4,1
5,Goa,8525,9,1877,6639,1553,77.9,0.1
6,Gujarat,1323236,5481,99683,1218072,27688,92.1,25.7
7,Haryana,193587,7263,34954,151370,14549,78.2,3.2
8,Himachal Pradesh,30964,131,5256,25577,344,82.6,0.5
9,Jammu & Kashmir,22315,278,3123,18914,596,84.8,0.4
10,Karnataka,144791,47629,42778,54384,28045,37.6,1.1
11,Kerala,90815,288,21891,68636,15884,75.6,1.4
12,Madhya Pradesh,572236,864,146776,424596,135948,74.2,9
13,Maharashtra,1435958,30959,131629,1273370,23082,88.7,26.9
14,Manipur,1344,0,15,1329,14,98.9,0
15,Meghalaya,1150,14,77,1059,56,92.1,0
16,Mizoram,4767,0,4130,637,3357,13.4,0
17,Nagaland,2602,2,496,2104,486,80.9,0
18,Orissa,29235,0,6421,22814,2262,78,0.5
19,Punjab,65161,71,22869,42221,15876,64.8,0.9
20,Rajasthan,130980,955,27865,102160,20686,78,2.2
21,Sikkim,6723,0,6711,12,6702,0.2,0
22,Tamil Nadu,618039,27256,470548,120235,419364,19.5,2.5
23,Tripura,213,0,98,115,30,54,0
24,Uttar Pradesh,1352767,940,433011,918816,329781,67.9,19.4
25,West Bengal,1358607,601011,715986,41610,695095,3.1,0.9
Total States,Total States,8103077,724563,2720800,4657714,2212729,57.5,98.6
26,A & N Islands,7018,0,2461,4557,2356,64.9,0.1
27,Chandigarh,1859,0,1018,841,944,45.2,0
28,D & N Haveli,103,0,39,64,29,62.1,0
29,Daman & DIU,44,0,0,44,0,100,0
30,Delhi,72464,0,11306,61158,8770,84.4,1.3
31,Lakshadweep,8,0,0,8,0,100,0
32,Pondicherry,1125,0,888,237,878,21.1,0
Total (UTs),Total (UTs),82621,0,15712,66909,12977,81,1.4
Total (All -India),Total (All -India),8185698,724563,2736512,4724623,2225706,57.7,100
