SI.No.,States/UT/City,Gain Murder,Gain C.H.,Property Dispute Murder,Property Dispute C.H.,Personal Vendetta or Enmity Murder,Personal Vendetta or Enmity C.H.,Love Affairs/Sexual Causes Murder,Love Affairs/Sexual Causes C.H.,Dowry Murder,Dowry C.H.,Lunacy Mude,Lunacy C.H.,Witchraft Murder,Witchraft C.H.,For Political Reasons Murder,For Political Reasons C.H.,By Terrorist/ Extremists Murder,By Terrorist/ Extremists C.H.,Communalism Murder,Communalism C.H.,Casteism Murder,Casteism C.H.,Class Conflict Murder,Class Conflict C.H.,Other Motives Murder,Other Motives C.H,Total Murder,Total C.H.,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft Total - Male,Theft Total - Female,Theft Total - Total,Theft Auto Theft - Male,Theft Auto Theft - Female,Theft Auto Theft - Total,Theft Other Thfet - Male,Theft Other Thfet - Female,Theft Other Thfet - total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Arson - Male,Arson - Female,Arson - Total,Hurt - Male,Hurt - Female,Hurt - Total,Dowary Death - Male,Dowary Death - Female,Dowary Death - Total,Molestation - Male,Molestation - Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty By Husband And Relatives - Male,Cruelty By Husband And Relatives - Female,Cruelty By Husband And Relatives Total,Importantion of Girls - Male,Importantion of Girls - Female,Importantion of Girls - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total,Percentage of Female to - Total
1,Andhra Pradesh,121,0,227,7,432,4,335,0,94,0,2,0,34,0,14,0,97,0,0,0,0,0,9,0,1339,130,2704,141,4,977,5767,112,5879,11800,418,12218,2163,10,2173,9637,408,10045,17420,800,18220,590,6,596,3772,124,3896,339,3,342,1224,22,1246,55731,3621,59352,702,267,969,3446,62,3508,2545,6,2551,7455,2431,9886,0,0,0,48760,4846,53606,172922,13385,186307,7.2
2,Arunachal Pradesh,8,0,2,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,68,7,0,122,204,0,204,436,7,443,32,0,32,404,7,411,66,0,66,34,0,34,95,1,96,5,0,5,13,4,17,604,28,632,0,0,0,72,0,72,2,0,2,9,0,9,0,0,0,718,14,732,2774,72,2846,2.5
3,Assam,88,7,188,6,214,2,38,1,46,0,6,0,0,0,1,1,221,1,0,0,0,0,3,0,718,39,1523,57,1,1064,3101,0,3101,6547,98,6645,466,6,472,6081,92,6173,10980,228,11208,455,2,457,670,10,680,75,1,76,651,12,663,5467,307,5774,82,13,95,929,23,952,31,0,31,1307,224,1531,0,0,0,10293,461,10754,49270,1600,50870,3.1
4,Bihar,587,76,1031,177,983,73,313,20,499,106,5,1,52,3,12,21,52,0,0,0,47,0,9,1,1766,300,5356,778,9,4867,4356,6,4362,15268,232,15500,968,0,968,14300,232,14532,50181,2077,52258,1789,16,1805,3143,151,3294,150,0,150,1379,6,1385,10051,230,10281,2072,535,2607,829,14,843,226,0,226,3247,488,3735,102,0,102,98061,4355,102416,228326,9297,237623,3.9
5,Goa,3,0,3,1,3,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,42,6,0,48,263,1,264,346,13,359,121,0,121,225,13,238,435,87,522,25,0,25,78,9,87,9,0,9,51,0,51,299,34,333,1,1,2,29,6,35,9,0,9,19,14,33,0,0,0,948,116,1064,2766,289,3055,9.5
6,Gujarat,95,0,169,0,170,0,172,0,27,0,25,1,3,0,5,0,0,0,2,0,4,0,1,0,644,25,1317,26,19,1304,3389,74,3463,8010,334,8344,1703,6,1709,6307,328,6635,13850,1041,14891,2276,154,2430,2266,101,2367,174,0,174,1002,28,1030,27959,2854,30813,237,90,327,1261,35,1296,167,1,168,7715,3652,11367,0,0,0,74114,5923,80037,151689,14830,166519,8.9
7,Haryana,30,2,175,14,135,17,61,0,8,0,0,0,0,0,5,1,0,0,30,3,0,0,0,0,340,42,784,79,1,780,2660,14,2674,4067,69,4136,1453,0,1453,2614,69,2683,5256,185,5441,329,3,332,1061,58,1119,42,0,42,329,0,329,13658,621,14279,462,170,632,760,3,763,510,10,520,2088,973,3061,0,0,0,20825,303,21128,58580,2596,61176,4.2
8,Himachal Pradesh,5,0,20,1,11,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,72,6,123,8,0,30,368,25,393,385,8,393,40,0,40,345,8,353,2876,472,3348,71,0,71,140,8,148,7,0,7,122,8,130,2294,276,2570,3,1,4,331,10,341,16,3,19,415,163,578,0,0,0,7545,837,8382,15248,1860,17108,10.9
9,Jammu & Kashmir,2,0,21,1,11,1,5,0,1,0,0,0,0,0,0,0,542,0,1,0,0,0,0,0,183,23,766,25,0,159,454,0,454,1502,7,1509,208,0,208,1294,7,1301,3076,368,3444,106,2,108,376,9,385,17,0,17,59,0,59,754,43,797,18,7,25,848,0,848,403,1,404,78,14,92,0,0,0,10025,524,10549,20145,1032,21177,4.9
10,Karnataka,65,1,115,0,138,3,169,1,56,0,2,0,0,0,0,0,0,0,2,0,3,0,0,9,1144,42,1694,56,14,855,2599,55,2654,4985,166,5151,875,6,881,4110,160,4270,41828,2974,44802,384,13,397,1274,61,1335,130,2,132,485,9,494,41481,3612,45093,405,164,569,2219,106,2325,48,1,49,2237,755,2992,0,0,0,43844,2267,46111,152278,10724,163002,6.6
