SI.No.,States/UT/City,Murder - 1999,Murder - 2000,Murder Percentage Variation,Attempt to Commit Murder - 1999,Attempt to Commit Murder - 2000,Attempt to Commit Murder Percentage Variation,C.H.Not Amounting to Murder - 1999,C.H.Not Amounting to Murder - 2000,C.H.Not Amounting to Murder Percentage Variation,Rape - 1999,Rape - 2000,Rape Percentage Variation,Kidnapping & Abduction Total - 1999,Kidnapping & Abduction Total - 2000,Kidnapping & Abduction Total Percentage Variation,Kidnapping & Abduction of Women & Girls - 1999,Kidnapping & Abduction of Women & Girls - 2000,Kidnapping & Abduction of Women & Girls Percentage Variation,Kidnapping & Abduction of Others - 1999,Kidnapping & Abduction of Others - 2000,Kidnapping & Abduction of Others Percentage Variation,Dacoity - 1999,Dacoity - 2000,Dacoity Percentage Variation,Preperation & Assembly for Dacoity - 1999,Preperation & Assembly for Dacoity - 2000,Preperation & Assembly for Dacoity Percentage Variation,Robbery - 1999,Robbery - 2000,Robbery Percentage Variation,Burglary - 1999,Burglary - 2000,Burglary Percentage Variation,Theft Total - 1999,Theft Total - 2000,Theft Total Percentage Variation,Theft Auto Theft - 1999,Theft Auto Theft - 2000,Theft Auto Theft Percentage Variation,Theft Other Theft - 1999,Theft Other Theft - 2000,Theft Other Theft Percentage Variation,Riots - 1999,Riots - 2000,Riots Percentage Variation,Criminal Breach of Trust - 1999,Criminal Breach of Trust - 2000,Criminal Breach of Trust Percentage Variation,Cheating - 1999,Cheating - 2000,Cheating Percentage Variation,Counterfeiting - 1999,Counterfeiting - 2000,Counterfeiting Percentage Variation,Arson - 1999,Arson - 2000,Arson Percentage Variation,Hurt - 1999,Hurt - 2000,Hurt Percentage Variation,Dowry Deaths - 1999,Dowry Deaths - 2000,Dowry Deaths Percentage Variation,Molestation - 1999,Molestation - 2000,Molestation Percentage Variation,Sexual Harassment - 1999,Sexual Harassment - 2000,Sexual Harassment Percentage Variation,Cruelty By Husband and Relatives - 1999,Cruelty By Husband and Relatives - 2000,Cruelty By Husband and Relatives Percentage,Importation of Girls - 1999,Importation of Girls - 2000,Importation of Girls Percentage Variation,Other IPC Crimes - 1999,Other IPC Crimes - 2000,Other IPC Crimes Percentage Variation,Total Cognizable Crimes Under IPC - 1999,Total Cognizable Crimes Under IPC - 2000,Total Cognizable Crimes Under IPC Percentage Variation
44,Kochi,72,49,-31.9,148,138,-6.8,11,13,18.2,24,35,45.8,134,105,-21.6,93,71,-23.7,41,34,-17.1,24,27,12.5,72,52,-27.8,157,151,-3.8,131,110,-16,4490,4016,-10.6,1145,1034,-9.7,3345,2982,-10.9,324,316,-2.5,325,315,-3.1,787,826,5,28,57,103.6,0,0,0,1183,1279,8.1,5,15,200,199,152,-23.6,28,46,64.3,159,196,23.3,1,0,-100,3145,5078,61.5,11447,12976,13.4
45,Lucknow,129,161,24.8,140,128,-8.6,21,27,28.6,28,29,3.6,114,146,28.1,94,125,33,20,21,5,17,20,17.6,0,3,NA,127,115,-9.4,624,604,-3.2,2109,2070,-1.8,517,624,20.7,1592,1446,-9.2,229,250,9.2,235,215,-8.5,436,574,31.7,8,5,-37.5,8,7,-12.5,81,65,-19.8,34,22,-35.3,44,57,29.5,227,147,-35.2,211,291,37.9,0,0,0,2224,2555,14.9,7046,7491,6.3
46,Ludhiana,39,58,48.7,34,46,35.3,8,4,-50,38,35,-7.9,50,36,-28,35,19,-45.7,15,17,13.3,6,0,-100,12,15,25,4,8,100,127,113,-11,339,307,-9.4,235,211,-10.2,104,96,-7.7,0,0,0,23,17,-26.1,301,215,-28.6,3,3,0,5,4,-20,124,105,-15.3,14,12,-14.3,5,8,60,0,0,0,146,204,39.7,0,0,0,602,435,-27.7,1880,1625,-13.6
47,Madurai,28,27,-3.6,36,69,91.7,0,0,0,6,8,33.3,21,22,4.8,15,11,-26.7,6,11,83.3,7,7,0,0,0,0,29,23,-20.7,137,110,-19.7,621,453,-27.1,139,132,-5,482,321,-33.4,87,100,14.9,15,14,-6.7,103,303,194.2,11,18,63.6,2,4,100,181,186,2.8,5,5,0,10,22,120,100,94,-6,34,41,20.6,0,0,0,2265,2340,3.3,3698,3846,4
48,Mumbai,340,311,-8.5,184,201,9.2,4,5,25,141,124,-12.1,189,145,-23.3,30,16,-46.7,159,129,-18.9,74,78,5.4,81,83,2.5,549,569,3.6,2763,2838,2.7,11755,11690,-0.6,3021,3215,6.4,8734,8475,-3,200,261,30.5,407,491,20.6,1264,1186,-6.2,66,154,133.3,1,2,100,3560,3710,4.2,60,13,-78.3,243,206,-15.2,36,131,263.9,237,137,-42.2,0,0,0,7200,6903,-4.1,29354,29238,-0.4
49,Nagpur,135,98,-27.4,86,87,1.2,1,2,100,42,36,-14.3,68,57,-16.2,56,45,-19.6,12,12,0,21,16,-23.8,63,79,25.4,200,224,12,1370,1318,-3.8,2391,2619,9.5,675,818,21.2,1716,1801,5,135,226,67.4,84,60,-28.6,248,224,-9.7,17,13,-23.5,24,22,-8.3,1094,1056,-3.5,4,9,125,112,83,-25.9,52,64,23.1,189,198,4.8,0,0,0,3173,3080,-2.9,9509,9571,0.7
50,Patna,226,227,0.4,271,269,-0.7,21,31,47.6,18,26,44.4,104,117,12.5,11,6,-45.5,93,111,19.4,69,82,18.8,11,18,63.6,296,331,11.8,349,338,-3.2,1412,1454,3,326,415,27.3,1086,1039,-4.3,135,124,-8.1,129,156,20.9,82,285,247.6,4,5,25,12,20,66.7,176,144,-18.2,39,34,-12.8,22,21,-4.5,1,0,-100,66,68,3,0,33,NA,2188,1950,-10.9,5631,5733,1.8
51,Pune,82,77,-6.1,40,36,-10,6,3,-50,51,49,-3.9,50,40,-20,37,20,-45.9,13,20,53.8,25,13,-48,4,4,0,89,83,-6.7,857,865,0.9,2602,2613,0.4,1266,1314,3.8,1336,1299,-2.8,1012,894,-11.7,77,94,22.1,294,231,-21.4,3,4,33.3,10,12,20,1143,933,-18.4,0,1,NA,76,57,-25,104,98,-5.8,89,121,36,0,0,0,2947,2713,-7.9,9561,8941,-6.5
52,Surat,106,83,-21.7,21,22,4.8,3,0,-100,17,16,-5.9,70,67,-4.3,39,40,2.6,31,27,-12.9,17,35,105.9,0,0,0,83,54,-34.9,453,311,-31.3,1576,1400,-11.2,775,856,10.5,801,544,-32.1,81,139,71.6,75,72,-4,143,168,17.5,2,6,200,12,10,-16.7,500,334,-33.2,28,33,17.9,20,9,-55,4,6,50,121,103,-14.9,0,0,0,1244,1063,-14.5,4576,3931,-14.1
53,Vadodra,37,45,21.6,17,18,5.9,1,0,-100,10,6,-40,61,53,-13.1,53,42,-20.8,8,11,37.5,11,8,-27.3,0,0,0,92,39,-57.6,426,331,-22.3,1302,1059,-18.7,529,447,-15.5,773,612,-20.8,140,154,10,141,139,-1.4,143,129,-9.8,5,5,0,7,5,-28.6,409,442,8.1,0,2,NA,30,8,-73.3,14,9,-35.7,162,173,6.8,0,0,0,2788,3032,8.8,5796,5657,-2.4
54,Varanasi,68,47,-30.9,56,77,37.5,8,11,37.5,10,12,20,17,29,70.6,11,23,109.1,6,6,0,0,3,NA,0,1,NA,52,56,7.7,165,79,-52.1,342,402,17.5,160,186,16.3,182,216,18.7,63,51,-19,55,90,63.6,56,95,69.6,1,2,100,9,3,-66.7,107,86,-19.6,14,12,-14.3,7,6,-14.3,36,86,138.9,39,60,53.8,0,0,0,270,703,160.4,1375,1911,39
55,Vishakhapatnam,17,16,-5.9,28,27,-3.6,0,0,0,17,14,-17.6,12,13,8.3,9,8,-11.1,3,5,66.7,3,1,-66.7,0,0,0,18,9,50,320,332,3.8,780,865,10.9,143,196,37.1,637,669,5,3,10,233.3,28,37,32.1,187,181,-3.2,2,2,0,11,7,-36.4,350,448,28,8,3,-62.5,31,41,32.3,657,4,-99.4,168,192,14.3,0,0,0,1142,1182,3.5,3782,3384,-10.5
Total Cities,Total Cities,2747,2620,-4.6,2868,2743,-4.4,202,196,-3,1008,1078,6.9,3046,2935,-3.6,1939,1895,-2.3,1107,1040,-6.1,461,457,-0.9,289,330,14.2,3559,3579,0.6,19199,18738,-2.4,77121,73368,-4.9,25376,26036,2.6,51745,47332,-8.5,5253,5507,4.8,3215,3231,0.5,11885,11422,-3.9,416,1150,176.4,252,251,-0.4,23277,22823,-2,547,512,-6.4,2059,2066,0.3,1845,1328,-28,4156,4353,4.7,1,33,3200,91093,96556,6,254499,255276,0.3
