SI.No.,States/UT/City,Murder - 1999,Murder - 2000,Murder Percentage Variation,Attempt to Commit Murder - 1999,Attempt to Commit Murder - 2000,Attempt to Commit Murder Percentage Variation,C.H.Not Amounting to Murder - 1999,C.H.Not Amounting to Murder - 2000,C.H.Not Amounting to Murder Percentage Variation,Rape - 1999,Rape - 2000,Rape Percentage Variation,Kidnapping & Abduction Total - 1999,Kidnapping & Abduction Total - 2000,Kidnapping & Abduction Total Percentage Variation,Kidnapping & Abduction of Women & Girls - 1999,Kidnapping & Abduction of Women & Girls - 2000,Kidnapping & Abduction of Women & Girls Percentage Variation,Kidnapping & Abduction of Others - 1999,Kidnapping & Abduction of Others - 2000,Kidnapping & Abduction of Others Percentage Variation,Dacoity - 1999,Dacoity - 2000,Dacoity Percentage Variation,Preperation & Assembly for Dacoity - 1999,Preperation & Assembly for Dacoity - 2000,Preperation & Assembly for Dacoity Percentage Variation,Robbery - 1999,Robbery - 2000,Robbery Percentage Variation,Burglary - 1999,Burglary - 2000,Burglary Percentage Variation,Theft Total - 1999,Theft Total - 2000,Theft Total Percentage Variation,Theft Auto Theft - 1999,Theft Auto Theft - 2000,Theft Auto Theft Percentage Variation,Theft Other Theft - 1999,Theft Other Theft - 2000,Theft Other Theft Percentage Variation,Riots - 1999,Riots - 2000,Riots Percentage Variation,Criminal Breach of Trust - 1999,Criminal Breach of Trust - 2000,Criminal Breach of Trust Percentage Variation,Cheating - 1999,Cheating - 2000,Cheating Percentage Variation,Counterfeiting - 1999,Counterfeiting - 2000,Counterfeiting Percentage Variation,Arson - 1999,Arson - 2000,Arson Percentage Variation,Hurt - 1999,Hurt - 2000,Hurt Percentage Variation,Dowry Deaths - 1999,Dowry Deaths - 2000,Dowry Deaths Percentage Variation,Molestation - 1999,Molestation - 2000,Molestation Percentage Variation,Sexual Harassment - 1999,Sexual Harassment - 2000,Sexual Harassment Percentage Variation,Cruelty By Husband and Relatives - 1999,Cruelty By Husband and Relatives - 2000,Cruelty By Husband and Relatives Percentage,Importation of Girls - 1999,Importation of Girls - 2000,Importation of Girls Percentage Variation,Other IPC Crimes - 1999,Other IPC Crimes - 2000,Other IPC Crimes Percentage Variation,Total Cognizable Crimes Under IPC - 1999,Total Cognizable Crimes Under IPC - 2000,Total Cognizable Crimes Under IPC Percentage Variation
24,Uttar Pradesh,7850,7755,-1.2,7849,8329,6.1,1354,1176,-13.1,1593,1865,17.1,4158,4233,1.8,2746,2755,0.3,1412,1478,4.7,927,920,-0.8,91,62,-31.9,4197,4171,-0.6,10081,9569,-5.1,29348,27449,-6.5,5210,5602,7.5,24138,21847,-9.5,6792,7682,13.1,3495,3445,-1.4,5213,5207,-0.1,175,125,-28.6,1171,863,-26.3,14051,14221,1.2,2088,2222,6.4,2481,2607,5.1,2255,3160,40.1,5372,6021,12.1,0,0,0,63102,64586,2.4,173643,175668,1.2
25,West Bengal,1902,1892,-0.5,516,503,-2.5,655,683,4.3,819,814,-0.6,945,926,-2,804,749,-6.8,141,177,25.5,368,353,-4.1,475,306,-35.6,913,817,-10.5,533,454,-14.8,18157,15624,-14,2533,2498,-1.4,15624,13126,-16,4601,3899,-15.3,586,534,-8.9,1145,1187,3.7,47,103,119.1,102,171,67.6,4194,3990,-4.9,257,284,10.5,1200,1057,-11.9,33,55,66.7,3777,4025,6.6,1,0,-100,25299,28157,11.3,66525,65834,-1
Total States,Total States,36453,36737,0.8,29002,30089,3.7,3817,3706,-2.6,15031,16023,6.6,21797,21427,-1.7,14934,13952,-6.6,6863,7475,8.9,7007,6748,-3.7,1464,1464,0,20580,20143,-2.1,107375,101454,-5.5,245829,235830,-4.1,50966,49814,-2.3,194795,186016,-4.5,80399,80025,-0.5,14880,14043,-5.6,39319,39543,0.6,1273,2237,75.7,11124,10294,-7.5,233379,237526,1.8,6564,6865,4.6,31640,32297,2.1,8673,10864,25.3,43669,45617,4.5,1,64,6300,739261,754057,2,1698537,1707053,0.5
26,A & N Islands,9,18,100,4,7,75,0,1,NA,6,5,-16.7,4,3,-25,2,3,50,2,0,-100,2,1,-50,0,0,0,1,8,700,79,71,-10.1,51,89,74.5,1,6,500,50,83,66,32,29,-9.4,7,6,-14.3,8,17,112.5,0,0,0,9,7,-22.2,88,95,8,0,0,0,13,23,76.9,2,1,-50,8,12,50,0,0,0,280,359,28.2,603,752,24.7
27,Chandigarh,17,19,11.8,18,20,11.1,9,5,-44.4,16,23,43.8,48,67,39.6,36,52,44.4,12,15,25,1,1,0,1,0,-100,6,10,66.7,234,239,2.1,1035,1071,3.5,414,344,-16.9,621,727,17.1,73,75,2.7,37,31,-16.2,172,173,0.6,1,7,600,10,7,-30,102,93,-8.8,7,2,-71.4,26,34,30.8,18,8,-55.6,42,36,-14.3,0,0,0,862,1014,17.6,2735,2935,7.3
28,D & N Haveli,16,10,-37.5,2,4,100,0,0,0,3,3,0,2,13,550,0,7,NA,2,6,200,1,1,0,0,0,0,8,2,-75,42,52,23.8,64,72,12.5,12,6,-50,52,66,26.9,37,28,-24.3,3,11,266.7,3,6,100,0,0,0,1,3,200,41,27,-34.1,2,0,-100,8,4,-50,0,1,NA,5,2,-60,0,0,0,175,201,14.9,413,440,6.5
29,Daman & DIU,5,3,-40,5,7,40,0,0,0,4,1,-75,3,5,66.7,2,3,50,1,2,100,0,3,NA,0,0,0,2,1,-50,42,45,7.1,38,40,5.3,13,10,-23.1,25,30,20,23,28,21.7,9,2,-77.8,11,5,-54.5,0,1,NA,2,4,100,24,25,4.2,0,0,0,0,0,0,0,0,0,5,2,-60,0,0,0,74,79,6.8,247,251,1.6
30,Delhi,649,586,-9.7,579,598,3.3,81,57,-29.6,402,435,8.2,1375,1346,-2.1,986,998,1.2,389,348,-10.5,63,70,11.1,36,41,13.9,726,758,4.4,3429,3453,0.7,24423,21082,-13.7,8078,8043,-0.4,16345,13039,-20.2,199,210,5.5,512,476,-7,1869,1940,3.8,69,49,-29,57,64,12.3,2201,2258,2.6,122,125,2.5,588,549,-6.6,146,123,-15.8,88,106,20.5,0,0,0,21087,21923,4,58701,56249,-4.2
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,8,-27.3,2,0,-100,9,8,-11.1,3,0,-100,3,1,-66.7,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,31,24,-22.6
32,Pondicherry,21,26,23.8,18,18,0,5,4,-20,6,5,-16.7,7,10,42.9,2,8,300,5,2,-60,5,1,-80,0,0,0,9,4,-55.6,92,74,-19.6,456,396,-13.2,199,192,-3.5,257,204,-20.6,72,61,-15.3,3,11,266.7,21,17,-19,4,5,25,14,12,-14.3,476,554,16.4,4,3,-25,36,33,-8.3,19,27,42.1,6,3,-50,0,0,0,2088,2116,1.3,3362,3380,0.5
Total (UTs),Total (UTs),717,662,-7.7,626,654,4.5,95,67,-29.5,437,473,8.2,1439,1444,0.3,1028,1071,4.2,411,373,-9.2,72,77,6.9,37,41,10.8,752,783,4.1,3921,3937,0.4,26078,22758,-12.7,8719,8601,-1.4,17359,14157,-18.4,439,431,-1.8,574,538,-6.3,2084,2158,3.6,74,62,-16.2,94,98,4.3,2934,3054,4.1,135,130,-3.7,671,643,-4.2,185,160,-13.5,154,161,4.5,0,0,0,24574,25700,4.6,66092,64031,-3.1
Total (All -India),Total (All -India),37170,37399,0.6,29628,30743,3.8,3912,3773,-3.6,15468,16496,6.6,23236,22871,-1.6,15962,15023,-5.9,7274,7848,7.9,7079,6825,-3.6,1501,1505,-0.3,21332,20926,-1.9,111296,105391,-5.3,271907,258588,-4.9,59685,58415,-2.1,212154,200173,-5.6,80838,80456,-0.5,15454,14581,-5.6,41403,41701,0.7,1347,2299,70.7,11218,10392,-7.4,236313,240580,1.8,6699,6995,4.4,32311,32940,1.9,8858,11024,24.5,43823,45778,4.5,1,64,6300,763835,779757,2.1,1764629,1771084,0.4
