SI.No.,States/UT/City,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estimated Mid- Year Population(In Lakhs),Rate of Total Cognizable Crimes,Rank of* Criminality
1,Andhra Pradesh,121279,6.8,758.5,159.9,19
2,Arunachal Pradesh,2367,0.1,12,197.3,13
3,Assam,35178,2,263,133.8,22
4,Bihar,124082,7,1005.6,123.4,23
5,Goa,2422,0.1,16.1,150.8,20
6,Gujarat,115859,6.5,484.9,238.9,9
7,Haryana,39490,2.2,199.3,198.2,12
8,Himachal Pradesh,11135,0.6,67.4,165.1,18
9,Jammu & Kashmir,17517,1,99.9,175.4,17
10,Karnataka,109410,6.2,523,209.2,11
11,Kerala,99033,5.6,323.5,306.1,3
12,Madhya Pradesh,216441,12.2,802.3,269.8,6
13,Maharashtra,173466,9.8,914.3,189.7,15
14,Manipur,2577,0.1,25.4,101.7,26
15,Meghalaya,1702,0.1,24.5,69.4,31
16,Mizoram,2316,0.1,9.6,241.5,8
17,Nagaland,1368,0.1,17,80.7,29
18,Orissa,49419,2.8,359.6,137.4,21
19,Punjab,24374,1.4,236.2,103.2,24
20,Rajasthan,160983,9.1,538.7,298.8,5
21,Sikkim,432,0,5.6,76.9,30
22,Tamil Nadu,151329,8.5,619.3,244.3,7
23,Tripura,3372,0.2,38.1,88.6,27
24,Uttar Pradesh,175668,9.9,1715.4,102.4,25
25,West Bengal,65834,3.7,793.3,83,28
Total States,Total States,1707053,96.4,9852.4,173.3,NA
26,A & N Islands,752,0,3.9,193.8,14
27,Chandigarh,2935,0.2,8.9,328.3,2
28,D & N Haveli,440,0,1.9,229.2,10
29,Daman & Diu,251,0,1.4,178,16
30,Delhi,56249,3.2,141,399,1
31,Lakshadweep,24,0,0.7,33.3,32
32,Pondicherry,3380,0.2,11.2,302.1,4
Total (UTs),Total (UTs),64031,3.6,169,378.8,NA
Total (All -India),Total (All -India),1771084,100,10021.4,176.7,NA
1,Ahmedabad,14150,5.5,42.8,330.5,9
2,Bangalore,27184,10.6,57.1,476.4,4
3,Bhopal,10961,4.3,16.9,650.1,2
4,Calcutta,6212,2.4,67.5,92.1,23
5,Chennai,3668,1.4,13,281.9,12
6,Coimbatore,51324,20.1,120.6,425.6,7
7,Delhi,11592,4.5,71.5,162,17
8,Hyderabad,10699,4.2,14.6,735.3,1
9,Indore,12960,5.1,22.1,586.2,3
10,Jaipur,6716,2.6,24.8,271,14
11,Kanpur,5506,2.2,18.3,300.2,10
12,Kochi,12976,5.1,130.6,99.4,21
13,Lucknow,7491,2.9,26.7,280.1,13
14,Ludhiana,1625,0.6,17.3,94,22
15,Madurai,3846,1.5,12.8,299.5,11
16,Mumbai,29238,11.5,187.1,156.3,19
17,Nagpur,9571,3.7,20.9,457.5,5
18,Patna,5733,2.2,13,441,6
19,Pune,8941,3.5,35.9,248.8,15
20,Surat,3931,1.5,24.4,161,18
21,Vadodra,5657,2.2,16.6,341.2,8
22,Varanasi,1911,0.7,13.1,145.9,20
23,Vishakhapatnam,3384,1.3,17.8,189.8,16
Total Cities,Total Cities,255276,100,985.4,259.1,NA
