SL. No.,Place of Occurrence,Dacoity- In Number,Dacoity- Value,Robbery- In Number,Robbery- Value,Burglary- In Number,Burglary- Value,Theft- In Number,Theft- Value
1,Residential Premises,3537,1832.4,4087,1417.3,74656,13802.8,80001,14669.7
2,Highway,1017,1502.8,5198,2479.3,270,120.4,9774,3598.5
3,River & Sea,9,12.4,14,2.8,3,0.6,197,773.3
4,Railways,93,57.8,297,68.5,49,4.2,12660,1379.2
5,Banks,51,753.9,49,68,368,86,242,43.6
6,Commercial Establishment,369,973.9,1120,611.9,13162,3709.1,21814,9302.6
7,Other Places,1749,1829.3,10161,4235.1,16883,4100.2,133900,33084
8,Total,6825,6962.5,20926,8882.9,105391,21823.3,258588,62851
