SI.No.,State/UT,Total No. of Persons under Trial Including those From Previous Year,Number of persons - whose cases compounded or withdrawn,Number of persons - whose Trial completed,Number of persons - whose Trial remained pending,No. of persons Persons Convicted,Pendency Percentage,Percentage of Pendency to All -India Total
1,Andhra Pradesh,480068,35346,157057,287665,48583,59.9,2.8
2,Arunachal Pradesh,14680,190,1095,13395,630,91.2,0.1
3,Assam,152244,3947,26901,121396,4336,79.7,1.2
4,Bihar,1462381,31590,136826,1293965,23812,88.5,12.3
5,Goa,23675,454,3510,19711,530,83.3,0.2
6,Gujarat,1031853,14586,77109,940158,14761,91.1,9
7,Haryana,263122,1000,47036,215086,11705,81.7,2.1
8,Himachal Pradesh,87188,2675,8644,75869,1608,87,0.7
9,Jammu & Kashmir,127773,5826,15708,106239,3286,83.1,1
10,Karnataka,483738,27496,97128,359114,17278,74.2,3.4
11,Kerala,541946,19498,87040,435408,30615,80.3,4.2
12,Madhya Pradesh,1633805,39997,146776,1447032,66868,88.6,13.9
13,Maharashtra,2032672,32925,152576,1847171,16036,90.9,17.7
14,Manipur,2878,1,44,2833,14,98.4,0
15,Meghalaya,9675,105,613,8957,203,92.6,0.1
16,Mizoram,10140,23,8042,2075,6244,20.5,0
17,Nagaland,5147,62,1198,3887,1142,75.5,0
18,Orissa,474854,1441,80678,392735,11397,82.7,3.8
19,Punjab,81311,1227,22765,57319,9219,70.5,0.5
20,Rajasthan,1090459,52579,163248,874632,81466,80.2,8.4
21,Sikkim,2043,41,1140,862,726,42.2,0
22,Tamil Nadu,541823,8470,193000,340353,106427,62.8,3.3
23,Tripura,7752,11,3130,4611,445,59.5,0
24,Uttar Pradesh,1230158,25195,239734,965229,129888,78.5,9.3
25,West Bengal,582392,3742,45100,533550,6079,91.6,5.1
Total States,Total States,12373777,308427,1716098,10349252,593298,83.6,98.3
26,A & N Islands,4347,8,670,3669,147,84.4,0
27,Chandigarh,10962,0,2623,8339,1333,76.1,0.1
28,D & N Haveli,3068,0,285,2783,104,90.7,0
29,Daman & DIU,1292,7,209,1076,38,83.3,0
30,Delhi,244601,0,80009,164592,40123,67.3,1.6
31,Lakshadweep,35,0,0,35,0,100,0
32,Pondicherry,7810,926,4323,2561,3662,32.8,0
Total (UTs),Total (UTs),272115,941,88119,183055,45407,67.3,1.8
Total (All -India),Total (All -India),12645892,309368,1804217,10532307,638705,83.3,100
