SI.No.,States/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
1,Andhra Pradesh,15,3,1,23,3,3,0,0,0,2,161,322,27,295,34,0,1,0,2,160,1,7,11,18,0,108,872
2,Arunachal Pradesh,0,0,1,1,2,1,1,0,0,3,18,32,4,28,9,0,0,0,0,15,0,3,0,0,0,22,106
3,Assam,5,0,0,3,0,0,0,1,0,3,39,98,0,98,38,0,1,0,0,16,0,2,0,12,0,29,247
4,Bihar,13,26,1,8,8,0,8,9,0,5,69,229,1,228,105,14,8,0,0,15,15,2,0,13,0,216,756
5,Goa,0,0,0,0,0,0,0,0,0,0,16,6,3,3,2,0,0,0,0,0,0,1,0,0,0,2,27
6,Gujarat,22,13,0,1,27,19,8,6,0,5,119,249,77,172,80,2,2,0,1,195,5,3,2,68,0,309,1109
7,Haryana,18,9,1,7,5,5,0,1,0,2,52,57,11,46,57,4,5,0,0,141,9,7,9,29,0,58,471
8,Himachal Pradesh,1,0,0,2,0,0,0,0,0,0,12,5,0,5,10,0,0,0,0,5,0,2,0,0,0,15,52
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,14,8,0,0,0,0,0,0,1,1,68,97,6,91,20,0,2,0,0,37,3,2,0,6,0,23,282
11,Kerala,2,2,0,1,0,0,0,0,0,0,15,25,0,25,7,0,0,0,0,5,0,0,0,0,0,2,59
12,Madhya Pradesh,105,78,16,98,19,13,6,9,4,37,471,481,44,437,118,1,11,0,8,678,15,104,15,43,0,1230,3541
13,Maharashtra,76,27,1,28,17,12,5,13,4,22,353,623,35,588,135,2,8,2,11,484,14,23,4,121,0,193,2161
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,1,1,0,0,0,0,0,0,8,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,26
16,Mizoram,1,0,0,3,0,0,0,0,0,0,10,9,0,9,0,0,0,0,0,0,0,0,0,0,0,10,33
17,Nagaland,3,0,0,0,0,0,0,0,0,0,1,10,4,6,0,0,0,0,0,0,0,0,0,0,0,11,25
18,Orissa,4,4,1,9,1,1,0,0,0,2,42,114,0,114,9,2,0,0,0,9,1,2,0,0,0,24,224
19,Punjab,1,1,0,0,1,0,1,0,0,0,5,1,0,1,0,0,0,0,0,14,6,0,0,9,0,41,79
20,Rajasthan,16,33,1,16,4,3,1,0,0,2,99,100,7,93,188,0,1,0,6,121,9,7,0,16,0,289,908
21,Sikkim,0,0,0,0,0,0,0,0,0,0,3,12,0,12,0,0,0,0,1,7,0,0,0,0,0,0,23
22,Tamil Nadu,6,1,0,1,0,0,0,3,0,0,65,208,35,173,4,0,1,0,2,4,0,0,0,1,0,36,332
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,8
24,Uttar Pradesh,5,4,3,9,2,1,1,0,0,0,13,15,0,15,0,0,0,0,0,3,3,0,0,10,0,13,80
25,West Bengal,0,0,0,0,0,0,0,0,0,0,3,18,0,18,0,0,0,0,0,0,2,0,0,49,0,17,89
Total States,Total States,307,209,27,211,89,58,31,42,9,84,1642,2729,254,2475,819,25,40,2,31,1909,83,165,41,395,0,2651,11510
26,A & N Islands,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,6
27,Chandigarh,0,2,0,0,0,0,0,0,0,0,11,15,0,15,1,0,0,0,0,0,0,0,0,0,0,17,46
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
30,Delhi,9,13,0,9,5,3,2,1,0,10,109,155,10,145,9,0,7,1,2,34,10,5,0,3,0,78,460
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,7,6,0,6,1,0,0,0,0,2,0,0,0,0,0,0,16
Total (UTs),Total (UTs),10,15,0,9,5,3,2,1,0,10,127,177,10,167,12,0,7,1,2,38,10,6,0,3,0,97,530
Total (All -India),Total (All -India),317,224,27,220,94,61,33,43,9,94,1769,2906,264,2642,831,25,47,3,33,1947,93,171,41,398,0,2748,12040
33,Ahmedabad,1,0,0,0,2,1,1,0,0,0,31,72,44,28,3,0,0,0,0,9,0,0,0,0,0,18,136
34,Bangalore,2,2,0,0,0,0,0,0,1,1,26,54,5,49,0,0,0,0,0,5,1,1,0,0,0,3,96
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Calcutta,0,0,0,0,0,0,0,0,0,0,6,10,0,10,0,0,1,0,0,0,0,0,0,0,0,6,23
37,Chennai,0,0,0,0,0,0,0,0,0,0,3,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,17
38,Coimbatore,9,13,0,9,5,3,2,1,0,10,109,155,10,145,9,0,7,1,2,34,10,5,0,3,0,78,460
39,Delhi,0,0,0,0,0,0,0,0,0,0,20,122,0,122,0,0,0,0,0,11,0,0,0,0,0,0,153
40,Hyderabad,4,8,0,2,2,0,2,0,0,2,5,22,0,22,0,0,0,0,0,27,0,4,2,0,0,69,147
41,Indore,0,0,0,0,0,0,0,0,0,0,26,31,5,26,3,0,0,0,0,1,0,1,0,0,0,9,71
42,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Kanpur,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
44,Kochi,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
45,Lucknow,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
