Sl. No.,Crime Head,Total No. of Cases for Trial Including Pending Cases,Cases Withdrawn by Govt.,No. of Cases - Compounded or Withdrawn,No. of Cases - In which trials were completed - convicted,No. of Cases - In Which Trials Were Completed - Acquitted or Discharged,No. of Cases - In Which Trials Were Completed - Total [(6) +(7)],No. of Cases - Pending Trial
1,Arms Act,292252,7,1424,27521,18248,45769,245059
2,Narcotic Drugs & Psychotropic Substances Act,106703,195,383,8297,8205,16502,89818
3,Gambling Act,339101,63,2315,104571,19502,124073,212713
4,Excise Act,422022,8790,1287,52971,35616,88587,332148
5,Prohibition Act,2036231,444,46590,240711,150370,391081,1598560
6,Explosive & Explosive Substances Act,23623,0,61,1720,1403,3123,20439
7,Immoral Traffic (P) Act,15815,1,25,9002,1614,10616,5174
8,Indian Railways Act,64124,0,116,34487,6112,40599,23409
9,Registration of Foreigners Act,4544,1,1,1055,101,1156,3387
10,Protection Of Civil Rights Act,5983,17,75,277,824,1101,4807
11,Indian Passport Act,1002,0,0,162,47,209,793
12,Essential Commodities Act,31511,1,272,910,3309,4219,27020
13,Terrorist & Disruptive Actvites Act,2638,0,4,40,196,236,2398
14,Antiquity & Art Treasure Act,100,0,1,8,12,20,79
15,Dowry Prohibition Act,9318,0,141,372,1140,1512,7665
16,Child Marriage Restraint Act,266,0,0,18,23,41,225
17,Indecent Representation of Women (P)Act,1031,0,1,325,89,414,616
18,Copy Rights Act,6860,4,55,374,477,851,5954
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/ST (Prevention of Atrocities ) Act,50908,3,474,2387,5003,7390,43044
21,Forest Act,17214,0,27,2899,1180,4079,13108
22,Other SLL Crimes,3286134,369,496423,1562648,214249,1776897,1012814
23,Total cognizable Crimes Under SLL,6717380,9895,549675,2050755,467720,2518475,3649230
