SL. No.,Category,States/U.Ts./Cities,By Religion - Hindu,By Religion - Muslim,By Religion - Sikh,By Religion - Christian,By Religion - Other,By Religion - Total,By Community - Scheduled Caste,By Community - Scheduled Tribes,By Community - Other,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric/Hr. Sec.,By Education - Matric/ Higher Secondary and Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardian,By Family Background - Homeless,By Family Background - Total,Economic Set-Up - Lower Income (Below Rs. 150/PM),Economic Set-Up - Lower Middle Income (Above Rs.150 But Below Rs. 500 P.M.),Economic Set-Up - Upper Middle Income (Above Rs.500 But Below Rs. 1000 P.M.),Economic Set-Up - Upper Income (Above Rs. 1000 P.M.),Economic Set-Up - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
1,State,Andhra Pradesh,1980,400,385,163,172,3100,428,116,2556,3100,1758,728,562,52,3100,2237,420,443,3100,2125,911,2237,420,443,3100,2125,911
2,State,Assam,1856,1634,59,214,168,3931,967,739,2225,3931,1138,1345,1185,263,3931,2507,977,477,3931,2436,1072,2507,977,477,3931,2436,1072
3,State,Bihar,3008,598,71,111,390,4178,665,575,2938,4178,2215,889,725,349,4178,3010,737,431,4178,2513,1212,3010,737,431,4178,2513,1212
4,State,Gujarat,12959,5310,137,171,1750,20327,4844,7620,7863,20327,9983,7415,2305,624,20327,12900,5397,2030,20327,15869,3854,12900,5397,2030,20327,15869,3854
5,State,Haryana,1485,88,655,52,164,2444,731,NA,1713,2444,987,1061,366,30,2444,1503,820,121,2444,NA,NA,1503,820,121,2444,NA,NA
6,State,Himachal Pradesh,778,22,15,2,19,836,143,61,632,936,344,226,244,22,836,802,34,NA,836,753,79,802,34,NA,836,753,79
7,State,Jammu and Kashmir,26,813,13,NA,NA,852,24,NA,828,852,425,42,89,296,852,461,55,336,852,147,380,461,55,336,852,147,380
8,State,Karnataka,3441,2186,NA,213,161,6001,702,512,4787,6001,3004,1961,665,371,6001,2857,1840,1304,6001,5258,586,2857,1840,1304,6001,5258,586
9,State,Kerala,84,27,1,24,4,140,19,1,120,140,5,73,55,7,140,87,42,11,140,91,49,87,42,11,140,91,49
10,State,Madhya Pradesh,11280,3211,505,121,1319,16436,3034,2975,10427,16436,12776,1701,1081,878,16436,12944,2952,540,16436,11715,4366,12944,2952,540,16436,11715,4366
11,State,Maharashtra,24584,7245,218,1261,6174,39482,11169,4457,23856,39482,16631,16445,5055,1351,39482,28651,6978,3853,39482,30877,7211,28651,6978,3853,39482,30877,7211
12,State,Manipur,127,18,NA,67,7,219,NA,72,147,219,57,162,NA,NA,219,134,85,NA,219,219,NA,134,85,NA,219,219,NA
13,State,Meghalaya,65,77,NA,117,NA,259,46,129,84,259,142,81,26,10,259,212,47,NA,259,66,156,212,47,NA,259,66,156
14,State,Nagaland,7,8,NA,100,20,135,4,100,31,135,48,27,60,NA,135,93,42,NA,135,NA,NA,93,42,NA,135,NA,NA
15,State,Orissa,712,26,7,22,4,771,229,136,406,771,550,177,33,11,771,553,174,44,771,672,92,553,174,44,771,672,92
16,State,Punjab,889,6,NA,8,489,1392,294,58,1040,1392,708,359,254,71,1392,1285,74,33,1392,871,478,1285,74,33,1392,871,478
17,State,Rajasthan,2273,707,81,17,222,3300,475,330,2495,3300,1667,977,416,240,3300,2606,618,76,3300,2388,760,2606,618,76,3300,2388,760
18,State,Tamil Nadu,16234,1999,NA,1819,4564,24616,9003,1946,13667,24616,11280,9125,3486,725,24616,18308,4454,1854,24616,19978,4516,18308,4454,1854,24616,19978,4516
19,State,Tripura,0,0,0,0,0,0,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,State,Uttar Pradesh,527,185,2,7,56,777,93,28,656,777,309,270,168,30,777,614,82,81,777,577,111,614,82,81,777,577,111
21,State,West Bengal,2516,2336,3,49,337,5241,791,498,3952,5241,3255,1076,675,235,5241,2952,1994,295,5241,3672,1209,2952,1994,295,5241,3672,1209
Total (States),State,Total (States),84831,26896,2152,4538,16020,134437,33661,20353,80423,134437,67282,44140,17450,5565,134437,94716,27822,11899,134437,100227,27042,94716,27822,11899,134437,100227,27042
22,UT,A & N Islands,178,25,5,20,NA,228,98,17,113,228,57,107,45,19,228,198,23,7,228,127,69,198,23,7,228,127,69
23,UT,Arunachal Pradesh,1,NA,NA,NA,1,2,NA,1,1,2,1,1,NA,NA,2,1,NA,1,2,2,NA,1,NA,1,2,2,NA
24,UT,Chandigarh,130,2,55,6,135,328,53,6,269,328,25,78,150,75,328,270,31,27,328,106,198,270,31,27,328,106,198
25,UT,D & N Haveli,39,NA,NA,NA,NA,39,31,8,NA,39,20,15,4,NA,39,39,NA,NA,39,25,11,39,NA,NA,39,25,11
26,UT,Delhi,NA,NA,NA,NA,NA,3011,NA,NA,NA,3011,NA,NA,NA,NA,3011,NA,NA,NA,3011,NA,NA,NA,NA,NA,3011,NA,NA
27,UT,"Goa, Daman & Diu",1024,24,NA,331,456,1835,2,2,1831,1835,1410,395,30,NA,1835,1411,399,25,1835,1782,53,1411,399,25,1835,1782,53
28,UT,Lakshadweep,3,NA,NA,NA,NA,3,NA,NA,3,3,NA,NA,2,1,3,3,NA,NA,3,NA,3,3,NA,NA,3,NA,3
29,UT,Mizoram,2,4,NA,70,NA,76,NA,70,6,76,10,45,21,NA,76,61,15,NA,76,58,10,61,15,NA,76,58,10
30,UT,Pondicherry,545,13,NA,122,NA,680,208,NA,472,680,441,212,27,NA,680,382,211,87,680,469,197,382,211,87,680,469,197
Total (UTs),UT,Total (UTs),1922,68,60,549,592,6202,392,104,2695,6202,1964,853,279,95,6202,2365,679,147,6202,2569,541,2365,679,147,6202,2569,541
Total (All-India),Total (All-India),Total (All-India),86753,26964,2212,5087,16612,140639,34053,20457,83118,140639,69246,44993,17729,5660,140639,97081,28501,12046,140639,102796,27583,97081,28501,12046,140639,102796,27583
1,City,Ahmedabad,3018,1995,105,285,214,5617,1697,3675,245,5617,2122,2295,925,275,5617,3157,1785,675,5617,4547,980,3157,1785,675,5617,4547,980
2,City,Bangalore,2115,1701,NA,146,11,3973,480,313,3180,3973,1952,1312,446,263,3973,1582,1468,923,3973,3611,232,1582,1468,923,3973,3611,232
3,City,Bombay,1013,1217,15,90,226,2561,791,20,1750,2561,1209,897,276,179,2561,1576,637,348,2561,1548,977,1576,637,348,2561,1548,977
4,City,Calcutta,75,147,NA,13,9,244,64,NA,180,244,210,20,14,NA,244,94,60,90,244,210,30,94,60,90,244,210,30
5,City,Delhi,NA,NA,NA,NA,NA,3011,NA,NA,NA,3011,NA,NA,NA,NA,3011,NA,NA,NA,3011,NA,NA,NA,NA,NA,3011,NA,NA
6,City,Hyderabad,1047,901,6,5,10,1969,89,2,1878,1969,542,390,1022,15,1969,1797,163,9,1969,1216,689,1797,163,9,1969,1216,689
7,City,Kanpur,112,31,NA,4,NA,147,NA,NA,147,147,47,40,41,19,147,120,27,NA,147,80,67,120,27,NA,147,80,67
8,City,Madras,11876,824,N,890,4086,17676,5686,948,11042,17676,11667,4231,1077,701,17676,13674,3418,584,17676,14012,3612,13674,3418,584,17676,14012,3612
Total (Cities),City,Total (Cities),19256,6816,126,1433,4556,35198,8807,4958,18422,35198,17749,9185,3801,1452,35198,22000,7558,2629,35198,25224,6587,22000,7558,2629,35198,25224,6587
