SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Thefts - Incidence (I),Thefts - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Total Cognizable Crimes - Incidence (I),Total Cognizable Crimes - Volume (V)
1,State,Andhra Pradesh,1163,2.5,36,0.1,73,0.2,185,0.4,176,0.4,246,0.5,6408,13.8,16724,36.1,2737,5.9,534,1.2,602,1.3,130,0.3,55601,120.1
2,State,Assam,498,3.1,32,0.2,106,0.7,468,2.9,374,2.3,437,2.7,7112,44.2,11168,69.4,3971,24.7,555,3.4,477,3,3,0.0*,36238,225.4
3,State,Bihar,1946,3.3,260,0.4,252,0.4,737,1.2,2994,5,1921,3.2,21121,35.4,31752,53.1,14474,24.2,1235,2.1,760,1.3,56,0.1,101100,169.2
4,State,Gujarat,927,3.2,5,0.0*,60,0.2,387,1.3,435,1.5,692,2.4,6577,22.8,19439,67.2,3572,12.4,1109,3.8,681,2.4,16,0.1,55829,193.1
5,State,Haryana,222,2.1,98,0.9,54,0.5,126,1.2,10,0.1,32,0.3,1797,16.7,2862,26.6,74,0.7,321,3,252,2.3,1,0.0*,10194,94.6
6,State,Himachal Pradesh,60,1.7,15,0.4,16,0.4,84,2.3,10,0.3,39,1.1,567,15.8,683,19.1,177,4.9,86,2.4,90,2.5,NA,NA,3783,105.5
7,State,Jammu & Kashmir,86,1.7,11,0.2,48,1,284,5.8,9,0.2,17,0.3,1245,25.3,1685,34.2,879,17.8,109,2.2,108,2.2,2,0.0*,8693,176.4
8,State,Karnataka,785,2.5,4,0.0*,23,0.1,177,0.6,168,0.5,222,0.7,8621,27.6,16156,51.7,2842,9.1,804,2.6,1008,3.2,73,0.2,49023,156.8
9,State,Kerala,552,2.4,2,0.0*,55,0.2,79,0.3,51,0.2,162,0.7,4417,19.2,5724,24.9,5216,22.7,339,1.5,336,1.5,31,0.1,43124,187.7
10,State,Madhya Pradesh,2002,4.4,26,0.1,515,1.1,743,1.6,487,1.1,1644,3.6,25485,56.6,46999,104.3,3758,8.3,1282,2.8,1475,3.3,49,0.1,127302,282.5
11,State,Maharashtra,1695,3.1,34,0.1,280,0.5,590,1.1,683,1.3,2991,5.5,23425,43.3,69073,127.7,3015,5.6,3680,6.8,2061,3.8,59,0.1,144432,267
12,State,Manipur,32,2.8,1,0.1,11,1,187,16.3,27,2.4,39,3.4,389,33.9,879,76.5,180,15.7,82,7.1,118,10.3,1,0.1,2820,245.4
13,State,Meghalaya,48,4.4,NA,NA,6,0.5,15,1.4,15,1.4,32,3,161,14.9,713,65.9,66,6.1,41,3.8,33,3,NA,NA,1566,144.7
14,State,Nagaland,54,10,8,1.5,13,2.4,19,3.5,21,3.9,39,7.2,276,51,549,101.5,52,9.6,32,5.9,25,4.6,NA,NA,1088,201.1
15,State,Orissa,453,1.9,33,0.1,40,0.2,99,0.4,277,1.2,389,1.7,6519,27.8,11702,49.9,2156,9.2,598,2.6,244,1,20,0.1,32207,137.3
16,State,Punjab,659,4.6,159,1.1,86,0.6,272,1.9,8,0.1,51,0.4,1685,11.7,2903,20.2,52,0.4,350,2.4,355,2.5,2,0.0*,12878,89.4
17,State,Rajasthan,730,2.6,43,0.2,182,0.7,1285,4.6,164,0.6,1301,4.7,8920,32.1,12597,45.4,6748,24.3,847,3,990,3.6,2,0.0*,51102,184
18,State,Tamil Nadu,1030,2.4,13,0.0*,65,0.2,275,0.6,30,0.1,141,0.3,8212,18.7,28304,64.5,4464,10.2,1147,2.6,1000,2.3,39,0.1,79862,182.1
19,State,Tripura,44,2.6,3,0.2,7,0.4,19,1.1,49,2.9,37,2.2,678,40.7,1233,74,250,15,31,1.9,21,1.3,1,0.1,2373,142.5
20,State,Uttar Pradesh,4586,4.9,1210,1.3,682,0.7,3164,3.4,6392,6.8,10207,10.9,52509,56.3,97079,104.1,14528,15.6,7000,7.5,2827,3,111,0.1,244284,261.9
21,State,West Bengal,816,1.7,395,0.8,288,0.6,729,1.5,1270,2.7,1204,2.5,9761,20.5,35422,74.4,10790,22.6,1367,2.9,1067,2.2,62,0.1,86600,181.8
