SL. No.,Category,State/U.Ts,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crime under I.P.C.,Actual Strength of Police - Civil,Actual Strength of Police - Armed,Actual Strength of Police - Total,Number of Policemen Per 100 SQ. KM. Area,"Number of Policemen Per 10,000 of Population",Number of IPC Cases Per Civil Policeman,Percentage of civil police to total police
1,State,Andhra Pradesh ,276814,46292,55601,29528,10811,40339,14.6,8.7,1.9,73.2
2,State,Assam,78523,16081,36238,16007,10286,26293,33.5,16.4,2.3,60.9
3,State,Bihar,173876,59749,101100,39992,12231,52223,30,8.7,2.5,76.6
4,State,Gujarat,195984,28915,55829,33118,8544,41662,21.3,14.4,1.7,79.6
5,State,Haryana,44222,10775,10194,9378,4698,14076,31.8,13.1,1.1,66.6
6,State,Himachal Pradesh,55673,3586,3783,4905,2271,7176,12.9,20,0.8,68.4
7,State,Jammu and Kashmir,222236,4927,8693,6691,2631,9322,4.2,18.9,1.3,71.8
8,State,Karnataka ,191773,31255,49023,28235,3591,31826,16.6,10.2,1.7,88.7
9,State,Kerala,38864,22980,43124,11253,8452,19705,50.7,8.6,3.8,57.1
10,State,Madhya Pradesh,442841,45063,127302,39159,20339,59498,13.4,13.2,3.2,65.8
11,State,Maharashtra,307762,54094,144432,72447,7682,80129,26,14.8,2,90.4
12,State,Manipur,22356,1149,2820,3133,3071,6204,27.8,54,0.9,50.5
13,State,Meghalaya,22489,1082,1566,2953,1086,4039,18,37.3,0.5,73.1
14,State,Nagaland,16527,541,1088,2390,4629,7019,42.5,129.7,0.5,34
15,State,Orissa,155782,23455,32207,18467,6173,24640,15.8,10.5,1.7,75
16,State,Punjab,50362,14403,12878,19219,5582,24801,49.2,17.2,0.7,77.5
17,State,Rajasthan,342214,27779,51102,32393,6793,39186,11.4,14.1,1.6,82.7
18,State,Tamil Nadu,130069,43860,79862,38557,4386,42943,33,9.8,2.1,89.8
19,State,Tripura,10477,1665,2373,3045,780,3825,36.5,23,0.8,79.6
20,State,Uttar Pradesh,294413,93258,244284,94911,41094,136005,46.2,14.6,2.6,69.8
21,State,West Bengal ,87853,47630,86600,43182,23960,67142,76.4,14.1,2,64.3
Total (States),State,Total (States),3161110,578539,1150099,548963,189090,738053,23.3,12.8,2.1,74.4
22,UT,A & N Islands*,8293,123,538,NA,NA,1919,23.1,156,NA,NA
23,UT,Arunachal Pradesh,83578,501,188,475,0,475,0.6,9.5,0.4,100
24,UT,Chandigarh,114,274,1411,855,717,1572,1378.9,57.4,1.6,54.4
25,UT,D & N Haveli,491,79,131,69,44,113,23,14.3,1.9,61.1
26,UT,Delhi,1485,4718,33824,14061,5120,19181,1291.6,40.7,2.4,73.3
27,UT,"Goa, Daman & Diu",3813,918,2112,1405,603,2008,52.7,21.9,1.5,70
28,UT,Lakshadweep,32,34,10,219,0,219,684.4,64.4,0.1,100
29,UT,Mizoram,21087,365,501,1337,693,2030,9.6,55.6,0.4,65.9
30,UT,Pondicherry*,480,505,3463,NA,NA,1289,268.5,25.5,NA,NA
Total (UTs),UT,Total (UTs),119373,7517,42178,18421,7177,28806,24.1,38.3,2.3,63.9
Total (All-India),Total (All-India),Total (All-India),3280483,586056,1192277,567384,196267,766859,23.4,13.1,2.1,74
