SL. No.,Year,Incidence of Crime,Volume of Offences Per One Lakh of Population
1,1968,2936632,574.6
2,1969,2793148,534.6
3,1970,2884517,539.9
4,1971,2912096,533
5,1972,2514975,450.8
6,1973,2480918,432.7
7,1974,2580140,440.2
